№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,Необходимость исправления ошибок в судебном акте,—,"Появилась необходимость рассмотреть вопрос об исправлении описки, опечатки, арифметической ошибки. Стартовое событие.",—,"Рассмотрение арбитражным судом вопроса об исправлении описки, опечатки или арифметической ошибки регулируется статьёй 179 АПК РФ.Судья принимает решение о необходимости рассмотрения вопроса об исправлении описки, опечатки или арифметической ошибки в уже вынесенном судебном акте.Автоматическое уведомление о поступлении заявления об исправлении ошибок"
1,Судья,—,—,Параллельный шлюз,—,Параллельный шлюз
2,Система арбитражного суда,Решение о рассмотрении вопроса об исправлении ошибок,—,Проверить наличие арифметической ошибки,—,"Система с помощью OCR+LLM проверяет наличие арифметических ошибок в судебном акте. Арифметическая ошибка — это ошибка в вычислениях, которая возникла при подсчётах сумм, процентов, пени, штрафов и т. п. Она не связана с неправильным применением закона или неверной оценкой доказательств, а является именно технической (математической) неточностью.Автоматическая проверка арифметических расчетов в судебных актах"
3,Система арбитражного суда,Решение о рассмотрении вопроса об исправлении ошибок,—,Проверить наличие описки/опечатки,—,"Система с помощью OCR+LLM проверяет наличие описок и опечаток в судебном акте. Описка — это ошибка, допущенная при написании текста, когда суд неверно указал фактические сведения, которые он на самом деле имел в виду правильно, но ошибся при записи. То есть суть решения верна, но в тексте есть неточность. Опечатка — это механическая или техническая ошибка при наборе текста которая не имеет смысловой нагрузки, но делает текст неточным или нечитабельным.Автоматическая проверка орфографических и синтаксических ошибок"
4,Судья,—,—,Закрывающий шлюз для шага 4,—,Закрывающий шлюз для шага 4
5,Система арбитражного суда,—,—,Сформировать отчет,—,Система с помощью OCR+LLM формирует отчет и уведомляет пользователя
6,Судья,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
7,Судья,Результаты проверки ошибок,—,Установлено наличие ошибок? Эксклюзивный шлюз,—,Установлено наличие ошибок?Автоматический анализ результатов проверки с предложением решения. Эксклюзивный шлюз
8,Судья, Наличие ошибок в СА,—,Проверить влияние на существо решения,—,"Судья проверяет, влияет ли исправление ошибок на существо принятого решения. Внесение исправлений в СА не могут изменять существо решения (то есть не должны влиять на выводы суда по делу и не должны изменять права и обязанности сторон).Автоматический анализ влияния изменений на правовые последствия"
9,Судья,Наличие ошибок в СА,—,Внесение изменений влияет на существо решения? Эксклюзивный шлюз,—,Внесение изменений влияет на существо решения? Автоматический анализ правовых последствий изменений. Эксклюзивный шлюз
10,Судья,—,—,Закрывающий шлюз для шага 7,—,Закрывающий шлюз для шага 7
11,Судья,—,—,Вопрос решался по заявлению стороны? Эксклюзивный шлюз,—,Вопрос решался по заявлению стороны?Автоматическая проверка оснований для рассмотрения вопроса. Эксклюзивный шлюз
12,Судья,—,—,Завершение процесса. Вопрос решался по инициативе суда,—,Завершение процесса. Вопрос решался по инициативе суда
13,Судья,—,"Определение об отказе в исправлении описок, опечаток, арифметических ошибок",ТБП80.Принять СА,В течение 10 дней со дня поступления заявления,Переход к типовому процессу «Принять СА».Автоматическая генерация определения с контролем сроков
14,Судья,—,"Определение об исправлении описок, опечаток или арифметических ошибок",ТБП80.Принять СА,В течение 10 дней со дня поступления заявления,Переход к типовому процессу «Принять СА».Автоматическая генерация определения с контролем сроков
15,Судья,—,—,Закрывающий шлюз для шага 9,—,Закрывающий шлюз для шага 9
16,Канцелярия,Принятый СА,—,ТБП46.Направить документ,В течение 3 дней со дня вынесения,"Типовой процесс ""Направить документ"". Автоматическое направление документов с контролем сроков"
17,Канцелярия,—,—,Судебные акты отправлены.,—,Завершение процесса рассмотрения вопроса об исправлении ошибки для суда.
18,"Заявитель (ЛУВД, СП-исполнитель, иной исполняющий орган)",Направленные документы,—,Получен СА,—,"Заявитель (ЛУВД, СП-исполнитель, иной исполняющий орган) получает судебный акт об исправлении ошибок или отказе в исправлении.Автоматическое уведомление о получении документов"
19,"Заявитель (ЛУВД, СП-исполнитель, иной исполняющий орган)",Полученный судебный акт,—,Ознакомиться,—,Заявитель знакомится с содержанием судебного акта.
20,Система арбитражного суда,—,—,Отправить время ознакомления,—,"Система отправляет время ознакомления заявителя с СА, и уведомляет пользователя"
21,"Заявитель (ЛУВД, СП-исполнитель, иной исполняющий орган)",—,—,Есть основания для обжалования? Эксклюзивный шлюз,—,Есть основания для обжалования? Эксклюзивный шлюз
22,"Заявитель (ЛУВД, СП-исполнитель, иной исполняющий орган)",—,—,"Лицо ознакомлено с СА, оснаваний для обжалования нет.",—,Завершение процесса рассмотрения вопроса об исправлении ошибки для заявителя.
23,"Заявитель (ЛУВД, СП-исполнитель, иной исполняющий орган)",Решение об обжаловании,—,Переход к процессу кассационного обжалования,—,Переход к процессу кассационного обжалования
