№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,—,—,Появилась необходимость проверить уплату госпошлины,—,Судья инициирует проверку уплаты госпошлины.
1,Судья,Возможность ручного запуска проверки уплаты госпошлины,Запуск проверки,Запустить проверку в системе,—,Судья в системе запускает проверку на уплату госпошлины
2,Система,Данные о ЛУВД в деле,Интеграционный запрос данных,Запустить проверку уплаты ГП,—,Система проверяет данные о поступлении госпошлины по интеграционным каналам и записывает данные в систему
3,Система,Документ об уплате госпошлины,Вывод системы,Проверить соответствия требованиям законодательству документ,—,Система проверяет соответствие документу законодательству и на предмет подделки с применением OCR + LLM Обученных для данной проверки.
4,Судья,Результаты проверки,Вывод системы,Проверка пройдена?Эксклюзивный шлюз,—,Если Да переход к шагу 6 процессаЕсли Нет переход к шагу 6 процесса
5,Система,Документ для проверки и правила проверки,Вывод системы,Платежный документ не соответствует требованиям законодательства,—,Система выводит пользователю событие с указанием на пункты которые указывают на фальсификацию документа
6,Судья,—,—,Закрывающий эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
7,Система,Документ в системе для проверки,OCR проверка реквизитов по месту нахождения суда,Проверить корректности реквизитов,—,Система функциями OCR определяет корректно ли заполнены реквизиты в платежном документе.
8,Судья,—,—,Платеж уплачен по корректным банковским реквизитам?,—,Если «Да» - переход к шагу 7; «Нет» - переход к шагу 6
9,Судья,—,—,Платеж уплачен по некорректным банковским реквизитам,—,Завершение процесса. Платеж уплачен по некорректным банковским реквизитам
10,Судья,—,—,Закрывающий эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
11,Система,Данные о всех проверках,Формирование события по всем проверкам и уведомление пользователя,Сформировать пакета данных,—,"Система на каждом шаге проверки сохраняет результат, в данном шаге формируется читаемый вид сообщения для пользователя"
12,Система,Ожидание валидации пользователем,Валидированные пользователем данные о проверках,Завершение процесса,—,Завершение процесса
13,Судья,Данные проверок,Результат проверки судьей,Валидировать проверку системы,—,Судья проверяет выводы системы и фиксирует окончательное решение
14,Судья,Результат проверки судьей,—,Система корректно провела проверки?Эксклюзивный шлюз,—,"Если «Да» - переход к шагу 18,Если «Нет» - переход к шагу 15"
15,Судья,Ошибки проверок системы,Отчет об ошибках,Сформировать отчет об ошибке,—,"Судья при проверке выводов системы видит неточности или ошибки, заполняет поле описание для указаний явных ошибок или не корректности проверок, и нажимает на кнопку сформировать отчет об ошибке."
16,Система,Отчет об ошибках,Уведомление технической службы,Уведомить техническую службу,—,В случаях если найдено не соответствие фактических документов и результата проверки для передачи факта ошибки для внесения изменений в систему проверок система отправляет отчет в техническую службу
17,Судья,—,—,Завершение процесса,—,Завершение процесса
18,Судья,—,—,Закрывающий эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
19,Судья,—,—,Необходима дополнительная проверка факта уплаты госпошлины?Эксклюзивный шлюз,—,"Если возникает вопрос о подозрении фальсификации документов, суд может обратиться в ведомство за получением подтверждения, что документ валиден.Если «Да» - переход к шагу 21, если «нет» - к шагу 20"
20,Система,Положительный результат проверки,Сохранение данных и отчета в системе,Сохранить данные об уплате ГП из отчета в дело,—,Система после проверок пользователем вносит данные в систему и сохраняет отчет и данные.
21,Судья,Пакет данных для запроса,Получение информации,ТБП21.Направить автоматический запрос в другую ИС,—,"Пользователь указывает проверки или не указывает и проверка проходит по всем пунктам, также есть возможность указать ведомство в системе до запуска"
22,Судья,—,—,Закрывающий эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
23,Судья,—,—,Завершение процесса,—,Завершение процесса
24,Система,Полученые данные по запросу,LLM анализ полученных данных,Анализировать ответ ведомства,—,Система анализирует ответ и делает выводы и фиксирует в системе
25,Судья,—,—,Выявлена фальсификация платежного документа?Эксклюзивный шлюз,—,"В случае, если выявлен факт фальсификации платежного документа плательщиком госпошлины. Подсказки признаков фальсификации; чек-лист фиксацииЕсли Да переход к шагу 26; Если Нет - переход к шагу 27"
26,Система,Данные анализа LLM,Запись в системе,Зафиксировать факт фальсификации платежа,—,Система записывает данные в событие
27,Судья,—,—,Факт уплаты госпошлины подтвержден?Эксклюзивный шлюз,—,Контрольный чек-лист критериев подтвержденияЕсли «Да» - переход к шагу 30; Если «Нет» - переход к шагу 28
28,Судья,—,—,Закрывающий эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
29,Система,В ответе на запрос получены данные об отсутствии уплаты ГП,Сохранение данных в системе,Сохранить данных об отсутствии уплаты ГП,—,Система в ответ на запрос получила сведения об отсутствии уплаты ГП и сохранила их в системе
30,Система,В отчете на запрос получена информация об уплате ГП,Сохранение данных в системе,Сохранить данные об уплате ГП,—,Система в ответ на запрос получила сведения об факте уплаты ГП и сохранила их в системе
31,Судья,—,—,Закрывающий эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
32,Система,Машиночитаемые данные ответа на запрос,Человекочитаемые данные ,Сохранить данных и отправка отчета запроса,—,Система преобразует данные в читаемый вид
33,Система,Результаты проверок,Событие рекомендация пользователю с указанием на источники выводов,Формирование рекомендации,—,Система формирует событие с отметкой пользователя со всеми указанными проверками и рекомендациями по делу/номенклатурному документу
34,Судья,—,—,Завершение процесса,—,Завершение процесса
35,Судья,Сформированная рекомендация системы,Решение о переходе к шагу 36,Ознакомиться с отчетом,—,"Судья ознакамливается с рекомендациями системы, в случае ошибок судья формирует отчет об ошибках с указанием на ошибки."
36,Судья,—,—,Госпошлина уплачена?Эксклюзивный шлюз,—,Если «Да» - переход к шагу 37; Если «Нет» - переход к шагу 38
37,Судья,—,—,Госпошлина уплачена,—,Завершение процесса. Госпошлина уплачена.Автоматическая фиксация результата в карточке дела (внутренняя ИС суда)
38,Судья,—,—,Необходимо вынести частное определение о  нарушении законности?Эксклюзивный шлюз,—,Формирование документа по шаблону с использованием данных ИС судаЕсли «Да» - переход к шагу 39; Если «Нет» - переход к шагу 40
39,Судья,—,Частное определение о нарушении законности,ТБП24.Принять частное определение о нарушении законности,—,Переход к типовому процессу «Принять частное определение о нарушении законности». Результатом данного ТП является вынесенное судом определение о нарушении законности и направление его в соответствующий орган для устранения нарушений и применения иных мер.Шаблон СА (частного определения); автоподстановка реквизитов
40,Судья,—,—,Закрывающий эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
41,Судья,—,—,Госпошлина не уплачена,—,Завершение процесса. Факт уплаты госпошлины не подтвержден.
