№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,"Заявитель (лицо, в чью пользу принято решение)","","",Возникла необходимость получить ИЛ на решение  третейского суда,"",Возникла необходимость получить ИЛ на решение  третейского суда
1,"Заявитель (лицо, в чью пользу принято решение)","","Заявление о выдаче исполнительного листа на принудительное исполнение решения третейского судаДокумент, подтверждающий уплату государственной пошлины",ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"".В результате данного Заявитель готовит заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда. К заявлению применяются требования по форме и содержанию согласно положениям ст. 237 АПК РФ. Согласно ч.3 ст.236 заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда подается в арбитражный суд субъекта Российской Федерации по адресу или месту жительства должника либо, если его адрес или место жительства неизвестны, по месту нахождения имущества должника - стороны третейского разбирательства. По соглашению сторон третейского разбирательства заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда может быть подано в арбитражный суд субъекта Российской Федерации, на территории которого принято решение третейского суда, либо в арбитражный суд субъекта Российской Федерации по адресу стороны третейского разбирательства, в пользу которой принято решение третейского судаСогласно ч.13 ст. 333.21 НК РФ для данного типа заявления государственная пошлина исчисляется в размере 30 процентов государственной пошлины, исчисленной по правилам подпункта 1 настоящего пункта, исходя из суммы, подтвержденной соответствующим решением.to be процесс Электронное заявление, предусматривающее автоматическую валидацию данных + заполнение необходимого в силу АПКЗаявитель указывает куда ему нужно выслать Исполнительный лист."
2,"Заявитель (лицо, в чью пользу принято решение)","","",Заявление подано в суд,"",Заявление подано в суд
3,Канцелярия,Заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда,—,Поступило заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда,—,Канцелярия получает заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда
4,Канцелярия,Заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Зарегистрированное заявление,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ.В to be необходимо объединить Принять входящий документ и Передать дело/документ судье. Все необходимые фиксации делаются в электронных реестрах системой (через задачи т.к. реестр - это АПП), оповещения сторонних сервисов высылаются посредством интеграцииДобавляем документ в к делу, создаем необходимые задачи. Распределение на судью, задача на судью.Начальные проверки и валидация должны быть заложены в процесс ""Подать документы в суд"". Если система не имеет подтверждения о прохождении проверок комплектом документов, то вызов проверок осуществляется из этого процесса."
5,Судья,Зарегистрированное заявление (Заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда),-Определение о возвращении заявления-Определение об оставлении заявления без движения-Определение об отказе в принятии заявления-Определение о принятии заявления-Определение о назначении СЗ,ТБП31.Рассмотреть вопрос о принятии,5 дней с даты поступления заявления,"Судья рассматривает вопрос о принятии заявления к производству. Переход к типовому процессу ""Рассмотреть вопрос о принятии""Принятие:По смыслу ст. 127 АПК РФ Арбитражный суд обязан принять к производству заявление, поданное с соблюдением требований, предъявляемых к его форме и содержанию. Данный вопрос решается судьей единолично в течение 5 дней с момента поступления заявления. О принятии заявления арбитражный суд выносит определение, которым возбуждается производство по делу. Копии определения направляется ЛУВД не позднее следующего дня после его принятия.По смыслу ч.6 ст. 237 Заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда, поданное с нарушением требований, предусмотренных статьей 236 настоящего Кодекса и настоящей статьей, оставляется без движения или возвращается лицу, его подавшему, по правилам, установленным статьями 128 и 129 АПК.Система учитывает начальную валидацию, проведенную на этапе отправления документа. Все формальные требования уже должны быть выполнены, если документ принят системой.Автоматические проверки соблюдения требований к заявлению, задача на судью/помощника судьи , валидация проверок , формирование проектов судебных актов по вопросу о принятии (Оставление без движения, возвращение, отказ в принятии, принятие), подбор времени и места проведения СЗ, электронное извещение ЛУВД"
6,Судья,—,Определение о принятии заявления к производству,Заявление принято к рассмотрению?Эксклюзивный шлюз,—,"Судья принимает заявление к производству. Последствия принятия заявления к производству определяется согласно положениям ст. 127 АПК РФ. Копии определения о принятии заявления к производству арбитражного суда направляются лицам, участвующим в деле, не позднее следующего дня после дня его вынесения.Да: переход к шагу 20Нет: переход к шагу 7"
7,Судья,—,—,Ожидать окончания срока обжалования последнего СА по делу,—,Судья ожидает окончания срока обжалования последнего судебного акта по делу
8,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
9,Судья,—,—,Дело не принято к рассмотрению,—,"Судья принимает решение об отказе в принятии заявления. Согласно ч. 3 ст. 127.1 суд отказывает в принятии заявления, если имеется ставшее обязательным для сторон и принятое по спору между теми же сторонами, о том же предмете и по тем же основаниям решение третейского суда, за исключением случаев, если арбитражный суд отказал в выдаче исполнительного листа на принудительное исполнение решения третейского суда либо если арбитражный суд отменил указанное решение"
10,Иные ЛУВД (участники третейского разбирательства),"","",Получено уведомление о вынесении определения о принятии,"",Получено уведомление о вынесении определения о принятии
11,Иные ЛУВД (участники третейского разбирательства),"","",Ознакомиться с материалами дела в ЛК,"",Иные ЛУВД (участники третейского разбирательства) знакомится с материалами дела в ЛК
12,Иные ЛУВД (участники третейского разбирательства),"","",Необходимо подать отзыв на заявление?Эксклюзивный шлюз,"",Определяется необходимо ли подать отзыв на заявление?Да: переход к шагу 14Нет: переход к шагу 13
13,Иные ЛУВД (участники третейского разбирательства),"","",ЛУВД ознакомлен с определением о принятии,"",ЛУВД ознакомлен с определением о принятии
14,Иные ЛУВД (участники третейского разбирательства),"",Отзыв на исковое заявление,ТБП7.Подать документы в суд,"Срок для предоставления отзывов/возражений, указанный в определении суда","Переход к Типовому процессу «Подать документы в суд»Итогом этого ТП будет подготовленный и сформированный отзыв на заявление, который Иные ЛУВД (участники третейского разбирательства) подают в суд"
15,Иные ЛУВД (участники третейского разбирательства),"","","ЛУВД ознакомлен с определением о принятии, отзыв подан в суд","","ЛУВД ознакомлен с определением о принятии, отзыв подан в суд"
16,Система,"","",Ограничить подачу,"",Система ограничивает подачу
17,Система,"","",Ограничена подача в связи с истечением срока установленного судом,"",Ограничена подача в связи с истечением срока установленного судом
18,Канцелярия,"","",Поступили отзыв,"",Канцелярия фиксирует поступление отзыва
19,Канцелярия,Заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Зарегистрированное заявление,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ.В to be необходимо объединить Принять входящий документ и Передать дело/документ судье. Все необходимые фиксации делаются в электронных реестрах системой (через задачи т.к. реестр - это АПП), оповещения сторонних сервисов высылаются посредством интеграцииДобавляем документ в к делу, создаем необходимые задачи. Распределение на судью, задача на судью.Начальные проверки и валидация должны быть заложены в процесс ""Подать документы в суд"". Если система не имеет подтверждения о прохождении проверок комплектом документов, то вызов проверок осуществляется из этого процесса."
20,Помощник судьи,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 32"
21,Канцелярия,Документ по делу,Зарегистрированный документ,Поступил документ по делу,"",Канцелярия принимает и регистрирует документ по делу
22,Канцелярия,"",Зарегистрированное заявление,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ.В to be необходимо объединить Принять входящий документ и Передать дело/документ судье. Все необходимые фиксации делаются в электронных реестрах системой (через задачи т.к. реестр - это АПП), оповещения сторонних сервисов высылаются посредством интеграцииДобавляем документ в к делу, создаем необходимые задачи. Распределение на судью, задача на судью.Начальные проверки и валидация должны быть заложены в процесс ""Подать документы в суд"". Если система не имеет подтверждения о прохождении проверок комплектом документов, то вызов проверок осуществляется из этого процесса."
23,Канцелярия,"","",Принят и обработан входящий документ,"",Принят и обработан входящий документ
24,Иные ЛУВД (участники третейского разбирательства),"","",Возникла необходимость оспорить решение третейского суда,"","Согласно ст. 42 Постановления Пленума ВС РФ от 10.12.2019 N 53 решения третейских судов с местом арбитража на территории Российской Федерации могут быть оспорены путем подачи заявления об отмене в суд (часть 1 статьи 230 АПК РФ). Оспаривание арбитражных решений, если место арбитража находилось за пределами Российской Федерации, в судах Российской Федерации не допускается, в связи с этим суд отказывает в принятии такого заявления на основании пункта 1 части 1 статьи 127.1 АПК РФ, производство, начатое по таким заявлениям, подлежит прекращению применительно к пункту 1 части 1 статьи 150 АПК РФ"
25,Иные ЛУВД (участники третейского разбирательства),"","",Переход к рассмотрению встречного требования о решении третейского суда,"","Переход к рассмотрению встречного требования о решении третейского суда. Согласно ст. 43 Постановления Пленума ВС РФ от 10.12.2019 N 53Условие об окончательности решения третейского суда может содержаться только в прямом соглашении сторон и не может считаться согласованным, если оно содержится в правилах постоянно действующего арбитражного учреждения, даже если стороны при заключении арбитражного соглашения договорились о том, что такие правила являются неотъемлемой частью арбитражного соглашения (пункт 13 статьи 2, часть 12 статьи 7, статья 40 Закона об арбитраже, пункт 13 статьи 7, пункт 1 статьи 34 Закона о международном коммерческом арбитраже).Соглашение об окончательности решения третейского суда распространяется только на стороны третейского разбирательства. Иные лица, в отношении прав и обязанностей которых вынесено решение третейского суда, а также в определенных законом случаях прокурор (части 2, 3, 5 статьи 230 АПК РФ) вправе оспаривать в суде такое решение путем подачи заявления о его отмене"
26,"Заявитель (лицо, в чью пользу принято решение)",—,"",Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)."
27,"Заявитель (лицо, в чью пользу принято решение)",—,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие.,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ.","Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель (лицо, в чью пользу принято решение) формирует и направляет Ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причин"
28,"Заявитель (лицо, в чью пользу принято решение)",—,—,Завершение процесса,—,Завершение процесса
29,Иные ЛУВД (участники третейского разбирательства),—,—,Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)."
30,Иные ЛУВД (участники третейского разбирательства),—,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие.,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ.","Переход к типовому процессу «Подать документы в суд», в рамках которого Иные ЛУВД (участники третейского разбирательства формируют и направляет Ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причин"
31,Иные ЛУВД (участники третейского разбирательства),—,—,Завершение процесса,—,Завершение процесса
32,Помощник судьи,"","",ТБП66.Подготовиться к СЗ,"Подготовка дела к судебному разбирательству проводится в срок, определяемый судьей с учетом обстоятельств конкретного дела и необходимости совершения соответствующих процессуальных действий","Переход к Типовому процессу «Подготовиться к СЗ». В результате данного ТП помощник судьи проверяет необходимые для данного процесса требования согласно ч.2 и 3 ст. 238 АПК РФ. При подготовке дела к судебному разбирательству по ходатайству стороны третейского разбирательства суд может истребовать из постоянно действующего арбитражного учреждения или из органа, уполномоченного на хранение материалов третейского дела в соответствии с законодательством Российской Федерации, материалы дела, по которому испрашивается исполнительный лист на принудительное исполнение решения третейского суда, по правилам, предусмотренным ст.66 АПК РФСтороны третейского разбирательства извещаются арбитражным судом о времени и месте судебного заседания. Неявка указанных лиц, извещенных надлежащим образом о времени и месте судебного заседания, не является препятствием для рассмотрения дела. При необходимости помощником судьи направляются запросы иностранным судам и компетентным органам по правилам, предусмотренным ст. 256 АПК РФ.Автоматические запросы, запросы в другую ИС, отчет о подготовке дела к рассмотрению, задачи на секретаря, помощника судьи, возможность проведения собеседования, формирование проекта СА, аудио протоколирование, транскрибация собеседования. "
33,Судья,"","Определение об отложении судебного разбирательства, протокол",ТБП68.Провести СЗ,1 месяц со дня поступления заявления14 дней со дня поступления заявления (для Арбитражного суда Калининградской области или Арбитражного суда Приморского края),"Переход к типовому процессу ""Провести СЗ"". В результате данного ТП судья проводит судебное заседание по рассмотрению заявления. В соответствии со ст. 238 АПК РФ Заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда рассматривается судьей единолично по правилам рассмотрения дела арбитражным судом первой инстанции,  с учетом особенностей, установленных настоящим параграфом, в срок, не превышающий одного месяца со дня его поступления в арбитражный суд субъекта Российской Федерации.В случаях, предусмотренных для Арбитражного суда Калининградской области или Арбитражного суда Приморского края, заявление о выдаче исполнительного листа на принудительное исполнение решения, постановления и иных процессуальных актов третейского суда может рассматриваться в срок, не превышающий четырнадцати дней, без проведения судебного заседания. При этом сторона спора вправе представить возражения в отношении такого заявления в течение семи дней со дня поступления такого заявления в арбитражный суд (ст. 17 Федеральный закон от 03.08.2018 N 291-ФЗ ""О специальных административных районах на территориях Калининградской области и Приморского края"")Отложение судебного разбирательства проводится в соответствии с положениями ст. 158 АПК.Судебное разбирательство в новом судебном заседании возобновляется с того момента, с которого оно было отложено. Повторное рассмотрение доказательств, исследованных до отложения судебного разбирательства, не производитсяto be процессаудио протоколирование, транскрибация, формирование проекта протокола СЗ, онлайн график СЗ, автоматическая проверка явки, подбор времени и места проведения СЗ при перерыве и отложении, формирование проекта СА об отложении СЗ"
34,Судья,"","",Требуется приостановить производство по делу?Эксклюзивный шлюз,"",Требуется приостановить производство по делу?Да: переход к шагу 41Нет: переход к шагу 42
35,"Заявитель (лицо, в чью пользу принято решение)",—,Ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,Возникла необходимость подать ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,"У Заявителя (лицо, в чью пользу принято решение) возникла необходимость подать ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу"
36,"Заявитель (лицо, в чью пользу принято решение)",Ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,Определение о приостановлении/оставлении без рассмотрения/прекращении производства по делу,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель (лицо, в чью пользу принято решение) формирует и направляет Ходатайство о приостановлении/оставлении без рассмотрения/прекращении производства по делу"
37,"Заявитель (лицо, в чью пользу принято решение)",—,—,Переход к шагам о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,Переход к рассмотрению соответствующих шагов о о приостановлении/оставлении без рассмотрения/прекращении производства по делу
38,Иные ЛУВД (участники третейского разбирательства),—,Ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,Возникла необходимость подать ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,Иные ЛУВД в т.ч. Ответчик формирует и подает ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу
39,Иные ЛУВД (участники третейского разбирательства),Ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Иные ЛУВД (участники третейского разбирательства) формирует и направляет Ходатайство о приостановлении/оставлении без рассмотрения/прекращении производства по делу"
40,Иные ЛУВД (участники третейского разбирательства),—,—,Переход к шагам о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,Переход к рассмотрению соответствующих шагов о о приостановлении/оставлении без рассмотрения/прекращении производства по делу
41,Судья,"Ходатайство о приостановлении, материалы дела",Определение о приостановленииОпределение об отказе о приостановлении Определение о восстановлении производства,ТБП63.Рассмотреть вопрос о приостановлении,—,"Переход к типовому процессу ""Рассмотреть вопрос о приостановлении"". В результате ТП Судья рассматривает ходатайство о приостановлении производства по делу, анализирует представленные материалы и принимает соответствующее процессуальное решениеПриостановление:АС обязан приостановить дела согласно ст 143 АПК в связи со смертью гражданина, утратой дееспособности, невозможности рассмотрения данного дела до разрешения другого дела иным судом, участия гражданина, являющегося стороной в деле, в боевых действияхАС в праве приостановить рассмотрение дела согласно ст 144 АПК в связи с реорганизацией ЮЛ, назначением экспертизы, для выполнения гражданином государственной обязанности, нахождением стороны в лечебном учреждении или длительной служебной командировке, участие ЕИО организации в боевых действияхВозобновление производства по делу регулируется положениями ст. 146 АПК РФ по заявлению лиц, участвующих в деле, или по своей инициативе после устранения обстоятельств, вызвавших его приостановление, либо до их устранения по заявлению лица, по ходатайству которого производство по делу было приостановлено"
42,Судья,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз для координации потоков, переход к шагу 64"
43,"Заявитель (лицо, в чью пользу принято решение)","",—,Возникла необходимость в  ускорении,—,"Согласно ч.6 ст 6.1 АПК В случае если после принятия искового заявления или заявления к производству арбитражного суда дело длительное время не рассматривается и судебный процесс затягивается, заинтересованные лица вправе обратиться к председателю арбитражного суда с заявлением об ускорении рассмотрения дела"
44,"Заявитель (лицо, в чью пользу принято решение)","",Заявление об ускорении рассмотрения дела,ТБП7.Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Заявитель (лицо, в чью пользу принято решение) формирует и подает заявление об ускорении рассмотрения дела в суд"
45,"Заявитель (лицо, в чью пользу принято решение)","",—,Завершение процесса,—,Завершение процесса
46,Иные ЛУВД (участники третейского разбирательства),"",—,Возникла необходимость в  ускорении,—,"Согласно ч.6 ст 6.1 АПК В случае если после принятия искового заявления или заявления к производству арбитражного суда дело длительное время не рассматривается и судебный процесс затягивается, заинтересованные лица вправе обратиться к председателю арбитражного суда с заявлением об ускорении рассмотрения дела"
47,Иные ЛУВД (участники третейского разбирательства),"",Заявление об ускорении рассмотрения дела,ТБП7.Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Иные ЛУВД (участники третейского разбирательства) формирует и подает заявление об ускорении рассмотрения дела в суд"
48,Иные ЛУВД (участники третейского разбирательства),"",—,Завершение процесса,—,Завершение процесса
49,Судья,Заявление об ускорении рассмотрения дела,"",Поступило заявление об ускорении,—,Судья принимает заявление об ускорении рассмотрения дела
50,Судья,Заявление об ускорении рассмотрения дела,Мотивированное определение об ускорении рассмотрения дела,Рассмотреть вопрос об ускорении,5 дней,"Переход к типовому процессу ""Рассмотреть вопрос об ускорении"". В результате данного ТП Судья рассматривает заявление об ускорении рассмотрения дела.Согласно ч.7 ст 6.1 АПК По результатам рассмотрения заявления председатель арбитражного суда выносит мотивированное определение, в котором может быть установлен срок проведения судебного заседания по делу и (или) могут быть указаны действия, которые следует совершить для ускорения рассмотрения дела"
51,Судья,"","",Завершение процесса,—,Завершение процесса
52,"Заявитель (лицо, в чью пользу принято решение)",—,Заявление об отводе судьи,Возникла необходимость в отводе судьи,—,"Заявитель (лицо, в чью пользу принято решение) принимает решение о подаче заявления об отводе судьи"
53,"Заявитель (лицо, в чью пользу принято решение)", ,Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель (лицо, в чью пользу принято решение) формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу."
54,"Заявитель (лицо, в чью пользу принято решение)",—,—,Завершение подачи заявления,—,Процесс подачи заявления завершен
55,Иные ЛУВД (участники третейского разбирательства),—,Заявление об отводе судьи,Возникла необходимость в отводе судьи,—,Иные ЛУВД (участники третейского разбирательства) принимает решение о подаче заявления об отводе судьи
56,Иные ЛУВД (участники третейского разбирательства), ,Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Иные ЛУВД (участники третейского разбирательства) формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу."
57,Иные ЛУВД (участники третейского разбирательства),—,—,Завершение подачи заявления,—,Процесс подачи заявления завершен
58,Судья,—,—,Возникла необходимость в отводе/самоотводе судьи,—,Судья принимает решение о самоотводе. Основания для отвода/самоотвода судьи регулируются ст. 21 АПК.
59,Судья,—,Определение об отводе/самоотводе,ТБП27.Отвод/самоотвод судьи,—,"Судья рассматривает вопрос об отводе или принимает самоотвод . Согласно ст. 24-26 АПК по итогам заявления отвода/самоотвода в случае единоличного рассмотрения, вопрос решается тем же судьей, в случае коллегиального-большинством голосов при удалении судьи, в отношении которого заявлен отвода/самоотвода. В результате отвода/самоотвода судья в заседании заменяется."
60,Судья,—,—,Завершение процесса отвода,—,Процесс отвода судьи завершен
61,Судья,—,—,Возникла необходимость в замене судьи,—,Судья принимает решение о необходимости замены
62,Судья,—,Определение о замене судьи,ТБП28.Заменить судью,—,"Судья принимает решение о замене судьи. Согласно ст 18 АПК в случае замены судьи, арбитражного заседателя в процессе рассмотрения дела судебное разбирательство должно быть произведено с самого начала. "
63,Судья,—,—,Завершение процесса замены,—,Процесс замены судьи завершен
64,Судья, , ,ТБП142.Сформировать правовую позицию по делу, ,"Переход к типовому процессу ""Сформировать правовую позицию по делу"". В результате данного ТП Судья формирует правовую позицию по делу. Система проводить автоматические проверки, анализирует материалы дела и судебную практику, формирует отчет для судьи.Внутри данного процесса ТП ""Оценить доказательства по делу""Судья формирует правовую позицию по делу (будет ли рассматривать дело по существу, прекратит, передаст по подсудности)"
65,Судья,"",—,Требуется прекратить производство по заявлению?Эксклюзивный шлюз,—,Определяется требуется ли прекратить производство по заявлениюДа: переход к шагу 66Нет: переход к шагу 70
66,Судья,"","",ТБП109.Рассмотреть вопрос о прекращении производства по делу,"","Переход к типовому процессу ""Рассмотреть вопрос о прекращении производства по делу"" В результате этого ТП Судья принимает решение о прекращении производстваПрекращение производства проводится согласно ст. 150 АПК. О прекращении производства по делу арбитражный суд выносит определение.В определении арбитражный суд указывает основания для прекращения производства по делу, а также разрешает вопросы о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 1 статьи 150 АПК, и распределении между сторонами судебных расходов.В случае прекращения производства по делу повторное обращение в арбитражный суд по спору между теми же лицами, о том же предмете и по тем же основаниям не допускается, за исключением прекращения производства по делу о защите прав и законных интересов группы лиц в порядке, установленном частью 7 статьи 225.15 настоящего Кодекса.Оспаривание арбитражных решений, если место арбитража находилось за пределами Российской Федерации, в судах Российской Федерации не допускается, в связи с этим суд отказывает в принятии такого заявления на основании пункта 1 части 1 статьи 127.1 АПК РФ, производство, начатое по таким заявлениям, подлежит прекращению применительно к пункту 1 части 1 статьи 150 АПК РФ."
67,Судья,"","",Ожидать 6 месяцев с даты вступления в законную силу СА,—,Судья ожидает 6 месяцев с даты вступления с законную силу СА
68,Судья,Материалы иска с приобщённым Определением о прекращении производства,"Материалы дела, подготовленные для передачи в архив",ТБП89.Передать дело в архив,—,"Переход к Типовому процессу «Передать дело в архив»Результат данного ТП -передача дела в архив на хранения и последующее уничтожения после истечения срока хранения.Сроки хранения будут завесить от основного дела, к которому были приобщены материалы по прекращению производства"
69,Судья,"","",Производство по делу прекращено,"",Производство по делу прекращено
70,Судья,"","",ТБП140.Рассмотреть по существу,"","Переход к типовому процессу ""Рассмотреть по существу"". В результате данного ТП рассматривается вопрос о выдаче ИЛ в соответствии с требованиями ст. 238. При рассмотрении дела арбитражный суд в судебном заседании устанавливает наличие или отсутствие оснований для отказа в выдаче исполнительного листа на принудительное исполнение решения третейского суда, предусмотренных статьей 239 АПК РФ, путем исследования представленных в суд доказательств обоснования заявленных требований и возражений, но не вправе переоценивать обстоятельства, установленные третейским судом, либо пересматривать решение третейского суда по существу. Согласно ч. 5-6 ст. 238 АПК РФ-Если в одном и том же арбитражном суде находятся на рассмотрении заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда и заявление о его отмене, арбитражный суд объединяет указанные дела в одно производство-Если на рассмотрении разных АС РФ заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда и заявление о его отмене, суд, который в который заявление поступило позже, обязан приостановить производство до рассмотрения первого заявления."
71,Судья,"",Определение арбитражного суда по делу о выдаче исполнительного листа на принудительное исполнение решения третейского суда,ТБП80.Принять СА,1 месяц с даты поступления заявления,"Переход к типовому процессу ""Принять СА"". В результате данного ТП согласно ч. 7 ст. 238 АС может принять следующие виды определений по существу дела:1) об отказе в выдаче исполнительного листа на принудительное исполнение решения третейского суда в случае вынесения иным арбитражным судом Российской Федерации определения об отмене этого решения;2) о прекращении производства по заявлению о выдаче исполнительного листа на принудительное исполнение решения третейского суда в соответствии с пунктом 2 части 1 статьи 150 АПК в случае вынесения иным арбитражным судом Российской Федерации определения об отказе в отмене этого решения с учетом положений пункта 5 части 2 статьи 234 АПК;3) об отказе в отмене решения третейского суда в случае вынесения иным арбитражным судом Российской Федерации определения о выдаче исполнительного листа на принудительное исполнение этого решения;4) о прекращении производства по заявлению об отмене решения третейского суда по правилам, предусмотренным пунктом 2 части 1 статьи 150 АПК, в случае вынесения иным арбитражным судом Российской Федерации определения об отказе в выдаче исполнительного листа на принудительное исполнение этого решения"
72,"Заявитель (лицо, в чью пользу принято решение)","","",Получено уведомление о вынесении определения арбитражного суда по делу о выдаче ИЛ на решение третейского суда,"",Получено уведомление о вынесении определения арбитражного суда по делу о выдаче ИЛ на решение третейского суда
73,"Заявитель (лицо, в чью пользу принято решение)","","",Ознакомиться в ЛК,"","Заявитель (лицо, в чью пользу принято решение) знакомиться с документом в ЛК"
74,Система,"","",Отправить время ознакомления,"",Система отправляет время для ознакомление
75,"Заявитель (лицо, в чью пользу принято решение)","","",Есть ли основание для обжалования?Эксклюзивный шлюз,"",Есть ли основания для обжалования?Да: переход к шагу 76Нет: переход к шагу 77
