№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
21,Суд,—,—,Суд может отложить рассмотрение дела? Эксклюзивный шлюз,—,Суд может отложить рассмотрение дела? Эксклюзивный шлюз
22,Суд,—,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства
23,Суд,—,—,После окончания наблюдения у суда отсутствуют основания для введения фин. оздоровления? Эксклюзивный шлюз,—,После окончания наблюдения у суда отсутствуют основания для введения фин. оздоровления? Эксклюзивный шлюз
24,Суд,—,—,По итогам завершения финансового оздоровления суд пришел к необходимости введении внешнего управления? Эксклюзивный шлюз,—,По итогам завершения финансового оздоровления суд пришел к необходимости введении внешнего управления? Эксклюзивный шлюз
25,Суд,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
26,Суд,—,—,В деле о банкротстве стратегической организации представлено заключение федерального органа исполнительной власти о возможности восстановления платежеспособности должника в ходе внешнего управления? Эксклюзивный шлюз,—,В деле о банкротстве стратегической организации представлено заключение федерального органа исполнительной власти о возможности восстановления платежеспособности должника в ходе внешнего управления? Эксклюзивный шлюз
27,Суд,—,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства
28,Суд,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
29,Система,—,—,Рассмотреть вопрос о платежеспособности должника,—,Система рассматривает вопрос о платежеспособности должника для принятия решения о введении внешнего управления
30,Суд,—,—,Возможно восстановление платежеспособности? Эксклюзивный шлюз,—,Возможно восстановление платежеспособности? Эксклюзивный шлюз
31,Суд,—,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства
32,Суд,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
33,Система,—,—,Подготовить выводы по делу,—,Система подготавливает выводы по делу
34,Суд,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
35,Судья,—,Срок внешнего управления в СА,Указать в СА срок внешнего управления,—,Суд указывает в судебном акте срок внешнего управления в соответствии с законом
36,Судья,—,Мораторий на удовлетворение требований кредиторов в СА,Ввести мораторий на удовлетворение требований кредиторов,—,Суд вводит мораторий на удовлетворение требований кредиторов в соответствии с законом
37,Суд,—,—,Представлена кандидатура АУ? Эксклюзивный шлюз,—,Представлена кандидатура АУ? Эксклюзивный шлюз
38,Система,—,—,Утвердить внешнего управляющего,—,Система утверждает представленную кандидатуру внешнего управляющего
39,Суд,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
40,Суд,—,—,Необходимо разрешить вопросы обеспечительных мер?Эксклюзивный шлюз,—,Необходимо разрешить вопросы обеспечительных мер? Эксклюзивный шлюз
41,Суд,—,—,Завершение процесса. Переход в процесс рассмотрения обеспечительных мер,—,Завершение процесса. Переход в процесс рассмотрения обеспечительных мер
42,Суд,—,—,Необходимо разрешить иные вопросы в ходе судебного разбирательства?Эксклюзивный шлюз,—,Необходимо разрешить иные вопросы в ходе судебного разбирательства?Эксклюзивный шлюз
43,Суд,—,—,Требуется перейти в судебное разбирательство? Эксклюзивный шлюз,—,Требуется перейти в судебное разбирательство? Эксклюзивный шлюз
44,Суд,—,—,Завершение процесса. Переход в процесс провести СЗ,—,Завершение процесса. Переход в процесс провести СЗ
45,Суд,—,—,ТБП142.Сформировать правовую позицию по делу,—,"Типовой процесс ""Сформировать правовую позицию по делу"""
46,Суд,—,—,ТБП140.Рассмотреть по существу,—,"Типовой процесс ""Рассмотреть по существу"""
47,Суд,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
48,Суд,—,—,Необходимо дополнительное исследование доказательств или выяснение обстоятельств? Эксклюзивный шлюз,—,Необходимо дополнительное исследование доказательств или выяснение обстоятельств? Эксклюзивный шлюз
49,Суд,—,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства
50,Система,—,—,Сохранить данные,—,Система сохраняет данные
51,Суд,—,—,Завершение процесса. Суд вводит внешнее управление,—,Завершение процесса. Суд вводит внешнее управление
