№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Суд,Результаты оценки доказательств по делу о банкротстве,—,После оценки доказательств суд перешел к рассмотрению вопроса о введении внешнего управления,—,Суд завершил оценку доказательств и переходит к рассмотрению вопроса о введении внешнего управления
1,Система,—,—,Задать судье вопрос о тайне совещательной,—,Система спрашивает судью о  тайне совещательной
2,Судья,—,—,Ответить на вопрос о тайне совещательной,—,Эксклюзивный открывающий шлюз
3,Суд,—,—,Тайна совещания судей обеспечена? Эксклюзивный шлюз,—,Эксклюзивный шлюз. Да: переход к шагу 6 Нет: переход к шагу 4
4,Система,—,—,Закрыть доступ к вынесению СА,—,Система закрывает доступ к вынесению СА
5,Суд,—,—,Завершение процесса. Переход в процесс Провести СЗ,—,При невозможности обеспечить тайну совещательной суд переходит к проведению судебного заседания
6,Система,—,—,Сохранить информацию о подтверждении соблюдении тайны,—,Система сохраняет информацию о подтверждении соблюдения тайны
7,Система,—,Определенные законы и НПА,Определить законы и НПА подлежащие применению,—,"Система определяет законы и нормативно-правовые акты, подлежащие применению при рассмотрении вопроса о введении внешнего управления"
8,Система,—,Содержание норм права в официальном толковании,Установить содержание норм права в официальном толковании,—,Система устанавливает содержание норм права в официальном толковании для правильного применения
9,Система,—,Содержание норм права в судебной практике,Установить содержание норм права в судебной практике,—,Система устанавливает содержание норм права в судебной практике для единообразного применения
10,Система,—,Права и обязанности ЛУВД,Установить права и обязанности ЛУВД,—,"Система устанавливает права и обязанности лиц, участвующих в деле, в соответствии с применимыми нормами права"
11,Суд,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
12,Суд,—,—,ЛУВД ссылались на иные НПА? Эксклюзивный шлюз,—,Эксклюзивный шлюз. Нет: переход к шагу 14
13,Судья,—,Мотивы неприменения НПА в СА,Указать в СА мотивы неприменения НПА,—,"Суд указывает в судебном акте мотивы неприменения нормативно-правовых актов, на которые ссылались ЛУВД"
14,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
15,Система,—,—,Провести анализ дела,—,Система проводит анализ дела
16,Суд,Права и обязанности ЛУВД,—,Собранием кредиторов принято решение о введении внешнего управления? Эксклюзивный шлюз,—,Собранием кредиторов принято решение о введении внешнего управления? Эксклюзивный шлюз
17,Система,Решение по ходатайству о введении внешнего управления,—,Рассмотреть ходатайство о введении внешнего управления,—,"Суд рассматривает ходатайство о введении внешнего управления, поданное собранием кредиторов"
18,Суд,Решение по ходатайству о введении внешнего управления,—,Ходатайство о введении внешнего управления удовлетворено? Эксклюзивный шлюз,—,Ходатайство о введении внешнего управления удовлетворено? Эксклюзивный шлюз
19,Суд,—,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства,—,При отказе в удовлетворении ходатайства суд переходит к основной схеме в зависимости от процедуры банкротства
20,Суд,—,—,ТБП5.Проверить срок,—,"Переход к типовому процессу ""Проверить срок"".В результате данного ТП Судья проверяет соблюдение процессуальных сроков для введения внешнего управления"
