№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья суда первой инстанции,Необходимость рассмотрения вопроса о признаках недействующего ЮЛ,—,Возникла необходимость рассмотреть вопрос о признаках недействующего ЮЛ,—,Судья суда первой инстанции принимает решение о необходимости рассмотрения вопроса о признаках недействующего юридического лица в рамках процедуры банкротства
1,Судья суда первой инстанции,Решение о рассмотрении вопроса,—,Известно местонахождение руководителя должника?Эксклюзивный шлюз,—,"Судья суда первой инстанции проверяет, известно ли местонахождение руководителя должника. Да: переход к шагу 8, Нет: переход к шагу 2Автоматическая проверка по базам данных"
2,Судья суда первой инстанции,Неизвестное местонахождение руководителя,—,ТБП23.Направить запрос в ведомство,5 рабочих дней,Помощник судьи суда первой инстанции направляет запрос в соответствующие ведомства для установления местонахождения руководителя должникаАвтоматическая генерация и отправка запросов
3,Судья суда первой инстанции,—,—,Разрешить вопрос об отсутствии руководителя должника,3 рабочих дня,Судья суда первой инстанции принимает решение по вопросу об отсутствии руководителя должника на основе представленной информации
4,Судья суда первой инстанции,Решение по вопросу руководителя,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
5,Судья суда первой инстанции,Решение о проверке,—,Параллельный шлюз для координации процессов проверки (Parallel Gateway),—,Судья суда первой инстанции координирует параллельные процессы проверки признаков недействующего юридического лица.
6,Система,Материалы дела,—,Проверить операции по банковским счетам,5 рабочих дней,Система проверяет операции по банковским счетам должника за последние 12 месяцев для установления признаков недействующего юридического лица
7,Система,Материалы дела,—,Установить отсутствие имущества должника,3 рабочих дня,"Система устанавливает отсутствие имущества должника, подлежащего взысканию"
8,Система,Материалы дела,—,Установить отсутствие предпринимательской деятельности,3 рабочих дня,Система устанавливает отсутствие предпринимательской деятельности должника за последние 12 месяцев
9,Судья суда первой инстанции,Результаты проверок,—,Параллельный шлюз для координации результатов (Parallel Gateway),—,Параллельный шлюз для координации результатов (Parallel Gateway)
10,Судья суда первой инстанции,—,Запрос в ведомство,ТБП23.Направить запрос в ведомство,—,"Типовой процесс ""Направить запрос в ведомство"""
11,Система,—,Рекомендация,Подготовить рекомендацию для пользователя,—,"Система готовит общий отчет о проделанных проверках и вывод системы, построенный при помощи LLM"
12,Судья суда первой инстанции,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
13,Судья суда первой инстанции,—,—,Суду известна информация об иной деятельности должника? Эксклюзивный шлюз,—,Суду известна информация об иной деятельности должника? Эксклюзивный шлюз
14,Судья суда первой инстанции,—,—,Установить отсутствие иной деятельности,—,Судья суда первой инстанции устанавливает отсутствие иной деятельности
15,Судья суда первой инстанции,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
16,Судья суда первой инстанции,—,—,Должник соответствует признакам отсутствующего? Эксклюзивный шлюз,—,Должник соответствует признакам отсутствующего? Эксклюзивный шлюз
17,Судья суда первой инстанции,—,—,Завершение процесса. Должник недействующее ЮЛ,"",Судья суда первой инстанции принимает решение о признании должника недействующим юридическим лицом
18,Судья суда первой инстанции,—,—,Завершение процесса. Отсутствуют признаки недействующего ЮЛ,—,Судья суда первой инстанции принимает решение об отсутствии признаков недействующего юридического лица
