№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Сотрудник ответственный  за передачу дел,"","",Возникла необходимость передать дело/номенклатурное дело в архив,"",Сотрудник ответственный  за передачу дел инициирует процесс подготовки к передаче дело/номенклатурное дело в архив
1,Сотрудник ответственный  за передачу дел,"","",Передается судебное дело? Эксклюзивный шлюз,"",Сотрудник ответственный  за передачу дел может передавать судебное либо номенклатурное дело
2,Сотрудник ответственный  за передачу дел,"","",ТБП89.Передать дело в архив,"","Судебное дело передается по истечении 6 месяцев со вступления в законную силу последнего СА по делуПереход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
3,Сотрудник ответственный  за передачу дел,"","",Завершение процесса,"",Завершение процесса
4,Сотрудник ответственный  за передачу дел,"","",Найти передаваемые документы в Перечне,"",Для номенклатурного дела сотрудник ответственный  за передачу дел находит передаваемые документы в Перечне
5,Сотрудник ответственный  за передачу дел,"","",Установить срок хранения передаваемых документов,"",Сотрудник ответственный  за передачу дел устанавливает срок хранения передаваемых документов согласно Номенклатуре дел в суде
6,Сотрудник ответственный  за передачу дел,"","",Сформировать и сшить номенклатурное дело,"","Сдаваемое в архив номенклатурное дело должно быть надлежащим образом оформлено в соответствии с требованиями Инструкции.Сотрудник ответственный  за передачу дел проверяет соответствие индексов и заголовков на обложке дел, индексам и заголовкам, указанным в сдаточной описи, а также содержанию в сводной номенклатуре дел."
7,Сотрудник ответственный  за передачу дел,"","",ТБП106.Передать документ,"",Переход к типовому процессу «Передать документ»Результатом данного технологического процесса станет оформление и передача подготовленного номенклатурного дела с внесением данных в соответствующий реестр суда
8,Сотрудник ответственный  за передачу дел,"","",Завершение процесса,"",Завершение процесса
