№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Возникла необходимость привлечь КДЛ к субсидиарной ответственности,—,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы) принимает решение о необходимости привлечь КДЛ к субсидиарной ответственности"
1,Система,—,—,Проверить право на подачу заявления и процедуру,—,Система проверяет право на подачу заявления
2,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Проверка пройдена?,—,"Кредитор определяет, пройдена ли проверка праваДа: переход к шагу 8Нет: переход к шагу 5"
3,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Заявление о признании должника банкротом прекращено в связи с отсутствием средств ?,—,"Кредитор определяет, прекращено ли заявление о признании должника банкротом в связи с отсутствием средствДа: переход к шагу 4Нет: переход к шагу 5"
4,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Переход в Исковое производство,—,Переход в Исковое производство
5,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Ограничена подача в связи с отсутствием права,—,Ограничена подача в связи с отсутствием права
6,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Возникла необходимость в обеспечении иска,—,Кредитор принимает решение о необходимости обеспечения иска
7,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Переход в процесс рассмотрения обеспечительных мер,—,Переход в процесс рассмотрения обеспечительных мер
8,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,Заявление о привлечении к субсидиарной ответственности КДЛ,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Кредитор формирует и подает Заявление о привлечении к субсидиарной ответственности КДЛ должника в соответствии со ст. 61.16 ФЗ ""О несостоятельности (банкротстве)"""
9,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Документ подан,—,Документ подан
