№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Суд,—,—,Появилась необходимость  проверить сделку на недействительность,—,"Сделки, совершенные должником или другими лицами за счет должника, могут быть признаны недействительными в соответствии с Гражданским кодексом Российской Федерации, а также по основаниям и в порядке, которые указаны в ФЗ от 26.10.2002 N 127-ФЗ «О не состоятельности (банкротстве)» (Далее - «ФЗ»), в частности в гл. III.1 Арбитражный управляющий принимает решение о необходимости проверки сделки на предмет недействительности в рамках процедур банкротства."
1,Система,Материалы дела,Выводы системы,Начать анализ,—,"Система начинает первичный анализ, по результатам которого для судьи будет сформирован отдельный отчет с информацией по проверкам, выводам и рекомендациям."
2,Система,—,—,Параллельный шлюз,—,"Параллельный открывающий шлюз, разделяющий поток на 3-й, 4-й, 5-й, 6-й шаги"
3,Система,Материалы дела,Вывод системы,Проверить дату совершения сделки,—,Система проверяет дату совершения сделки. Дата может пересекаться с периодом совершения подозрительной деятельности. Как правило это последний год. Максимум 3 года до подачи до принятия заявления о признании должника банкротом.
4,Система,Материалы дела,Вывод системы,Проверить цену,—,"Система проверяет цену сделки, несоответствие предмета/цены рынку, отсутствие реального исполнения, взаимозачёты без встречного движения."
5,Система,Материалы дела,Вывод системы,Проверить полномочия подписантов,—,"Система проверяет полномочия подписантов. Сделка не должна совершаться лицом, не обладающим полномочием на совершение сделки.Осуществляются запросы ЕГРЮЛ/СПАРК/Федресурс, проверка документов в деле."
6,Система,Материалы дела,Вывод системы,Проверить противоречит ли сделка закону?,—,Система проверяет законность сделки. Анализ законодательства и практики схожих сделок с четом особенностей сторон сделки выводы LLM.
7,Система,—,—,Параллельный шлюз,—,"Параллельный закрывающий шлюз, объединяющий потоки из 3-го, 4-го, 5-го, 6-го шага"
8,Система,Выводы системы,Отчет о проверках,Подготовить рекомендацию для пользователя,—,"Система заканчивает анализ, начатый в шаге 1,  оформляет общий отчет о проверках с информацией о проведенных системой действиях и запросах, выводах, рекомендациях системы."
9,Суд,Отчет о проверках,Отчет о проверках (подтвержденный),Проверить выводы системы,—,"Переход в типовой процесс ""Проверить выводы системы"". Судья проверяет Отчет по проверкам и имеет возможность внести в него коррективы. Дальнейшие действия системы основываются на подтверждении выводов судьей."
10,Суд,—,—,Параллельный шлюз,—,"Параллельный открывающий шлюз, разделяющий поток на 11-й, 12-й, 13-й, 14-й, 15-й, 16-й шаги"
11,Суд,Материалы дела,Выводы судьи,Проверить мнимость сделки,—,"Судья проверяет, является ли сделка мнимой (совершенной без намерения создать правовые последствия)."
12,Суд,Материалы дела,Выводы судьи,Проверить противоречит ли сделка  основам правопорядка?,—,Судья проверяет сделку на предмет противоречия основам правопорядка
13,Суд,Материалы дела,Выводы судьи,Проверить противоречит ли сделка нравственности?,—,Судья проверяет сделку на предмет противоречия нравственности.
14,Суд,Материалы дела,Выводы судьи,Проверить волеизъявление стороны,—,Судья проверяет волеизъявление сторон.
15,Суд,Материалы дела,Выводы судьи,Проверить цель совершения сделки,—,Судья проверяет цель совершения сделки.
16,Суд,Материалы дела,Выводы судьи,Проверить наличие предпочтения кредитору,—,Судья проверяет наличие предпочтения кредитору.
17,Суд,—,—,Параллельный шлюз,—,"Параллельный закрывающий шлюз. Закрывающий шлюз, объединяющий потоки из 11-го, 12-го, 13-го, 14-го, 15-го, 16-го шага"
18,Суд,Отчет о проверках (подтвержденный) иВыводы судьи,—,Установлены основания признания сделки недействительной?Эксклюзивный шлюз,—,"Установлены основания признания сделки недействительной?Если да, то переход к шагу 21. Если нет, то переход к шагу 19."
19,Система,Отчет о проверках (подтвержденный) иВыводы судьи,"Установлено основание действительности сделки, Позиция по вопросу",Установить основания действительности сделки,—,"Система готовит позицию (шаблон документа), обосновывающую действительность сделки."
20,Система,Отчет о проверках (подтвержденный) иВыводы судьи,Позиция по вопросу (дополнена),Указать в СА последствия недействительности,—,"Система дополняет позицию (шаблон документа), обосновывающую действительность сделки, указываются последствия недействительности."
21,Суд,—,—,Эксклюзивный шлюз,—,"Стоимость имущества, приобретенного по сделке, превышает стоимость возвращаемого в конкурсную массу в результате оспаривания сделки?Если да, то переход к шагу 22.Если нет, то переход к шагу 24"
22,Система,Отчет о проверках (подтвержденный) иВыводы судьи,"Установлено основание недействительности сделки, Позиция по вопросу",Установить основания недействительности сделки,—,"Система готовит позицию (шаблон документа), обосновывающую недействительность сделки."
