№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Помощник/секретарь СЗ,"Документ суда, который необходимо направить сторонам",—,Появилась необходимость направить документ,——,"Процесс направления судебных документов сторонам арбитражного дела является неотъемлемым элементом процессуального обеспечения принципа состязательности и равноправия сторон, закреплённого в АПК РФ. Он направлен на реализацию права участников дела на информацию о ходе судебного разбирательства, а также на обеспечение надлежащего уведомления о процессуальных действиях суда. Процесс описывает процедурную деятельность, направленную на направление судебных актов и иных документов адресатам в установленной законом форме и порядке. Старт процесса происходит при возникновении необходимости направить документ ЛУВД или иным лицам, участникам процесса."
1,Помощник/секретарь СЗ,—,—,Пользователь самостоятельно решил отправить необходимый документ?Эксклюзивный шлюз,-—,"Процесс направления вызван системой или пользователем?Если «Да», то переход к шагу 2 процесса.Если «Нет», то переход к шагу 3 процесса."
2,Помощник/секретарь СЗ,"Документ суда, который необходимо направить сторонам",Изменение системного статуса документа (отправляется),Активировать функцию направления,—,"Пользователь выбирает необходимый документ и нажимает кнопку отправления. В схемах, где процесс включает себя настоящий ТП и по делу выносится СА, система сама предлагает отправить вынесенный СА."
3,Система,"Документ суда, который необходимо направить сторонам",Изменение системного статуса документа (отправляется),Выбрать нужный для отправления документ,—,"Система сама выбирает нужный для отправления документ, согласно установленным правилам.Это основной путь исполнения."
4,Помощник/секретарь СЗ,—,—,Закрывающий шлюз,—,Закрывающий шлюз для шага 1 процесса
5,Система,"Документ суда, который необходимо направить сторонам",Изменения в истории документа,Внести информацию о передаче в ИС,—,"Система вносит информацию о способе, который выбран для направления документа ЛУВД или иному участнику процесса."
6,Система,"Документ суда, который необходимо направить сторонам",Список отправлений и статусов,Определить способ отправления,—,Система фиксирует необходимые вариты отправления для каждого ЛУВД. Система создает в сущности документа список отправлений и статусов.Если используется отправление по факсу:Система  проверяет наличие номера факса к карточке ЛУВД.Если используется отправление через телефонограмму:Система  проверяет наличие номера телефона к карточке ЛУВД.
7,Система,Список отправлений и статусов,—,Необходимо направить в личный кабинет пользователя?,—,"Необходимо ли направить документ в личный кабинет пользователя?Если «Да», то переход к шагу 8 процесса.Если «Нет», то переход к шагу 21 процесса."
8,Система,"Документ суда, который необходимо направить сторонам","Документ, опубликованный в ЛК",Направить в ЛК пользователя,—,Документ направляется системой на публикацию в ЛК. Система сохраняет дату и время отправления.
9,Система,"Документ суда, который необходимо направить сторонам","Документ, опубликованный в ЛК",Опубликовать документ в ЛК,—,Технический шаг системы для корректного отображения информации о направлении документа в ЛК ЛУВД.
10,Система,"Документ, опубликованный в ЛК",Информация о времени и дате ознакомления ЛУВД с направленным документом ,10. Ожидать информации об ознакомлении,—,Система ожидает от ЛК ответ с информацией о дате и времени ознакомления ЛУВД с направленным документом.
11,Система,Информация о времени и дате ознакомления ЛУВД с направленным документом ,"",Ответ получен в срок?Эксклюзивный шлюз,—,Система проверяет получен ли ответ в установленный срок. 
12,Система,—,Уведомление,Уведомить судью,—,"Система направляет уведомляет судью о том, что ЛУВД не ознакомился в направленным документом в срок."
13,Система,—,—,Документ направлен через ЛК без подтверждение прочтения,—,Завершение процесса направления документа.
14,"ЛУВД или иные лица, участники процесса",Уведомление о публикации документа,—,Получить уведомление о публикации документа,—,"ЛУВД или иные лица, участники процесса знакомятся с полученным документом. "
15,"ЛУВД или иные лица, участники процесса",Полученный докум ент,—,Ознакомиться в ЛК,—,"ЛУВД или иные лица, участники процесса знакомятся с полученным документом ."
16,Система,Факт чтения документа,Время и дата ознакомления с документом,Отправить время ознакомления,—,Система фиксирует время ознакомления с документом и направляет эту информацию в суд.
17,"ЛУВД или иные лица, участники процесса",—,—,—,—,"ЛУВД или иные лица, участники процесса ознакомлены с опубликованным в ЛК документом."
18,Система,Время и дата ознакомления с документом,—,Получить время ознакомления,—,Технический шаг для отображения получения информации о времени ознакомления от сервиса ЛК
19,Система,Время и дата ознакомления с документом,Обновление истории документа,Сохранить данные об ознакомлении,—,Система сохраняет данные об ознакомлении и обновляет историю документа.
20,Система,—,—,Документ отправлен через ЛК с подтверждением прочтения,—,Завершение процесса направления документа.
21,Система,Список отправлений и статусов,—,Необходимо направить в гос. органы через спец. интеграцию?Эксклюзивный шлюз,—,"Необходимо ли направить документ в гос. органы через спец. интеграцию.Если «Да», то переход к шагу 22 процесса.Если «Нет», то переход к шагу 31 процесса."
22,Система,"Документ суда, который необходимо направить сторонам",Пакет данных для отправления,Сформировать пакет данных для отправления,—,Система формирует пакет данных из документа.
23,Система,Пакет данных для отправления,Запись в топике,Отправить данные в брокер сообщений,—,Система отправляет пакет данных в брокер сообщений.
24,Система,Запись в топике,Подтверждение приема,Ожидать обработки пакета данных,—,"Система ожидает подтверждение обработки пакета данных. Делается вывод об обработке пакета данных в установленный срок. Если срок истек, а данные об обработанном пакете так и не поступили, то возобновляется дальнейшее движение по процессу."
25,Система,Подтверждение приема,Обновление истории документа,Пакет данных обработан в срок?Эксклюзивный шлюз,—,"Обработан ли пакет данных в срок?Если «Да», то переход к шагу 26 процесса.Если «Нет», то переход к шагу 29 процесса."
26,Система,Данные об обработке пакета из брокера сообщений,Обновление истории документа,Получить данные об обработке пакета из брокера сообщений,—,Система получает и обрабатывает данные об обработке пакета из брокера сообщений.
27,Система,Данные об обработке пакета из брокера сообщений,Уведомление,Уведомить пользователя об успешном направлении документа,—,Система уведомляет пользователя об успешном направлении документа.
28,Система,—,—,Документ направлен через интеграцию успешно,—,Завершение процесса. Документ направлен через интеграцию успешно.
29,Система,Данные об обработке пакета из брокера сообщений,Уведомление,Уведомить пользователя о не успешном отправлении,—,Система уведомляет пользователя об ошибке в направлении документа.
30,Система,—,—,Документ нуждается в повторном отправлении,—,Завершение процесса. Документ нуждается в повторном отправлении.
31,Система,Список отправлений и статусов,—,Требуется направить документ по факсу?Эксклюзивный шлюз,—,"Необходимо ли направить документ по факсу.Если «Да», то переход к шагу 32 процесса.Если «Нет», то переход к шагу 46 процесса."
32,Помощник/секретарь СЗ,Данные получены от ЛУВД ,Используемый номер факса,Система знает необходимый номер факса?,—,"Находится ли номер факса в карточке ЛУВД?Решение принимается при определения способа отправления в шаге 6.Если «Да», то переход к шагу 33 процесса.Если «Нет», то переход к шагу 34 процесса."
33,Система,Данные из карточки ЛУВД,—,Набрать факс-номер адресата,—,Система использует ранее сохраненный номер факса.
34,Помощник/секретарь СЗ,—,новый номер факса,Набрать факс-номер адресата,—,Помощник/секретарь СЗ вводят новый номер факса.
35,Система,новый номер факса,обновление данных в карточке ЛУВД ,Сохранить номер и связать с участником,—,Система сохраняет номер в карточке ЛУВД.
36,Система,—,—,Объединяющий шлюз,—,Закрывающий шлюз для 31-го шага процесса.
37,Система,"Документ суда, который необходимо направить сторонам",Обновление истории документа,Отправить факс,—,Система отправляет факс адресату
38,Система,—,Подтверждение отправки,Получить подтверждение отправки,—,"Система получает подтверждение об успешном отправлении, анализирует информацию об отправлении факса."
39,Система,—,—,Факс отправлен успешно?,—,"Было ли отправление факса успешным?Если «Да», то переход к шагу 41 процесса.Если «Нет», то переход к шагу 40 процесса."
40,Помощник/секретарь СЗ,Подтверждение отправки,—,Необходимо направить повторно?Эксклюзивный шлюз,—,"Помощник/секретарь СЗ, в случае ошибки отправки, решает - есть ли необходимость повторно направить документ по факсу?Если «Да», то переход к шагу 44 процесса.Если «Нет», то переход к шагу 41 процесса."
41,Помощник/секретарь СЗ,—,—,Объединяющий шлюз,—,Шлюз для объединения потоков из 39-го и 40-го шага.
42,Система,Подтверждение отправки,Обновление истории документа,Сохранить данные об отправлении,—,Система сохраняет в истории документа данные об отправлении.
43,Помощник/секретарь СЗ,—,—,Факс отправлен,—,Завершение процесса. Факс отправлен.
44,Система,Подтверждение отправки,Обновление истории документа,Сохранить данные об отправлении,—,Система сохраняет в истории документа данные об отправлении.
45,Система,—,—,Переход к шагу 37 Отправить факс,—,Переход к шагу 37 Отправить факс. Система пробует повторную отправку факса.
46,Система,Приоритетный способ направления,—,Необходимо направить телеграмму?Эксклюзивный шлюз,—,"Необходимо направить телеграмму?Решение принимается при определения способа отправления в шаге 6.Если «Да», то переход к шагу 47 процесса.Если «Нет», то переход к шагу 53 процесса."
47,Система,Приоритетный способ направления,Текст телеграммы,Составить текст телеграммы,—,"Применение телеграммы в арбитражном процессе регулируется статьями 121–123 АПК РФ — устанавливающими требования к надлежащему уведомлению участников дела и Инструкцией по делопроизводству в арбитражных судах (п. 5.5, 5.8), предусматривающей возможность использования телеграммы как одного из способов направления судебных извещений. Телеграмма используется как средство официального уведомления, обеспечивающее фиксированную дату и факт отправки, что имеет процессуальное значение для подтверждения надлежащего извещения сторон.Система составляет шаблонный текст телеграммы."
48,Помощник/секретарь СЗ,Текст телеграммы,Текст телеграммы,ТБП139.Проверить выводы системы,"",Помощник/секретарь СЗ проверяет составленный системой текст.
49,Система,Текст телеграммы,Обновление истории документа,Направить через онлайн-сервис ФГУП Почта России,—,"Система, используя интеграцию, направляет телеграмму через онлайн-сервис ФГУП Почта России."
50,Система,Обновление истории документа,—,Ожидать доставки,—,Система ожидает доставки телеграммы и получения данных о ее доставлении адресату.
51,Система,—,Обновление истории документа,Сохранить данные об отправлении,"","Система обновляет историю документа, сохраняя данные об отправлении и доставке. "
52,Система,—,—,Телеграмма направлена,—,Завершения процесса направления документа через телеграмму.
53,Система,Приоритетный способ направления,—,Необходимо направить телефонограмму?Эксклюзивный шлюз,—,"Было принято решение о направлении телефонограммы?Решение принимается при определения способа отправления в шаге 6.Если «Да», то переход к шагу 54 процесса.Если «Нет», то переход к шагу 64 процесса."
54,Система,Приоритетный способ направления,—,Номер телефона есть в карточке ЛУВД?Эксклюзивный шлюз,"","Номер телефона есть в карточке ЛУВД?Решение принимается при определения способа отправления в шаге 6.Если «Да», то переход к шагу 55 процесса.Если «Нет», то переход к шагу 56 процесса."
55,Система,Номер телефона из карточки ЛУВД,—,Взять номер телефона из материалов дела,—,"Система берет номер телефона лица, которому необходимо направить информацию из материалов дела."
56,Помощник/секретарь СЗ,—,—,Внести необходимый номер,—,"Помощник/секретарь СЗ указывает номер лица, которому необходимо направить информацию из материалов дела."
57,Система,—,Номер телефона из карточки ЛУВД,Сохранить номер для участника,—,Система сохраняет номер телефона в карточке ЛУВД.
58,Система,—,—,Объединяющий шлюз.,—,Шлюз для соединения потоков из 57-го и 55-го шага.
59,Система,Номер телефона из карточки ЛУВД,Запись звонка,Совершить звонок,—,Система совершает звонок по указанному номеру.
60,Система,"Документ суда, который необходимо направить сторонам",Запись звонка,Передать информацию,—,Система передает информацию по телефону. Происходит аудиозапись с текстовой расшифровкой. 
61,Система,Запись звонка,Телефонограмма,Зафиксировать факт звонка в виде телефонограммы,—,Система фиксирует факт звонка в виде телефонограммы. Телефонограмма составляется в MC Word.
62,Система,Телефонограмма,Обновление истории документа,Приобщить телефонограмму к материалам дела,—,Система сохраняет телефонограмму в материалах дела и обновляет историю отправления документа.
63,Система,—,—,Телефонограмма направлена,—,Завершение процесса отправления телефонограммы.
64,Система,Приоритетный способ направления,—,Требуется направить по e-mail?,—,"Требуется направить по e-mail?Решение принимается при определения способа отправления в шаге 6.Если «Да», то переход к шагу 65 процесса.Если «Нет», то переход к шагу 77 процесса."
65,Система,—,Электронное письмо,Создать электронное письмо,—,Система создает шаблонное электронное письмо.
66,Система,"Электронное письмо и Документ суда, который необходимо направить сторонам",Электронное письмо с вложением,"Прикрепить документ, подписанный ЭЦП",—,"Система прикрепляет к письму документ, подписанный ЭЦП."
67,Помощник/секретарь СЗ,Электронное письмо с вложением,Электронное письмо с вложением,ТБП139.Проверить выводы системы,—,Помощник/секретарь СЗ проверяет составленное системой электронное письмо.
68,Система,Электронное письмо с вложением,Обновление истории документа,Направить по электронной почте,—,"Система направляет документ по электронной почте лица, указанному в материалах дела, сохраняет время отправления в истории документа."
69,Система,E-mail отправлен,—,Ожидание доставки,—,Система ожидает доставки электронного письма получателю.
70,"ЛУВД или иные лица, участники процесса",Электронное письмо с вложением,—,Получить документ по e-mail,—,"ЛУВД или иные лица, участники процесса получают документ по e-mail."
71,"ЛУВД или иные лица, участники процесса",Электронное письмо с вложением,—,Ознакомиться,—,"ЛУВД или иные лица, участники процесса знакомятся с полученным документом"
72,Система,Факт чтения документа,Время и дата ознакомления с документом,Отправить время ознакомления,—,Система фиксирует время ознакомления с документом и направляет эту информацию в суд.
73,Система,—,—,Документ получен по e-mail,—,"Завершения процесса ознакомления документом, полученным по e-mail."
74,Система,Время и дата ознакомления с документом,—,Получить время ознакомления,—,Система получает сведения о прочтении документа.
75,Система,Время и дата ознакомления с документом,Обновление истории документа,Сохранить данные об отправлении,—,Система добавляет в историю документа дату и время ознакомления.
