№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Помощник судьи/Секретарь СЗ,—,—,Появилась необходимость проверить график рассмотрения дел в зале СЗ,—,"Помощник судьи/Секретарь СЗ принимает решение о необходимости проверки графика рассмотрения дел в зале СЗ.Проверка графика рассмотрения дел в СЗ необходима для подтверждения актуальности данных о СЗ, представленных лицам, а также в случае необходимости внесения изменений в график в случае изменения данных СЗ."
1,Помощник судьи/Секретарь СЗ,—,Отчет о графике рассмотрения дел,ТБП2.Сформировать отчет,—,"Переход к типовому процессу «Сформировать отчет».Помощник судьи/Секретарь СЗ формирует отчет в системе ПК САД для уточнения актуальной информации о судебных заседаниях, сохраненной в ИС суда.Автоматическое формирование отчета на основе данных из информационной системы"
2,Система арбитражного суда,—,—,Уведомить пользователя,—,Система уведомляет пользователя
3,Помощник судьи/Секретарь СЗ,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
4,Помощник судьи/Секретарь СЗ,—,—,СЗ состоится по графику? Эксклюзивный шлюз,—,"Помощник судьи/Секретарь СЗ принимает решение о проведении судебного заседания по графику СЗ КАД Арбитр. Если «Да» - переход к шагу 10, Если «Нет» - переход к шагу 11"
5,Помощник судьи/Секретарь СЗ,—,Обновленный график,Внести изменения в график,—,Помощник судьи/Секретарь СЗ вносит изменения в график рассмотрения дел в системе ПК САД с последующей передачей данных в КАД Арбитр.
6,Помощник судьи/Секретарь СЗ,—,—,Завершение процесса,—,Завершение процесса
7,Помощник судьи/Секретарь СЗ,—,—,Параллельный шлюз,—,Параллельный шлюз
8,Система арбитражного суда,—,Актуализированные данные о СЗ,Актуализировать данные о СЗ,—,Система актуализирует данные о судебном заседании в информационной системе.Автоматическая актуализация данных в информационной системе
9,Помощник судьи/Секретарь СЗ,—,—,Завершение процесса,—,Завершение процесса
10,Помощник судьи/Секретарь СЗ,—,Объявление об изменении данных о СЗ,Повесить объявление на дверях зала СЗ,—,Помощник судьи/Секретарь СЗ размещает объявление об изменениях в судебном заседании на дверях зала.
11,Помощник судьи/Секретарь СЗ,—,—,Завершение процесса,—,Завершение процесса
