№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,—,—,Возникла необходимость рассмотреть вопрос об отмене решения третейского суда,—,Судья принимает решение о необходимости рассмотрения вопроса об отмене решения третейского суда
1,Судья,—,—,Параллельный шлюз,—,"Параллельный открывающий шлюз, разделяющий поток на 2-й, 3-й, 10-й шаги"
2,Система,Материалы дела,Решение по вопросу подсудности спора третейскому суду,"Проверить спор, рассмотренный третейским судом",—,"Система проверяет спор, рассмотренный третейским судом, на предмет возможности его рассмотрения в третейском порядке"
3,Система,Материалы дела,Решение по вопросу отсутствия противоречий публичному порядку РФ,Проверить на отсутствие противоречий публичному порядку РФ,—,"Система рассматривает вопрос, не противоречит ли публичному порядку приведение в исполнение решение третейского суда. Делаются выводы о полном противоречии или противоречии отдельной части решения. "
4,Система,Решение по вопросу отсутствия противоречий публичному порядку РФ,—,Противоречит только часть решения третейского суда? Эксклюзивный шлюз,—,Противоречит только часть решения третейского суда?Да: переход к шагу 5 Нет: переход к шагу 9
5,Судья,Решение по вопросу отсутствия противоречий публичному порядку РФ,—,Эта часть может быть отделена? Эксклюзивный шлюз,—,Сулья принимает решение о возможности отделения части решения. Эта часть может быть отделена?Да: переход к шагу 6 Нет: переход к шагу 8
6,Судья,Решение по вопросу отсутствия противоречий публичному порядку РФ,Возможность признания части решения установлена,Установить возможность признания части решения,—,"Судья решает, что возможно признание и приведение в исполнение части решения, не противоречащей публичному порядку РФ."
7,Судья,Возможность признания части решения установлена,Отказ в признании оставшейся части решения,Отказать в признании несоответствующей части,—,"Судья приходит к выводу о невозможности признания и приведения в исполнение части решения третейского суда, противоречащей публичному порядку Российской Федерации."
8,Судья,—,—,Эксклюзивный шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 5-го, 7-го шага"
9,Судья,—,"",Эксклюзивный шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 4-го, 8-го шага"
10,Судья,—,—,"Вопрос решается после возобновления производства, которое было приостановлено в связи с необходимостью дождаться решения другого суда? Эксклюзивный шлюз",—,"Вопрос решается после возобновления производства, которое было приостановлено в связи с необходимостью дождаться решения другого суда?Да: переход к шагу 11 Нет: переход к шагу 16"
11,Система,Общая судебная база данных,Результат проверки вынесение иным АС определения о выдаче ИЛ,Проверить вынесение иным АС определения о выдаче ИЛ,—,"Система проверяет, было ли вынесено иным арбитражным судом определение о выдаче исполнительного листа на принудительное исполнение решения третейского суда. Суд откажет в отмене решения третейского суда в случае вынесения иным арбитражным судом Российской Федерации определения о выдаче исполнительного листа на принудительное исполнение этого решения"
12,Судья,Результат проверки вынесение иным АС определения о выдаче ИЛ,—,Решение вынесено? Эксклюзивный шлюз,—,Решение вынесено?Да: переход к шагу 13 Нет: переход к шагу 14
13,Судья,Результат проверки вынесение иным АС определения о выдаче ИЛ,Установлены основания для отказа в отмене,Установить основания для отказа в отмене решения,—,"Судья устанавливает основания для отказа в отмене решения третейского суда. Согласно ст. 46 Постановления Пленума ВС РФ от 10.12.2019 N 53 Суд вправе отменить решение третейского суда с местом арбитража на территории Российской Федерации или отказать в принудительном исполнении решения третейского суда по основаниям, установленным пунктами 1 - 5 части 3 статьи 233, пунктами 1 - 5 части 3 статьи 239 АПК РФ, подпунктом 1 пункта 2 статьи 34, подпунктом 1 пункта 1 статьи 36 Закона о международном коммерческом арбитраже, пунктом 1 статьи V Конвенции 1958 года, только в том случае, если сторона, подающая заявление об отмене такого решения, или сторона, против которой вынесено решение, сама ссылается на указанные основания в заявлении. При этом суд по собственной инициативе не проверяет наличие и не применяет предусмотренные данными нормами основания для отмены решения третейского суда или основания для отказа в выдаче исполнительного листа на принудительное исполнение решения третейского суда"
14,Судья,Результат проверки вынесение иным АС определения о выдаче ИЛ,Установлены основания для исполнения решения,Установить основания для исполнения решения,—,"Судья устанавливает основания для исполнения решения третейского суда. Судья выносит Определение арбитражного суда по делу об оспаривании решения третейского суда по правилам, установленным главой 20 АПК РФ. К определению применяются требования по содержанию согласно ч.2 ст.234 АПК РФ. Согласно ч.4 ст.232 АПК РФ: В случае, если решение третейского суда отменено арбитражным судом полностью или в части вследствие недействительности третейского соглашения, либо оно было принято по спору, не предусмотренному третейским соглашением или не подпадающему под его условия, либо содержит постановления по вопросам, не охватываемым третейским соглашением, а также если решение третейского суда отменено арбитражным судом в связи с тем, что спор, рассмотренный третейским судом, не может быть предметом третейского разбирательства в соответствии с федеральным законом или решение третейского суда нарушает публичный порядок Российской Федерации, стороны третейского разбирательства могут обратиться за разрешением такого спора в арбитражный суд по общим правилам, предусмотренным настоящим Кодексом"
15,Судья,—,—,Эксклюзивный шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 13-го, 14-го шага"
16,Судья,—,—,Эксклюзивный шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 15-го, 10-го шага"
17,Судья,—,"",Параллельный шлюз,—,"Параллельный закрывающий шлюз, объединяющий потоки из 2-го, 9-го, 16-го шага"
18,Судья,Результаты проведенных проверок,——,Установлены обстоятельства для отмены решения?Эксклюзивный шлюз,—,Установлены обстоятельства для отмены решения?Да: переход к шагу 33 Нет: переход к шагу 19
19,Судья,—,—,Параллельный открывающий шлюз,—,"Параллельный открывающий шлюз, разделяющий поток на 20-й, 21-й, 22-й, 23-й, 30-й, 31-й шаги"
20,Система,Материалы дела,Результат проверки дееспособности сторон,Проверить дееспособность сторон третейского соглашения,—,"Система проверяет, обладала ли дееспособностью одна из сторон третейского соглашения, на основании которого был разрешен спор третейским судом."
21,Система,Материалы дела,Результат проверки соответствия третейского соглашения праву,Проверить соответствие третейского соглашения праву,—,"Система проверяет, было ли третейское соглашение, на основании которого спор был разрешен третейским судом, недействительно по праву, которому стороны его подчинили, а при отсутствии такого указания по праву РФ."
