№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,-,-,Появилась необходимость рассмотреть вопрос о привлечении к административной ответственности,-,Старт процесса. Судье необходимо рассмотреть вопрос о привлечении к административной ответственности. Рассмотрение дел об административных правонарушениях регулируется главой 25 АПК РФ и положениями КоАП РФ.
1,Судья,Судебное дело,Старт анализа,Запустить анализ по вопросу,-,"Судья запускает функцию анализа в карточке дела, для решения вопроса о  к административной ответственности."
2,Система,-,-,Параллельный шлюз,-,"Параллельный шлюз для разделения потоков, далее процесс будет следовать по 2-му, 3-му, 4-му, 5-му, 6-му, 7-му шагу."
3,Система,Материалы дела,Результат проверки события адм. правонарушения,Проверить событие адм. правонарушения,-,"Система проверяет событие административного правонарушения. Согласно ст. 2.1 КоАП РФ административным правонарушением признается противоправное действие (бездействие) физического или юридического лица, за которое настоящим Кодексом или законами субъектов Российской Федерации об административных правонарушениях установлена административная ответственность."
4,Система,Материалы дела,Результат проверки в действиях лица состава адм. правонарушения,Проверить в действиях лица состава адм. правонарушения,-,Система проверяет наличие в действиях лица состава административного правонарушения. Согласно ст. 2.1 КоАП РФ административным правонарушением признается противоправное действие (бездействие) физического или юридического лица.
5,Система,Материалы дела,Результат проверки доказанности факта вины,Проверить доказанность факта вины,-,"Система проверяет доказанность факта вины. Согласно ст. 1.5 КоАП РФ лицо подлежит административной ответственности только за те административные правонарушения, в отношении которых установлена его вина."
6,Система,Материалы дела,Результат проверки составления протокола,Проверить порядок составления протокола,-,Система проверяет порядок составления протокола. Протокол об административном правонарушении должен быть составлен в соответствии с требованиями ст. 28.2 КоАП РФ.
7,Система,Материалы дела,Результат проверки истечения срока давности привлечения,Проверить истечение срока давности привлечения,-,"Система проверяет истечение срока давности привлечения к административной ответственности. Срок давности привлечения к административной ответственности — это период времени, в течение которого лицо может быть привлечено к ответственности за совершённое административное правонарушение. Если этот срок истекает, то человека (или организацию) нельзя наказать за данное правонарушение, даже если факт нарушения установлен. Срок давности привлечения к ответственности установлен о ст. 4.5 КоАП РФ."
8,Система,-,-,Параллельный шлюз,-,"Закрывающий параллельный шлюз для объединения потоков из веток, идущих по 2-му, 3-му, 4-му, 5-му, 6-му, 7-му шагу."
9,Система,Результаты проверок,Отчет по проверкам,Закончить анализ и сформировать отчет,-,"Система формирует для судьи отчет с результатами проверок, своими выводами и предложениями по решению вопроса. "
10,Судья,Отчет по проверкам,Отчет по проверкам (подтвержденный),Проверить выводы системы,-,"Переход в типовой процесс ""Проверить выводы системы"". Пользователь проверяет Отчет по проверкам и имеет возможность внести в него коррективы. Дальнейшие действия системы основываются на подтверждении выводов судьей."
11,Система,Отчет по проверкам (подтвержденный),-,Лицо подлежит привлечению к адм. ответственности?Эксклюзивный шлюз.,-,"Подлежит ли лицо привлечению к административной ответственности?Если «Да», то переход к шагу 13 процесса.Если «Нет», то переход к шагу 12 процесса."
