№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,"Информационная система «КАД ""Арбитр""»",Файл судебного акта в формате .pdf,Опубликованный судебный акт,Возникла необходимость опубликовать СА,—,КАД Арбитр публикует СА.
1,Система арбитражного суда,"СА, подписанный УКЭП",Сохраненные данные в номенклатурном деле,Направить СА на публикацию,—,Система отправляет на публикацию после подписания УКЭП
2,Система арбитражного суда,"Пакет данных требуется валидация публикации и доставки, при неудачном получении запустить процесс повторно по ID документа",Опубликованный судебный акт,Сформировать пакет данных СА для отправки в БД опубликования,—,Система отправляет на публикацию пакет данных в установленный администратором срок
3,Система арбитражного суда,Пакет данных СА,"Пакет данных СА, направленный в КАД Арбитр","Отправить пакет данных в КАД ""Арбитр""",—,Система направляет сформированный пакет данных в КАД Арбитр для публикации на его стороне.
4,Система арбитражного суда,—,—,Ожидать дату и время публикации,—,Система ожидает наступления события/срока публикацииТаймауты ожидания и уведомления ответственным
5,Помощник судьи / Судья,—,—,Закрывающий шлюз,—,Закрывающий шлюз для Пакет данных доставлен
6,Помощник судьи / Судья,"Пакет данных с атрибутами судебный атка, и pdf версия документа с подписью УКЭП",—,Пакет данных доставлен?Эксклюзивный шлюз,—,"Если «Да» - переход к шагу 7 процесса,Если «Нет» - к шагу 8 процесса."
7,Система арбитражного суда,Пакет данных и pdf документ с подписью,"Фактические данные о получении, дата время, ссылка на публикацию",Записать фактические данные о получении пакета без ошибок,—,"Система сохраняет полученные данные о публикации, и делает отметку в судебном или номенклатурном деле, записывается дата и время публикации, ссылка на публикацию."
8,Система арбитражного суда,Ошибка или не опубликованный СА,Повторный запуск публикации,Повторная отправка пакета,—,Система отправляет данные на повторную отправку/публикацию
9,Система арбитражного суда,—,Отчет о причинах отсутствия информации о публикации,Сформировать отчет об ошибке,—,"Формирование отчета для выяснения причин отсутствия информации о публикации со стороны КАД Арбитр по истечении 24 часов.Интеграция с типовым процессом, автозаполнение данных"
10,"Информационная система «КАД ""Арбитр""»",Пакет данных и pdf документ с подписью,Пакет данных о получении,Получить пакет данных СА,—,"Система КАД Арбитр, формирует пакет данных в систему арбитражного суда данные о получении пакета данных"
11,Система арбитражного суда,—,Отчет о причинах отсутствия информации о публикации,Сформировать отчет о получении пакета,—,Формирование отчета для выяснения причин отсутствия информации о публикации со стороны КАД Арбитр по истечении 24 часов.
