№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
12,Помощник судьи / Судья,—,Данные о получении,Эксклюзивный шлюз,—,Эксклюзивный шлюз для перехода в 13 шаг процесса
13,"Информационная система «КАД ""Арбитр""»",Сведенья о полученных данных,Передача данных о получении,Отправить пакет в ИС о получении,—,Система арбитражного суда фиксирует данные о получении пакета данных от КАД Арбитр
14,"Информационная система «КАД ""Арбитр""»",Пакет данных СА,Файл судебного акта в формате .pdf,Сформировать файл в формате .pdf,—,"Система КАД Арбитр конвертирует файл СА, поступивший из ИС суда, в формат .pdf"
15,"Информационная система «КАД ""Арбитр""»",Пакет данных СА,Время публикации (запланированное),Определить время публикации,24 часа с момента подписания.,Система КАД Арбитр производит расчет времени публикации. Публикация должна быть осуществлена в течение 24 часов.
16,Помощник судьи / Судья,—,—,Опубликовать,—,Помощник судьи/Судья инициирует процесс опубликования принятого судебного акта.
17,Помощник судьи / Судья,—,Данные о получении,Открывающий параллельный  шлюз,—,"Запуск процессов параллельно шаг 18, 19 процесса"
18,"Информационная система «КАД ""Арбитр""»",Опубликованный судебный акт,Запись о дате и времени публикации,Записать дату и время публикации,—,КАД Арбитр фиксирует дату и время публикации для дальнейшего направления данных в ИС суда.Фиксация даты и времени публикации критически важна для корректного отсчета процессуальных сроков в дальнейшем.
19,"Информационная система «КАД ""Арбитр""»",Судебный акт и атрибуты,Отображение СА в интерфейсе,Отобразить CA в интерфейсе,—,КАД Арбитр отображает СА и атрибуты в интерфейсе
20,Помощник судьи / Судья,—,—,Закрывающий параллельный шлюз,—,Закрывающий параллельный шлюз для шага 17
21,"Информационная система «КАД ""Арбитр""»",Дата публикации,Дата публикации в номенклатурном деле системы арбитражного суда,Отправить дату опубликования СА,—,"Информационная система «КАД ""Арбитр""» после проверки публикации в интерфейсе, передает дату в систему арбитражного суда"
22,Система арбитражного суда,Дата публикации и ID документа и ссылка на публикацию,Запись данных в номенклатурное дело,Получить дату и время опубликования СА,—,Системой получены информация и записана в номенклатурное дело.
23,Помощник судьи / Судья,Пакет данных о публикации,—,Дата и время получены?Эксклюзивный шлюз,—,"Если «Да» - переход к шагу 32 процесса,Если «Нет» - к шагу 24 процесса."
24,Система арбитражного суда,Дата и время не полученый,Дата и время публикации в системе арбитражного суда,Запросить пакет информации о публикации,—,Автоматическая проверка наличия даты и времени публикации в случае получения пакета данных без этой информации.
25,Система арбитражного суда,—,Отчет о причинах отсутствия информации о публикации,Сформировать отчет об ошибке,—,"Формирование отчета для выяснения причин отсутствия информации о публикации со стороны КАД Арбитр по истечении 24 часов.Интеграция с типовым процессом, автозаполнение данных"
26,Система арбитражного суда,Идентификатор дела и документа для поиска,Отправка в систему КАД Арбитр,Отправить данные в КАД Арбитр ,—,Отправка пакета данных для поиска информации дата и время публикации СА
27,"Информационная система «КАД ""Арбитр""»",Идентификатор дела и документа для поиска,Дата и время публикации документа ID и формирование отчета об ошибке,Получить пакет данных ID дела и ID документа,—,Полученные данные для запуска шага 28 процесса
28,"Информационная система «КАД ""Арбитр""»",Идентификатор дела и документа для поиска,Причины неверных данных,Обработать запрос о публикации,—,"Система ищет сведенья которые собирает в 2 пакета, 1ый пакет для отправки в техническую поддержку, второй "
29,"Информационная система «КАД ""Арбитр""»",—,Отчет о причинах отсутствия информации о публикации,Сформировать отчет об ошибке,—,"Формирование отчета для выяснения причин отсутствия информации о публикации со стороны КАД Арбитр по истечении 24 часов.Интеграция с типовым процессом, автозаполнение данных"
30,"Информационная система «КАД ""Арбитр""»",ID документа в КАД Арбитр,Пакет данных для системы арбитражного суда,Собрать данные о публикации,—,Дата и время публикации СА
31,"Информационная система «КАД ""Арбитр""»",Дата и время,Данные о получении системой арбитражного суда,Отправить дату опубликования СА,—,Система направляет данные в систему арбитражного суда
32,Система арбитражного суда,"Пакет данных от Информационная система «КАД ""Арбитр""»",Обработанные данные и сохраненные,Получить дату и время опубликования СА,—,Система получает пакет данных по документу 
33,Система арбитражного суда,Опубликованный судебный акт,"Запись о дате и времени публикации, ссылка на публикацию",Записать дату и время публикации СА,—,КАД Арбитр фиксирует дату и время публикации для дальнейшего направления данных в ИС суда. Фиксация даты и времени публикации критически важна для корректного отсчета процессуальных сроков в дальнейшем.
34,Система арбитражного суда,Дата и время и тип документа,Рассчитанные процессуальные сроки,Запустить расчет процессуальных сроков,"",Система при получении даты и времени запуск расчета процессуальных сроков согласно правилам.
35,Помощник судьи / Судья,—,—,Завершение процесса,—,Завершение процесса. Процесс публикации завершен; сведения зафиксированы и отображены.
