№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья/ помощник судьи,—,—,Возникла необходимость проверить подсудность,—,У судьи/помощника возникла необходимость проверить подсудность.
1,Судья/ помощник судьи,—,—,ТБП20.Проверить компетенцию,—,"Переход к типовому процессу «Проверить компетенцию», в рамках которого судья осуществляет действия по проверке компетенции. Результатом данного ТП будет решение по вопросу компетенции."
2,Система арбитражного суда,—,—,Прочитать состав участников спора,—,Система читает состав участников спора. Данные формируются на этапе проверки компетенции и валидируются пользователем
3,Система арбитражного суда,—,—,"Прочитать вид спора, распарсить требования",—,Система читает вид спора и парсит требования. Данные формируются на этапе проверки компетенции и валидируются пользователем
4,Судья/ помощник судьи,—,—,Родовая подсудность соблюдена? Эксклюзивный шлюз,—,"Если на основе прошедших проверок данный суд уполномочен рассматривать дело в качестве первой инстанции, то есть если соблюдена родовая подсудность, то переход к шагу 5. Если нет — к шагу 6."
5,Судья/ помощник судьи,—,—,Завершение процесса,—,Завершение процесса
6,Система арбитражного суда,—,—,Проверить специализированную подсудность,—,"Система проверяет соблюдение специализированной подсудности дела, то есть выясняет, подсудно ли данное дело СИП или суду округа, и устанавливает факт (не) соблюдения этой подсудности для установления оснований по передаче по подсудности в дальнейшем.Памятка по специализированной подсудности"
7,Судья/ помощник судьи,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
8,Судья/ помощник судьи,—,—,Соблюдена специализированная подсудность? Эксклюзивный шлюз,—,Если «Да» - переход к шагу 8; если «Нет» - переход к шагу 15.
9,Система арбитражного суда,Договор сторон,—,Проверить договорную подсудность,—,"Система проверяет наличие договорной подсудности, то есть наличие подсудности, конкретно определенной сторонами в договоре.Поиск условий договора. Система распознает поступившие данные, используя OCR (скан) или LLM (электронные документ или подтвержденные атрибуты)."
10,Судья/ помощник судьи,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
11,Судья/ помощник судьи,—,—,Подсудность определена в договоре? Эксклюзивный шлюз,—,Если «Да» - переход к шагу 10; если «Нет» - переход к шагу 16.
12,Система арбитражного суда,Договор сторонАрбитражное соглашение (при наличии),—,Проверить арбитражное соглашение,—,"Система проверяет наличие арбитражного соглашения между сторонами, то есть соглашения, согласно которому стороны соглашаются о передаче в арбитраж всех или определенных споров, которые возникли или могут возникнуть между ними в связи с каким-либо конкретным правоотношением, независимо от того, носило такое правоотношение договорный характер или нет. Данное соглашение может также регламентировать желание сторон передать дело на рассмотрение третейского суда.Чек-лист проверки арбитражной оговоркиСистема распознает поступившие данные, используя OCR (скан) или LLM (электронные документ или подтвержденные атрибуты)."
13,Судья/ помощник судьи,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
14,Судья/ помощник судьи,—,—,Дело должно быть передано на рассмотрение Третейского суда? Эксклюзивный шлюз,—,"Если «Да» - переход к шагу 12, если «нет» - к шагу 13."
15,Система арбитражного суда,—,—,Сохранить данные в деле,—,Система сохраняет данные в деле
16,Судья/ помощник судьи,—,—,Завершение процесса. Установлено основание для передачи,—,Завершение процесса по основанию передачи в третейский суд.
17,Судья/ помощник судьи,—,—,Является ли договорная подсудность допустимой?Эксклюзивный шлюз,—,"Суд может посчитать подсудность, установленную в договоре, недопустимой в контексте рассмотрения настоящего дела. Если «Да» - переход к шагу 14, если «нет» - к шагу 15."
18,Система арбитражного суда,—,—,Сохранить данные в деле,—,Система сохраняет данные в деле
19,Судья/ помощник судьи,—,—,Завершение процесса. Подсудность соблюдена,—,"Если на основе прошедших проверок данный суд уполномочен рассматривать дело в качестве первой инстанции, то есть если соблюдена родовая подсудность, то переход к шагу 5. Если нет — к шагу 6."
20,Судья/ помощник судьи,—,—,Закрывающий шлюз для шага 8,—,Закрывающий шлюз для шага 8
21,Судья/ помощник судьи,—,—,Параллельный шлюз,—,Параллельный шлюз
22,Система арбитражного суда,Сведения об адресе ответчика,—,Проверить подсудность по адресу ответчика,—,Система осуществляет проверку территориальной подсудности по адресу/месту нахождения ответчика.Подсказки по адресным данным (ЕГРЮЛ/ЕГРИП)
23,Система арбитражного суда,—,—,Проверить подсудность по выбору истца,—,"Система проверяет подсудность по выбору истца. Право выбора за истцом и основания, при которых истец может этим правом воспользоваться, регламентированы статьей 36 АПК РФ."
24,Система арбитражного суда,—,—,Проверить исключительную подсудность,—,"Система проверяет наличие оснований, которые свидетельствуют о наличии исключительной подсудности (ст. 38 АПК РФ).Чек-лист ст. 38 АПК РФ"
25,Судья/ помощник судьи,—,—,Закрывающий шлюз для шага 21,—,Закрывающий шлюз для шага 21
26,Судья/ помощник судьи,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
27,Судья/ помощник судьи,—,—,Территориальная подсудность соблюдена?Эксклюзивный шлюз,—,"На основании трех предыдущий проверок судья делает вывод о соблюдении территориальной подсудности. Если «да» - переход к шагу 22, если «нет» - к шагу 23."
28,Система арбитражного суда,—,—,Сохранить данные в деле,—,Система сохраняет данные в деле
29,Судья/ помощник судьи,—,—,Завершение процесса. Подсудность соблюдена,—,"Если на основе прошедших проверок данный суд уполномочен рассматривать дело в качестве первой инстанции, то есть если соблюдена родовая подсудность, то переход к шагу 5. Если нет — к шагу 6."
30,Судья/ помощник судьи,—,—,Дело принято к производству?Эксклюзивный шлюз,—,"Для определения дальнейших действий (передачи по подсудности или возвращении документа) необходимо установить факт или отсутствие факта принятия дела к производству. Если «Да» - переход к шагу 24, если «нет» - к шагу 25."
31,Система арбитражного суда,—,—,Сохранить данные в деле,—,Система сохраняет данные в деле
32,Судья/ помощник судьи,—,—,Завершение процесса. Установлено основание для передачи по подсудности,—,Завершение процесса. Установлено основание для передачи по подсудности.Шаблон оформления определения о передаче
33,Система арбитражного суда,—,—,Сохранить данные в деле,—,Система сохраняет данные в деле
34,Судья/ помощник судьи,—,—,Завершение процесса. Установлено основание для возвращения документа,—,Завершение процесса. Установлено основание для возвращения документа. Шаблон оформления определения о возвращении
