№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Возникла необходимость ведения бухгалтерского учета финансово-хозяйственной деятельности суда,"",Возникла необходимость ведения бухгалтерского учета финансово-хозяйственной деятельности суда
1.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Планировать финансово-хозяйственную деятельность,"",Сотрудник отдела бухгалтерского учета и отчетности начинает планировать финансово-хозяйственную деятельность 
2.,Сотрудник отдела бухгалтерского учета и отчетности,"",Смета,Подготовить смету,"",Сотрудник отдела бухгалтерского учета и отчетности подготавливает смету на будущие расходы
3.,Сотрудник отдела бухгалтерского учета и отчетности,"",План закупок,Сформировать план закупок,"",Сотрудник отдела бухгалтерского учета и отчетности формирует план закупок 
4.,Сотрудник отдела бухгалтерского учета и отчетности,"","",ОБП18:Участвовать в госзакупках,"",Переход в процесс ОБП18:Участвовать в госзакупках
5.,Сотрудник отдела бухгалтерского учета и отчетности,"","",ОБП29:Контролировать исполнение госконтракта,"",Переход в процесс ОБП29:Контролировать исполнение госконтракта
6.,Сотрудник отдела бухгалтерского учета и отчетности,"",Первичные документы по хозяйственной деятельности,Сформировать первичные документы по хозяйственной деятельности,"",Сотрудник отдела бухгалтерского учета и отчетности формирует первичные документы по хозяйственной деятельности
7.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Отразить закупки в учетной системе,"",Отразить закупки в учетной системе
8.,Сотрудник отдела бухгалтерского учета и отчетности,"","","ОБП44:Обеспечение расчетов за товары, услуги и работы","","Переход в процесс ОБП44:Обеспечение расчетов за товары, услуги и работы"
9.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Сделать расчет по заработной плате,"",Сотрудник отдела бухгалтерского учета и отчетности проводит расчет заработной планы для сотрудников 
10.,Сотрудник отдела бухгалтерского учета и отчетности,"",Отчет с данными о заработной плате,Составить отчет о выплате заработной платы,"",После расчета и выплаты заработной платы сотрудник отдела бухгалтерского учета и отчетности подготавливает отчет о выплате заработной платы 
11.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Проводить учет движения материальных ценностей,"",Сотрудник отдела бухгалтерского учета и отчетности осуществляет учет движения материальных ценностей
12.,Сотрудник отдела бухгалтерского учета и отчетности,"","",ОБП30:Участие в инвентаризации мат. ценностей и тех. средств,"",Переход в процесс ОБП30:Участие в инвентаризации мат. ценностей и тех. средств
13.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Составить сводный отчет списания движения мат. ценностей,"",Сотрудник отдела бухгалтерского учета и отчетности составляет сводный отчет списания движения мат. ценностей
14.,Сотрудник отдела бухгалтерского учета и отчетности,"",Отчет списания движения мат. ценностей,ОБП41: Составление и представление бюджетной отчетности,"",Переход в процесс ОБП41: Составление и представление бюджетной отчетности
15.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Контролировать соблюдение бюджетной дисциплины,"",Сотрудник отдела бухгалтерского учета и отчетности проверяет и контролирует соблюдение бюджетной дисциплины
16.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Проверить правильность оформления первичных документов,"",Сотрудник отдела бухгалтерского учета и отчетности проверяет правильность оформления первичных документов
17.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Контролировать полноту отражения операций,"",Сотрудник отдела бухгалтерского учета и отчетности контролирует полноту отражения операций
18.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Осуществить сверку остатков,"",После реализации всех операций по финансово-хозяйственную деятельность сотрудник отдела бухгалтерского учета и отчетности осуществляет сверку остатков 
19.,Сотрудник отдела бухгалтерского учета и отчетности,"",Годовой отчет о финансово-хозяйственной деятельности,Сформировать годовой отчет о финансово-хозяйственной деятельности,"",Сотрудник отдела бухгалтерского учета и отчетности формирует годовой отчет о финансово-хозяйственной деятельности
20.,Система,"","",Передать отчет на согласование председателю,"",Система направляет отчет на согласование председателю
21.,Председатель суда/Зам. председателя,"","",Ознакомиться с отчетом,"",Председатель суда/Зам. председателя знакомиться с годовой отчет о финансово-хозяйственной деятельности
22.,Председатель суда/Зам. председателя,"","",Отчет необходимо утвердить?,"",Эксклюзивный шлюзОтчет необходимо утвердить?Да - переход к шагу 25Нет - переход к шагу 23
23.,Председатель суда/Зам. председателя,"","",Передать замечания по отчету,"",Председатель суда/Зам. председателя выявляет замечания к отчету и передает их на доработку сотруднику отдела бухгалтерского учета и отчетности
24.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Скорректировать отчет по замечаниям,"",Сотрудник отдела бухгалтерского учета и отчетности получает замечания к отчету от председателя суда/Зам. председателя и корректирует отчет 
25.,Председатель суда/Зам. председателя,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз переход к шагу 26
26.,Председатель суда/Зам. председателя,"",Подписанный годовой отчет  о финансово-хозяйственной деятельности,Подписать отчет,"",После согласования отчета председатель суда/Зам. председателя подписывает его
27.,Система,"","",Направить отчет в УСД,"",После согласования и подписания годовой отчет  о финансово-хозяйственной деятельности направляется в УСД системой
28.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Закрыть финансовый год,"",Сотрудник отдела бухгалтерского учета и отчетности закрывает финансовый год
29.,Сотрудник отдела бухгалтерского учета и отчетности,"","",Осуществлен учет финансово-хозяйственной деятельности суда,"",Завершение процесса
