№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Отдел делопроизводства/отдел обеспечения судопроизводства,"Электронный документ, поступивший в суд.",__," Поступили документы в эл. форме, подписанные УКЭП/Требуется проверить УКЭП судьи. (Стартовое событие).",__,"АПК РФ закрепляет возможность подачи электронных документов, подписанных ЭП. Федеральный закон № 63-ФЗ «Об электронной подписи» — определяет виды ЭП (простая, усиленная неквалифицированная, усиленная квалифицированная) и правила их применения. В будущей системе все документы подаются в суд в электронном виде.Запускается процесс проверки УКЭП, которой подписан документ, поступивший в суд в электронной форме. Проверка выполняется автоматически средствами информационной системы суда, с использованием сведений аккредитованных удостоверяющих центров (УЦ). "
1,Система,"Электронный документ, поступивший в суд.",__,Проверить подписанта,__,"На данном этапе осуществляется проверка сведений о лице, наложившем усиленную квалифицированную электронную подпись (УКЭП) на документ, поступивший в арбитражный суд через электронные каналы (например, систему «Мой Арбитр» или через единый портал подачи документов в суд или через другую будущую систему). Фокус системы на личности и правомочности лица, которое подписало документ. Проверка выполняется средствами информационной системы суда на основании данных, содержащихся в сертификате электронной подписи, выданном аккредитованным удостоверяющим центром (УЦ). Проверка включает следующие действия со стороны системы:1.Идентификация подписанта (Извлечение данных из сертификата УКЭП (ФИО, ИНН, СНИЛС, наименование организации, должность, ОГРН, дата выдачи и срок действия).2.Проверка действительности сертификата (Сертификат выдан аккредитованным УЦ Сертификат не отозван, не приостановлен, срок действия не истёк)3.Данные сертификата совпадают с информацией из реестров.4.Проверка правомочности подписанта:Для физических лиц — подтверждение соответствия лица заявителю;Для представителей — проверка наличия полномочий (по доверенности, уставу, приказу и т.п., при наличии в системе).Для судьи — проверка в списках действующих судей (при подписании судебных актов).5.Фиксация результата проверки в виде сохранения данных проверки."
2,Система,"Электронный документ, поступивший в суд.",__,Провести проверку ЭЦП,__,"Фокус системы на технической корректности подписи: целостность документа, соответствие подписи сертификату, корректность алгоритмов, криптографическая валидность, отсутствие изменений. Цель шага- убедиться в корректности и технической действительности усиленной квалифицированной электронной подписи (УКЭП), наложенной на электронный документ, поступивший в арбитражный суд, и в неизменности содержимого документа после его подписания.Система суда выполняет автоматическую криптографическую проверку УКЭП, наложенной на документ. Проверка направлена на подтверждение, что подпись:1. Соответствует содержимому документа (документ не был изменён после подписания);2.Соответствует сертификату, которым она была создана;3.Использует корректные алгоритмы и форматы;4.Не содержит ошибок в структуре или повреждений.Проверка выполняется средствами встроенного модуля валидации ЭЦП, интегрированного с аккредитованными удостоверяющими центрами и государственными сервисами проверки Результатом является подтверждение технической корректности подписи либо сообщение об ошибке."
3,Система,"Электронный документ, поступивший в суд.",__,Нужно проверить подпись судьи? (Эксклюзивный шлюз),__,"Система, выстраивая алгоритм проверки ЭП анализирует нужно проверить подпись судьи?Если «Да», то переход к шагу 13 процесса.Если «Нет», то переход к шагу 4 процесса."
4,Отдел делопроизводства/отдел обеспечения судопроизводства,"Результат проверки системой ЭП на документе, поступившем в суд.",__, Переход к типовому процессу «Проверить выводы системы»,__,"Данные по проведенной системой проверке отображаются для пользователя- Сотрудника отдела делопроизводства/отдела обеспечения судопроизводства.  Происходит Переход к типовому процессу «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные. Итогом будут выводы системы, провалидированные пользователем ИС суда."
5,Система,"Результат проверки системой ЭП на документе, поступившем в суд.",__,Обе проверки пройдены? (Эксклюзивный шлюз),"","Система, после валидации данных пользователем, анализирует пройдены ли обе проверки ЭЦП?Если «Да», то переход к шагу 6 процесса.Если «Нет», то переход 8 процесса."
6,Система,__,__,Сохранить данные,__,"После успешной проверки ЭЦП (подтверждения технической корректности подписи и целостности документа) информационная система суда автоматически выполняет сохранение данных, связанных с поступившим документом.Шаг включает следующие действия:1.Сохранение электронного документа (Сохранение оригинала документа в системе электронного документооборота суда (в неизменяемом виде).2.Сохранение сведений о проверке ЭЦП (Результат проверки (статус «Проверка пройдена успешно»); Время и дата проверки; Сведения о сертификате (номер, УЦ, срок действия); Отметка о типе подписи (УКЭП).3.Сохранение данных о подписанте (ФИО, организация, должность; Идентификаторы (ИНН, СНИЛС, ОГРН при наличии).4.Регистрация события в журнале системы (Логирование операции сохранения; Формирование записи для аудита.)5. Изменение статуса документа. Присвоение статуса: «Подпись проверена»"
7,Система,__,__,ЭЦП принята. Завершающее событие.,__,"Электронному документу, поступившему в суд присвоен статус в системе «Подпись проверена». Завершение процесса проверки ЭП."
8,Отдел делопроизводства/отдел обеспечения судопроизводства,"Результат проверки системой ЭП на документе, поступившем в суд.","",Система сделала правильные выводы?,__,"Сотрудником отдела делопроизводства/отдела обеспечения судопроизводства была проведена валидация выводов системы.  В случае, если система выдала результат – Проверка ЭЦП не пройдена, пользователь решает вопрос-система сделала правильные выводы?Если «Да», то переход к шагу 9 процесса.Если «Нет», то переход к шагу 10 процесса."
9,Система,"Результат проверки системой ЭП на документе, поступившем в суд.",__,Отклонить документ,__,"Если в ходе проверки электронной подписи установлено, что подпись некорректна, просрочена, отозвана или не соответствует документу и такой вывод подтвержден при валидации пользователем, то информационная система суда выполняет автоматическую процедуру отклонения такого документа.Шаг включает следующие действия:1.Фиксация результата проверки. Присвоение статусу документа значения: «Отклонён»;2.Сохранение причины отклонения (например: «Подпись невалидна», «Сертификат отозван», «Нарушена целостность документа»).3.Регистрация события в системе (Сохранение технического отчёта о неуспешной проверке).4.Формирование уведомления заявителю (Подготовка системного уведомления о том, что документ не принят к рассмотрению и указание причины отказа)5.Завершение обработки документа. Исключение документа из дальнейшего движения по процессу. "
