№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
10,Отдел делопроизводства/отдел обеспечения судопроизводства,"Результат проверки системой ЭП на документе, поступившем в суд.",__,Принять документ,__,"Если в ходе проверки электронной подписи установлено, что подпись некорректна, просрочена, отозвана или не соответствует документу, но такой вывод не подтвержден при валидации сотрудником отдел делопроизводства/отдела обеспечения судопроизводства, то указанный сотрудник может принудительно признать проверки пройденными, нажав «Принять документ».Тогда система сохраняет следующие данные:1.Сохранение электронного документа (Сохранение оригинала документа в системе электронного документооборота суда (в неизменяемом виде).2.Сохранение сведений о проверке ЭЦП (Результат проверки (статус «Проверка пройдена успешно»); Время и дата проверки; Сведения о сертификате (номер, УЦ, срок действия); Отметка о типе подписи (УКЭП).3.Сохранение данных о подписанте (ФИО, организация, должность; Идентификаторы (ИНН, СНИЛС, ОГРН при наличии).4.Регистрация события в журнале системы (Логирование операции сохранения; Формирование записи для аудита. Сохранения данных проверки системой и несогласия с ней пользователя.)5. Изменение статуса документа. Присвоение статуса: «Подпись проверена»."
11,Отдел делопроизводства/отдел обеспечения судопроизводства,__,__,ЭЦП не принята. Завершающее событие.,__,"Завершение процесса проверки ЭП. ЭЦП не принята, документу присвоен статус «отклонен». Дальнейшее движение документа остановлено."
12,Отдел делопроизводства/отдел обеспечения судопроизводства,__,__,ЭЦП принята. Завершающее событие.,__,"Электронному документу, поступившему в суд присвоен статус в системе «Подпись проверена». Завершение процесса проверки ЭП."
13,Система,"Документы, подписанный УКЭП судьи",__,Проверить полномочия на подписание,__,"Цель проверки- убедиться, что лицо, подписавшее электронный документ (в данном случае судья), действительно вправе осуществлять подписание соответствующих судебных актов и его полномочия действительны на момент подписания. После идентификации подписанта как судьи, система проводит проверку его полномочий с использованием внутренних и внешних источников данных, чтобы подтвердить, что подписант является действующим судьёй и назначен на должность в соответствующем суде, что полномочия не прекращены или не приостановлены, что тип документа соответствует компетенции судьи (например, судья был вправе подписывать судебный акт по делу, так как дело действительно находилось в его производстве).Проверка выполняется автоматически в несколько этапов:1.Извлечение данных из сертификата УКЭП2.Сопоставление этих данных с реестрами судей.3.Сверка с внутренними и внешними источниками (Реестр судей (например, данные Судебного департамента при Верховном Суде РФ); Кадровая база суда (внутренняя АС, содержащая список действующих судей); Реестр доверенных сертификатов (сертификаты, выданные судьям данного суда)).4.Проверка актуальности статуса (Дата проверки не выходит за рамки срока действия полномочий; Судья не находится в статусе отставки или временного отстранения; Сертификат подписи не аннулирован в связи с прекращением полномочий.5.Логирование результата проверки (Логирование процесса проверки, Сохранение результата проверки «Полномочия подтверждены» или «Полномочия не подтверждены», Сохранение ссылки на источник данных (реестр, система кадров).)"
14,Судья вышестоящей инстанции,"Документы, подписанный УКЭП судьи",__,Переход к типовому процессу «Проверить выводы системы», __,"Данные по проведенной системой проверке отображаются для пользователя- Судьи вышестоящего суда.  Происходит Переход к типовому процессу «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и, если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные. Итогом будут выводы системы, провалидированные пользователем - судьей вышестоящей инстанции."
15,Система,Результат проверки системой УКЭП судьи,__,Все три проверки пройдены?,__,"Для того, чтобы документ, подписанный судьей, прошел проверку ЭП, необходимо чтобы все три проверки в системе были пройдены (Шаг 1, шаг 2, шаг 15). Система анализирует данные и отвечает на вопрос -били ли пройдены все три проверки?Если «Да», то переход к шагу 16 процесса.Если «Нет», то переход к шагу 18 процесса."
16,Система,Результат проверки системой УКЭП судьи,__, Сохранить данные,__,"После успешной проверки ЭЦП (подтверждения технической корректности подписи и целостности документа, а также полномочий судьи на подписания) информационная система суда автоматически выполняет сохранение данных, связанных с поступившим документом. Предполагается, что данный вывод сделан системой с учетом валидации проверок пользователем.Шаг включает следующие действия:1.Сохранение электронного документа (Сохранение оригинала документа в системе электронного документооборота суда (в неизменяемом виде).2.Сохранение сведений о проверке ЭЦП (Результат проверки (статус «Проверка пройдена успешно»); Время и дата проверки; Сведения о сертификате (номер, УЦ, срок действия); Отметка о типе подписи (УКЭП).3.Сохранение данных о подписанте.4.Регистрация события в журнале системы (Логирование операции сохранения; Формирование записи для аудита.)5. Изменение статуса документа. Присвоение статуса: «Подпись проверена»"
17,Судья вышестоящей инстанции,Результат проверки системой УКЭП судьи,__,ЭЦП принята. Завершающее событие,__,"Электронному документу, поступившему в суд присвоен статус в системе «Подпись проверена».  Отображение статуса проверки в карточке дела. Завершение процесса проверки ЭП."
18,Система,Результат проверки системой УКЭП судьи,__, Заполнить основание для отмены,__,"Если на этапе проверки УКЭП судьи установлено, что подпись не прошла проверку (например, сертификат недействителен, отозван, не принадлежит судье, нарушена целостность документа и т.д.), информационная система суда автоматически формирует основание для отмены и сохраняет его в системе.Шаг включает следующие действия:1.Анализ результата проверки УКЭП (Система получает код ошибки или причину отказа из модуля проверки подписи (например: «Сертификат отозван», «Истёк срок действия», «Несоответствие данных подписанта», «Нарушена целостность документа»).2. Определение категории основания. Система классифицирует ошибку по типу: Недействительный сертификат/ Несоответствие подписанта/Отсутствие полномочий/ Ошибка структуры подписи/Нарушение целостности документа.3.Формирование текстового описания основания. Автоматическое создание записи.4.Сохранение основания в системе (Запись основания в базе данных; Привязка основания к документу и результату проверки.)"
19,Система,Результат проверки системой УКЭП судьи,__,Сохранить данные,__,Сохранение данных по проведенной проверке в системе.
20,Судья вышестоящей инстанции,__,__,ЭЦП не принята. Завершающее событие,__,"Завершение процесса проверки ЭП. ЭЦП не принята, сделана запись об установлении оснований для отмены СА в системе суда."
