№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Суд (судья),—,—,Появилась необходимость наложить штраф,—,У судьи возникает необходимость наложить судебный штраф.Контроль наличия оснований и ограничений с чек-листом
1,Суд (судья),—,—,На кого необходимо наложить штраф?Эксклюзивный шлюз,—,"Ветвление по субъекту: гражданское лицо, должностное лицо, организация.Шаблон подсказок с лимитами сумм по типу субъекта Варианты: на гражданское лицо: шаг 2; на должностное лицо: шаг 3; на организацию: шаг 4"
2,Суд (судья),—,—,"Учесть, что сумма штрафа не более 5000 р.",—,"Судья учитывает, что сумма штрафа для гражданских лиц не может превышать 5 000 р.На основании лица, на которое накладывается штраф, система не дает поставить неправильное значениеАвтоподсказка лимита по типу субъекта"
3,Суд (судья),—,—,"Учесть, что сумма штрафа не более 30000 р.",—,"Судья учитывает, что сумма штрафа на должностное лицо не может превышать 30 000 р.На основании лица, на которое накладывается штраф, система не дает поставить неправильное значениеТакже на лицо, осуществляющее функции единоличного исполнительного органа или на лиц, возглавляющий коллегиальный исполнительный орган юридического лицаАвтоподсказка лимита по типу субъекта"
4,Суд (судья),—,—,"Учесть, что сумма штрафа не более 100000 р.",—,"Судья учитывает, что сумма штрафа на организацию не может превышать 100 000 р.На основании лица, на которое накладывается штраф, система не дает поставить неправильное значениеАвтоподсказка лимита по типу субъекта"
5,Суд (судья),—,—,Эксклюзивный шлюз,—,Эксклюзивный закрывающий шлюз
6,Суд (судья),—,—,Лицо присутствует в СЗ?Эксклюзивный шлюз,—,"Для выяснения необходимости проводить другое СЗ по вопросу наложения штрафа, выясняется, присутствует ли лицо в СЗ и рассматривается ли вопрос наложения штрафа на текущий момент в СЗ. Если «да» - переход к шагу 12, если «нет» - к шагу 7."
7,Суд (судья),—,Определение о назначении судебного заседания,ТБП44.Назначить СЗ,—,"Вопрос о наложении судебного штрафа на лицо, не присутствующее в судебном заседании, разрешается в другом судебном заседании арбитражного суда. Переход к ТП «Назначить СЗ», в рамках которого осуществляются мероприятия по определению дате, времени и зале СЗ. Лицо, в отношении которого рассматривается вопрос о наложении судебного штрафа, извещается о времени и месте судебного заседания с указанием оснований проведения судебного заседания.Автогенерация проекта определения по шаблону"
8,Суд (судья),Определение о назначении СЗ,Протокол СЗ,ТБП68.Провести СЗ,—,"Переход к ТП «Провести СЗ», в рамках которого судья проводит СЗ по вопросу наложения судебного штрафа с рассмотрением всех вопросов, касающихся данного процесса, для вынесения решения. Шаблон протокола."
9,Суд (судья),—,—,Суд считает необходимым наложить судебный штраф?Эксклюзивный шлюз,—,"Основаниями для наложения штрафа являются, в частности:- невыполнение требований арбитражного суда представить в арбитражный суд заключение эксперта в установленный срок (часть 6 статьи 55 АПК РФ);- неисполнение обязанности представить истребуемое судом доказательство по неуважительным причинам (часть 9 статьи 66 АПК РФ);- неизвещение суда о невозможности представления доказательства вообще или в установленный срок (часть 9 статьи 66 АПК РФ);- повторное невыполнение требований арбитражного суда представить доказательства (часть 10 статьи 66 АПК РФ);- неисполнение определения об обеспечении иска лицом, на которое суд возложил обязанность исполнить обеспечительные меры (часть 2 статьи 96 АПК РФ);- неуважение к арбитражному суду (часть 5 статьи 119 АПК РФ);- нарушение порядка в судебном заседании или неподчинение законным распоряжениям председательствующего (часть 5 статьи 154 АПК РФ);- неявка в судебное заседание лица, участвующего в деле, явка которого в соответствии с АПК РФ признана обязательной арбитражным судом (часть 4 статьи 156, часть 3 статьи 194, часть 3 статьи 200, часть 4 статьи 205, часть 3 статьи 210, часть 3 статьи 215 АПК РФ);- неявка в суд по неуважительным причинам в судебное заседание эксперта, свидетеля или переводчика (часть 2 статьи 157 АПК РФ);- непредставление либо несвоевременное представление объяснений, возражений и (или) доводов в установленный срок органом, организацией, должностным лицом, которые не исполнили судебный акт в разумный срок (часть 3 статьи 222.8 АПК РФ);- неисполнение лицом обязанности уведомить о возбуждении производства по делу, предмете и об основаниях заявленных в арбитражный суд требований и иных обстоятельствах спора других участников (часть 4 статьи 225.4 АПК РФ);- неисполнение лицом, обратившимся в арбитражный суд с заявлением об обеспечении иска, обязанности по уведомлению лиц, участвующих в деле, о времени и месте рассмотрения заявления об обеспечении иска (часть 10 статьи 225.6 АПК РФ);- злоупотребление лицом, которое обратилось в арбитражный суд по делу о защите прав и законных интересов группы лиц, своими процессуальными правами (часть 3 статьи 225.12 АПК РФ);- утрата виновным лицом переданного ему на исполнение исполнительного листа, которое выдал арбитражный суд (статья 331 АПК РФ);- неисполнение судебного акта арбитражного суда органами государственной власти, иными организациями, должностными лицами и гражданами (часть 1 статьи 332 АПК РФ);- неисполнение действий, указанных в исполнительном листе, лицом, на которое возложено совершение этих действий (часть 2 статьи 332 АПК РФ).Если «да» - переход к шагу 10, если «нет» - к шагу 11."
