№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Председатель/Заместитель председателя суда/Судья,"Электронное заявление о продлении срока рассмотрения дела, материалы дела в системе.",__, Возникла необходимость проверить сложность дела. Стартовое событие,__,Процесс проверки сложности дела включает анализ критериев сложности и принятие решений о продлении сроков рассмотрения. Старт процесса.
1,Система,"Электронное заявление о продлении срока рассмотрения дела, материалы дела в системе.",__,Не эксклюзивный шлюз,__,"Не эксклюзивный шлюз (И/ИЛИ): может активироваться один или несколько шагов одновременно. Система запускает анализ сложности дела, проверки будут запускаться в зависимости от данных, содержащихся в карточке дела. Могут сработать все проверки, может только одна, может три. "
2,Система,__,__,Проверить наличие большого количества участников,__,"Согласно ч. 1 ст. 152 АПК РФ арбитражный суд рассматривает дело в срок, не превышающий шести месяцев со дня поступления заявления в арбитражный суд, включая срок на подготовку дела к судебному разбирательству, если иной срок не установлен АПК РФ. Согласно ч. 2 ст. 152 АПК РФ срок рассмотрения дела может быть продлен председателем арбитражного суда до 10 месяцев в связи с особой сложностью дела, с большим количеством участников арбитражного процесса. Система проверяет наличие большого количества участников процесса по делу."
3,Система,__,__,Проверить необходимость проведения длительных экспертиз,__,Система анализирует данные о необходимости проведения длительных экспертиз
4,Система,__,__, Проверить объем доказательств,__,Система анализирует объем доказательств по делу
5,Председатель/Заместитель председателя суда/Судья,__,__,Проверить необходимость истребования документов,"","Председатель/Заместитель председателя суда/Судья подтверждает или опровергает в системе вывод о необходимости истребования документов, получение которых объективно длительно по времени, либо связано с истребованием у гос. органов, судов, иных ведомств иностранного государства. "
6,Система,__,__,Проверить необходимость проведения проц. действий вне субъекта РФ,__,Система анализирует есть ли необходимость проведения процессуальных действий вне субъекта РФ.
7,Председатель/Заместитель председателя суда/Судья,__,__,Проверить особую сложность спорного требования,__,Председатель/Заместитель председателя суда/Судья проверяет особую сложность спорного требования и подтверждает в системе наличие или отсутствие данного основания для продления срока рассмотрения по делу.
8,Система,__,__,Закрывающий шлюз,__,Закрывающий шлюз для шага 1 процесса
9,Система,Результат проверки ,__,Сформировать общую оценку сложности,__,"Система, на основании проведенных проверок формирует общую оценку сложности дела для пользователя."
10,Председатель/Заместитель председателя суда/Судья,Отчет системы об оценке сложности дела,__,Переход к типовому процессу «Проверить выводы системы»,__,"Председатель/Заместитель председателя суда/Судья знакомится со сформированной оценкой сложности дела. Переход к типовому процессу «Проверить выводы системы», результатом которого будет провалидированный пользователем отчет системы о сложности дела с внесением изменений в случае некорректных выводов."
11,Система,__,__,"Установлены объективные обстоятельства, свидетельствующие о сложности дела? Эксклюзивный шлюз",__,"На основании сохраненных данных в системе после валидации пользователем система решает - установлены ли объективные обстоятельства, свидетельствующие о сложности дела? Если «Да», то переход к шагу 12Если «Нет», то переход к шагу 13"
12,Система,__,__,Сохранить основания для продления срока рассмотрения дела,__,Система сохраняет вывод о наличии установленных оснований для продления срока рассмотрения дела
13,Система,__,__,Сохранить отсутствие оснований для удовлетворения требований,__,Система сохраняет вывод об отсутствии оснований для удовлетворения требований о продлении срока рассмотрения дела
14,Система,__,__,Закрывающий шлюз, __,Закрывающий шлюз для шага 11 процесса.
15,Система,__,__,Сложность дела проверена. Завершающее событие,__,Система завершила проверку сложности дела с сохранением вывода по проверке. Сложность дела проверена. Завершение процесса.
