№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,Заявление о разъяснении СА,—,Возникла необходимость рассмотреть вопрос о разъяснении СА,—,"Судья инициирует процесс рассмотрения вопроса о разъяснении СА в связи с поступившим заявлением.Разъяснение СА регулируется ст. 179 АПК.В случае неясности решения арбитражный суд, принявший это решение, по заявлению лица, участвующего в деле, судебного пристава-исполнителя, других исполняющих решение арбитражного суда органа, организации вправе разъяснить решение без изменения его содержания (ч. 1 ст. 179 АПК РФ)"
1,Система,—,—,Запустить проверку,—,Система запускает проверку
2,Судья,—,—,Параллельный шлюз.,—,Параллельный шлюз.
3,Система,Судебный акт,—,"Проверить, приведено ли решение в исполнение",—,"Разъяснение решения допускается, если оно не приведено в исполнение (ч. 2 ст. 179 АПК РФ).Система проверяет, было ли приведено решение в исполнение."
4,Судья,—,—,Решение исполнено?Эксклюзивный шлюз.,—,"Если Да: переход к шагу 4,Если Нет: переход к шагу 5"
5,Система,—,—,Установить основания для отказа в удовлетворении,—,"Система устанавливает основания для отказа в удовлетворении заявления о разъяснении СА в связи с исполнением судебного акта, по которому подано заявление."
6,Судья,—,—,Эксклюзивный закрывающий шлюз.,—,Эксклюзивный закрывающий шлюз.
7,Судья,—,—,Проверить срок,—,"Переход к типовому процессу «Проверить срок».Разъяснение решения допускается, если не истек срок, в течение которого решение может быть принудительно исполнено. (ч. 2 ст. 179 АПК РФ).Судья проверяет истечение срока принудительного исполнения."
8,Судья,—,—,Срок принудительного исполнения истек?Эксклюзивный шлюз.,—,"Если Да: переход к шагу 8,Если Нет: переход к шагу 9"
9,Система,—,—,Установить основания для отказа в удовлетворении,—,Система устанавливает основания для отказа в удовлетворении заявления о разъяснении СА в связи с истечением срока принудительного исполнения.
10,Судья,—,—,Эсклюзивный закрывающий шлюз.,—,Эсклюзивный закрывающий шлюз.
11,Судья,—,—,Параллельный шлюз.,—,Параллельный шлюз.
12,Система,—,Отчет,Сформировать отчет,—,Система формирует отчет по решению
13,Судья,Отчет,—,Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
14,Судья,Результаты всех проверок,—,Требуется удовлетворить заявление?Эксклюзивный шлюз.,—,"Судья принимает решение о том, требуется ли удовлетворить заявление о разъяснении СА, на основании результатов предыдущих проверок.Если Да: переход к шагу 12,Если Нет: переход к шагу 13"
15,Судья,—,Определение о разъяснении СА,Принять СА,В течение 10 дней со дня поступления заявления,"Переход к типовому процессу «Принять СА». Судья формирует и подписывает определение о разъяснении СА.Вопросы разъяснения решения рассматриваются арбитражным судом в десятидневный срок со дня поступления заявления в суд без проведения судебного заседания и без извещения лиц. По результатам рассмотрения вопросов выносится определение, которое может быть обжаловано. (ч. 4 ст. 179 АПК РФ)В определении судья разъясняет положения, изложенные в СА. Разъяснение не должно менять существа и содержания принятого решения.Автоматическая генерация определения на основе шаблона"
16,Судья,—,Определение об отказе в удовлетворении ходатайства о разъяснении СА,Принять СА,В течение 10 дней со дня поступления заявления,Переход к типовому процессу «Принять СА». Судья формирует и подписывает Определение об отказе в удовлетворении ходатайства о разъяснении СА.В определении судья указывает на причины отказа. Определение может быть обжаловано.Автоматическая генерация определения на основе шаблона
17,Судья,—,—,Эксклюзивный закрывающий шлюз.,—,Эксклюзивный закрывающий шлюз.
18,Канцелярия,Определение суда,—,Направить документ,—,"Переход к типовому процессу «Направить документ».Канцелярия направляет определение суда ЛУВД/Приставу-исполнителю/Иному лицу, подававшему ходатайство о разъяснении."
19,Канцелярия,—,—,Завершение процесса,—,Завершение процесса. Определение направлено лицам.
20,ЛУВД/Пристав-исполнитель/Иное лицо,Определение суда,—,Получено определение,—,ЛУВД/Пристав-исполнитель/Иное лицо получает определение суда
21,ЛУВД/Пристав-исполнитель/Иное лицо,Полученное определение,—,Ознакомиться,—,ЛУВД/Пристав-исполнитель/Иное лицо знакомится с содержанием определения
22,Система,—,Время ознакомления,Вернуть время ознакомления,—,Система возвращает время ознакомления и уведомляет пользователя
23,ЛУВД/Пристав-исполнитель/Иное лицо,—,—,Есть основания для обжалования?Эксклюзивный шлюз.,—,"ЛУВД/Пристав-исполнитель/Иное лицо принимает решение о наличии оснований для обжалования.Если Да: переход к шагу 20,Если Нет: переход к шагу 21"
24,ЛУВД/Пристав-исполнитель/Иное лицо,—,—,Переход к процессу кассационного обжалования,—,Переход к процессу кассационного обжалования.
25,ЛУВД/Пристав-исполнитель/Иное лицо,—,—,Завершение процесса,—,Завершение процесса. Лицо ознакомилось с определением
