№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,"Помощник судьи/Лицо, осуществляющее проверку",—,—,Возникла необходимость проверить правильность формирования и оформления дела,—,"Помощник судьи/Лицо, осуществляющее проверку инициирует процесс проверки правильности формирования и оформления дела."
1,"Помощник судьи/Лицо, осуществляющее проверку",—,—,Параллельный шлюз,—,"Параллельный шлюз: шаги 2,3,4 выполняются параллельно"
2,Система,—,—,Проверить наличие необходимых подписей,—,"Система проверяет все документы, подразумевающие подписание, на наличие электронной подписи в них."
3,Система,—,—,Проверить  наличие описи документов,—,Система проверяет наличие описи документов
4,Система,—,—,Проверить соответствие файлов дела данным в описи,—,"Система проверяет корректность ее данных в описи, т. е. Сопоставляет перечень документов в виде файлов каждой записи с наименованием документа в описи."
5,"Помощник судьи/Лицо, осуществляющее проверку",—,—,Закрывающий шлюз.,—,Закрывающий шлюз для 1 шага.
6,"Помощник судьи/Лицо, осуществляющее проверку",—,—,Проверить выводы системы,—,"Переход к типовому процессу «Проверить выводы системы», в рамках которого помощник судьи/лицо, осуществляющее проверку, валидирует результаты проверки надлежащего оформления дела системой и вносит изменения, если это необходимо (при возникновении ошибок отработки системы)."
7,"Помощник судьи/Лицо, осуществляющее проверку",—,"Если да, то переход к шагу 8. Если нет, то переход к шагу 10",Проверки пройдены? Эксклюзивный шлюз.,—,Если Да: переход к шагу 8 Если Нет: переход к шагу 10
8,Система,—,—,Сохранить информацию об успешной проверке,—,Система сохраняет информацию о проведенных проверках в виде отчета.
9,"Помощник судьи/Лицо, осуществляющее проверку",—,—,Дело сформировано корректно,—,Завершение процесса. Дело сформировано корректно
10,Система,—,—,Сохранить информацию об успешной проверке,—,Система сохраняет информацию о проведенных проверках в виде отчета.
11,"Помощник судьи/Лицо, осуществляющее проверку",Отрицательное решение,—,Дело сформировано некорректно,—,Завершение процесса. Дело сформировано некорректно
