№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание),Предложения по автоматизации шага процесса
41,Взыскатель,—,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие.,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ.","Переход к типовому процессу «Подать документы в суд», в рамках которого Взыскатель формирует и направляет Ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причин",Возможна автоматизация подачи через электронную систему
42,Взыскатель,—,—,Завершение процесса,—,Завершение процесса,—
43,Должник,—,—,Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ).",Возможна автоматизация подачи ходатайства через электронную систему
44,Должник,—,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие.,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ.","Переход к типовому процессу «Подать документы в суд», в рамках которого Должник формирует и направляет Ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причин",Возможна автоматизация подачи через электронную систему
45,Должник,—,—,Завершение процесса,—,Завершение процесса,—
46,Взыскатель,"","",Возникла необходимость в применении обеспечительных мер,"","У Взыскателя возникла необходимость в применении обеспечительных мер. Согласно ч.6 ст. 243 АПК РФ арбитражный суд, в котором рассматривается заявление о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения, по ходатайству стороны, обратившейся с таким заявлением, может обязать другую сторону предоставить надлежащее обеспечение по правилам, предусмотренным гл. 8 АПК РФВ соответствии с положениями раздела V АПК РФ арбитражные суды принимают предварительные обеспечительные меры по делам с участием иностранных лиц (статья 250 АПК РФ) по экономическим спорам и другим делам, связанным с осуществлением предпринимательской и иной экономической деятельности (часть 1 статьи 247 АПК РФ), при условии соблюдения критериев юрисдикции, установленных частью 3 статьи 99 АПК РФ, и оснований для применения таких мер, указанных в части 2 статьи 90 АПК РФ",""
47,Взыскатель,"","",Переход в процесс рассмотрения обеспечительных мер,"",Переход в процесс рассмотрения обеспечительных мер,""
48,Помощник судьи,"","",ТБП66.Подготовиться к СЗ,"Подготовка дела к судебному разбирательству проводится в срок, определяемый судьей с учетом обстоятельств конкретного дела и необходимости совершения соответствующих процессуальных действий","Переход к Типовому процессу «Подготовиться к СЗ». В результате данного ТП помощник судьи проверяет необходимые для данного процесса требования согласно ст. 243 АПК РФ. При подготовке дела к судебному разбирательству помощник судьи проверяет извещены ли стороны надлежащим образом, согласно ч.2 ст. 243 АПК РФ Арбитражный суд извещает лиц, участвующих в деле, о времени и месте судебного заседания. Неявка указанных лиц, извещенных надлежащим образом о времени и месте судебного заседания, не является препятствием для рассмотрения дела. Помощник судьи проверяет была ли предоставлена сторонам возможность ознакомления с текстом.",""
49,Судья,"","Определение об отложении судебного разбирательства, протокол",ТБП68.Провести СЗ,"","Переход к типовому процессу ""Провести СЗ"". В результате данного ТП судья проводит судебное заседание по рассмотрению заявления. Согласно ч.5 ст.243 АПК РФ Если в иностранном суде находится на рассмотрении заявление об отмене или о приостановлении исполнения решения иностранного суда и иностранного арбитражного решения, арбитражный суд, в котором рассматривается заявление о признании и приведении в исполнение этого решения, может по ходатайству одной из сторон отложить рассмотрение заявления о выдаче исполнительного листа.В данном случае рассмотрение заявления о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения было отложено арбитражным судом, после разрешения иностранным судом заявления об отмене или о приостановлении исполнения решения иностранного суда и иностранного арбитражного решения арбитражный суд, в котором рассматривается заявление о признании и приведении в исполнение этого решения, рассматривает заявление о признании и приведении в исполнение этого решения с учетом вынесенного иностранным судом судебного акта в соответствии с международными договорами Российской Федерации и федеральными законами (ч.7 ст. 243 АПК РФ)",""
50,Взыскатель,—,Заявление об отводе судьи,Возникла необходимость в отводе судьи,—,Взыскатель принимает решение о подаче заявления об отводе судьи,Автоматическое уведомление о возможности подачи заявления
51,Взыскатель, ,Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Взыскатель формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу.",Автоматическая подача заявления через электронную систему
52,Взыскатель,—,—,Завершение подачи заявления,—,Процесс подачи заявления завершен,—
53,Должник,—,Заявление об отводе судьи,Возникла необходимость в отводе судьи,—,Должник принимает решение о подаче заявления об отводе судьи,Автоматическое уведомление о возможности подачи заявления
54,Должник, ,Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Должник формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу.",Автоматическая подача заявления через электронную систему
55,Должник,—,—,Завершение подачи заявления,—,Процесс подачи заявления завершен,—
56,Судья,—,—,Возникла необходимость в отводе/самоотводе судьи,—,Судья принимает решение о самоотводе. Основания для отвода/самоотвода судьи регулируются ст. 21 АПК.,Автоматическое уведомление о необходимости рассмотрения отвода
57,Судья,—,Определение об отводе/самоотводе,ТБП27.Отвод/самоотвод судьи,—,"Судья рассматривает вопрос об отводе или принимает самоотвод . Согласно ст. 24-26 АПК по итогам заявления отвода/самоотвода в случае единоличного рассмотрения, вопрос решается тем же судьей, в случае коллегиального-большинством голосов при удалении судьи, в отношении которого заявлен отвода/самоотвода. В результате отвода/самоотвода судья в заседании заменяется.",Автоматическая генерация определения об отводе
58,Судья,—,—,Отвод/самоотвод совершен,—,Процесс отвода судьи завершен,—
59,Судья,—,—,Возникла необходимость в замене судьи,—,Судья принимает решение о необходимости замены,Автоматическое уведомление о необходимости замены
60,Судья,—,Определение о замене судьи,ТБП28.Заменить судью,—,"Судья принимает решение о замене судьи. Согласно ст 18 АПК в случае замены судьи, арбитражного заседателя в процессе рассмотрения дела судебное разбирательство должно быть произведено с самого начала. ",Автоматическая генерация определения о замене
61,Судья,—,—,Замена судьи совершена.,—,Процесс замены судьи завершен,—
62,Взыскатель,"",—,Возникла необходимость в  ускорении,—,"Согласно ч.6 ст 6.1 АПК В случае если после принятия заявления или заявления к производству арбитражного суда дело длительное время не рассматривается и судебный процесс затягивается, заинтересованные лица вправе обратиться к председателю арбитражного суда с заявлением об ускорении рассмотрения дела",—
63,Взыскатель,"",Заявление об ускорении рассмотрения дела,ТБП7.Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Взыскатель формирует и подает заявление об ускорении рассмотрения дела в суд",""
64,Взыскатель,"",—,Завершение процесса,—,Завершение процесса,—
65,Должник,"",—,Возникла необходимость в  ускорении,—,"Согласно ч.6 ст 6.1 АПК В случае если после принятия заявления или заявления к производству арбитражного суда дело длительное время не рассматривается и судебный процесс затягивается, заинтересованные лица вправе обратиться к председателю арбитражного суда с заявлением об ускорении рассмотрения дела",—
66,Должник,"",Заявление об ускорении рассмотрения дела,ТБП7.Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Должник формирует и подает заявление об ускорении рассмотрения дела в суд",""
67,Должник,"",—,Завершение процесса,—,Завершение процесса,—
68,Судья,Заявление об ускорении рассмотрения дела,"",Поступило заявление об ускорении,—,Судья принимает заявление об ускорении рассмотрения дела,""
