№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,ИС Суда,—,—,Появилась необходимость направить автоматический запрос в другую ИС,—,ИС суда инициирует процесс направления автоматизированного запроса в другую ИС по триггеру.
1,ИС Суда,—,Запрос во внешнюю ИС,Сформировать запрос,—,"ИС Суда автоматически формирует запрос к внешней информационной системе на основе имеющихся данных.В запросе указывается на необходимость получения данных и раскрывается, какие именно данные необходимы.Автоматическое формирование запроса на основе шаблонов и правил"
2,ИС Суда,Запрос во внешнюю ИС,"Запрос во внешнюю ИС, направленный в обработчик",Отправить запрос,—,ИС Суда автоматически отправляет сформированный запрос в систему-маршрутизатор запроса для его обработки.Автоматическая отправка запроса через защищенные каналы связи
3,ИС Суда,—,—,Ожидать ответ,—,ИС Суда ожидает ответ от внешней информационной системы в течение установленного времени.Автоматический контроль времени ожидания ответа
4,Система-обработчик,Запрос от ИС Суда,—,Получен запрос,—,Система-обработчик получает запрос от ИС Суда для дальнейшей обработки и передачи во внешнюю ИС.Автоматическое получение и регистрация входящих запросов
5,Система-обработчик,Запрос от ИС Суда,Обработанный запрос,Обработать запрос,—,"Система-обработчик обрабатывает полученный запрос, проверяет его корректность, проверяет на наличие возможных ошибок и подготавливает к передаче.Автоматическая валидация и обработка запроса"
6,Система-обработчик,—,"Обработанный запрос, направленный в ИС ведомства",Передать запрос в ИС ведомства,—,Система-обработчик передает обработанный запрос в информационную систему ведомства.Автоматическая передача запроса в целевую ИС
7,Система-обработчик,—,—,Завершение процесса.Запрос передан в ИС ведомства,—,Завершение процесса.Запрос передан в ИС ведомства
8,ИС ведомства,Запрос от системы-обработчика,—,Получен запрос,—,ИС ведомства получает запрос от системы-обработчика. Автоматическое получение и регистрация входящих запросов
9,ИС ведомства,Запрос от системы-обработчика,—,Есть ошибки в запросе? Эксклюзивный шлюз,—,Есть ошибки в запросе?Автоматическая проверка формата и содержания запроса. Эксклюзивный шлюз
10,ИС ведомства,Запрос от системы-обработчика,Отчет об ошибке,Отправить отчет об ошибке,—,"ИС ведомства формирует и отправляет отчет об ошибке в случае наличия ошибок, возникших при формировании или на этапе передачи запроса.Возможные ошибки:1. Внешняя ИС не отвечает2. Ошибки в отправленном запросе3. ДругиеАвтоматическое формирование и отправка отчета об ошибке"
11,ИС ведомства,Запрос от системы-обработчика,Сформированный ответ,Сформировать ответ,—,"ИС ведомства формирует ответ на основе полученного корректного запроса. Ответ должен содержать корректные данные, на которые ссылается ИС суда в запросе.Автоматическое формирование ответа на основе данных из внутренних систем"
12,ИС ведомства,—,Сформированный ответ,Отправить ответ,—,ИС ведомства отправляет сформированный ответ в систему-обработчик для дальнейшей передачи в суд.Автоматическая отправка ответа через защищенные каналы связи
13,Система-обработчик,Ответ от ИС ведомства,—,Получен ответ от ИС ведомства,—,Система-обработчик получает ответ от ИС ведомства.Автоматическое получение и регистрация входящих ответов
14,Система-обработчик,Полученный ответ,Обработанный ответ,Обработать ответ,—,Система-обработчик обрабатывает полученный ответ от ведомства.Автоматическая валидация и обработка ответа
15,Система-обработчик,—,Обработанный ответ,Передать ответ в ИС суда,—,Система-обработчик передает обработанный ответ в ИС Суда.Автоматическая передача ответа в ИС Суда
16,Система-обработчик,—,—,Завершение процесса.Ответ на запрос передан в суд,—,Завершение процесса.Ответ на запрос передан в суд
17,ИС Суда,Ответ от системы-обработчика,—,Получить ответ,—,ИС Суда получает ответ от системы-обработчика.Автоматическое получение и регистрация входящих ответовОшибкой могут быть: 1. Внешняя ИС не отвечает2. Ошибки в отправленном запросе3. Другие
18,ИС Суда,Полученный ответ,Обработанный ответ,Обработать ответ,—,"ИС Суда обрабатывает полученный ответ, анализирует его содержимое, устанавливает характер полученного ответа (представлен ли отчет об ошибке или представлены данные, насколько данные релевантны и т.д.).Автоматическая обработка и анализ ответа"
19,ИС Суда,Обработанный ответ,—,Получен отчет об ошибке?Эксклюзивный шлюз,—,Получен отчет об ошибке?Автоматическая проверка наличия ошибок в ответе. Эксклюзивный шлюз
20,ИС Суда,Обработанный ответ,Сохраненные данные,Сохранить данные,—,ИС Суда сохраняет полученные данные в БД для последующего отображения пользователю.Автоматическое сохранение данных в соответствующие реестры
21,ИС Суда,—,—,Уведомить пользователя,—,ИС Суда уведомляет пользователя через систему оповещений
22,ИС Суда,—,—,Завершение процесса. Запрос обработан,—,Завершение процесса. Запрос обработан
23,ИС Суда,Отчет об ошибке,Отображенный статус «Ошибка»,"Отобразить статус запроса ""Ошибка""",—,"ИС Суда отображает статус запроса как ""Ошибка"" для пользователя.Автоматическое обновление статуса запроса в интерфейсе"
24,ИС Суда,"Статус ""Ошибка""",Обращение в тех.поддержку,Сформировать обращение в тех.поддержку,—,"Система помогает сформировать обращение в техническую поддержку с описанием возникшей ошибки (непосредственно в ИС).Автоматическое формирование обращения на основе шаблонов, пользователь проверяет обращение на наличие ошибок"
25,ИС Суда,—,Обращение в тех.поддержку,Отправить обращение в тех.поддержку,—,Система отправляет сформированное обращение в техническую поддержку.Автоматическая отправка обращения через систему уведомлений
26,Тех. поддержка суда,Обращение от судьи/помощника,—,Получить обращение,—,Тех. поддержка суда получает обращение от судьи/помощника судьи с описанием возникшей проблемы.Автоматическое получение и регистрация обращений
27,Тех. поддержка суда,Обращение от судьи/помощника,—,Проверить причину ошибки запроса,—,Тех. поддержка суда анализирует причину возникновения ошибки в запросе.Автоматический анализ логов и диагностика проблем
28,Тех. поддержка суда,Обращение от судьи/помощника,Ответ на обращение,Отправить ответ на обращение,—,Тех. поддержка суда отправляет ответ с описанием причины ошибки и рекомендациями по устранению.Автоматическое формирование ответа на основе базы знаний
29,ИС Суда,Ответ на обращение,—,Получить ответ на обращение,—,Система отправляет уведомление пользователю о полученном ответе на обращение. Автоматическое получение ответа через систему уведомлений
30,Судья/Помощник судьи суда,—,—,Решить вопрос о повторной отправке,—,Судья/Помощник судьи суда решают вопрос о повторной отправке запроса на основе полученного результата и ответа на обращение
31,Судья/Помощник судьи суда,—,—,Необходимо повторно направить запрос?Эксклюзивный шлюз,—,Необходимо повторно направить запрос?Эксклюзивный шлюз
32,Судья/Помощник судьи суда,—,—,Переход к шагу 2. Отправить запрос,—,Переход к шагу 2. Отправить запрос
33,ИС Суда,—,—,Сохранить данные,—,Система сохраняет данные об обработанном запросе
34,Судья/Помощник судьи суда,—,—,Завершение процесса. Отчет об ошибке обработан,—,Завершение процесса. Отчет об ошибке обработан
