№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,-,-,Возникла необходимость рассмотреть корпоративный спор,-,"Судья принимает решение о необходимости рассмотрения корпоративного спора. Категории дел и споров, относящиеся к корпоративным регулируются положениями ст. 225.1. АПК РФ"
1,Система,Документы дело/материалы дела,Вид требования в системе определен ,Провести предварительный анализ,-,Система указывает вид требования на основе анализа
2,Судья,-,-,Параллельный открывающий шлюз,-,"Параллельный открывающий шлюз, разделяющий поток на 3-й, 4-й, 5-й, 6-й, 7-й, 8-й шаги процесса"
3,Система,Документы дело/материалы дела,Вывод системы,Проверить наличие нарушений закона/устава,-,Система проверяет наличие нарушений закона или устава в рамках корпоративного спора
4,Система,Документы дело/материалы дела,Вывод системы,Проверить соблюдение процедур,-,"Система проверяет соблюдение процедур при принятии корпоративных решений. Например, созыв и проведение собраний, полномочия органов, порядок голосования, раскрытие информации"
5,Система,Документы дело/материалы дела,Вывод системы,Проверить соблюдение сроков исковой давности,-,Система проверяет соблюдение сроков исковой давности по корпоративному спору
6,Система,Документы дело/материалы дела,Вывод системы,Проверить соблюдение процессуальных сроков обжалования,-,"Система проверяет соблюдение процессуальных сроков обжалования корпоративных решений. Согласно ст.225.9 АПК РФ: Определения арбитражного суда, выносимые при рассмотрении дел по корпоративным спорам, обжалуются по правилам, установленным статьей 188 настоящего Кодекса. Жалобы на такие определения, за исключением определений о прекращении производства по делу и об оставлении заявления без рассмотрения, подаются в арбитражный суд апелляционной инстанции в течение десяти дней со дня их вынесения. Подача жалобы на указанные в части 1 настоящей статьи определения не препятствует рассмотрению дела арбитражным судом и совершению отдельных процессуальных действий по делу."
7,Система,Документы дело/материалы дела,Вывод системы,Проверить наличие ущерба/ущемления прав,-,Система проверяет наличие ущерба или ущемления прав в корпоративном споре в соответствии с правилами.
8,Система,Документы дело/материалы дела,Вывод системы,Проверить значительность нарушения,-,Система проверяет значительность нарушения в корпоративном споре
9,Судья,-,-,Параллельный закрывающий шлюз,-,"Параллельный шлюз, переход к шагу 22. Закрывающий шлюз, объединяющий потоки из 3-го, 4-го, 5-го, 6-го, 7-го, 8-го шага"
10,Система,Документы дело/материалы дела,Создание событие с отчетом о проверках и отметка пользователя,Сформировать отчет о проверках,-,Установить права и обязанности ЛУВД
11,Судья,Уведомление,Вывод пользователя,Проверить выводы системы,-,"Переход к типовому процессу ""Проверить выводы системы"", результатом которого будет занесенные корректные данные в систему для использования в документах."
12,Судья,-,-,Установить причинно-следственную связь,-,Судья устанавливает причинно-следственную связь между нарушениями и последствиями в корпоративном споре
13,Судья,-,-,Требуется взыскание денежных средств за нанесенный ущерб?. Эксклюзивный открывающий шлюз,-,"Судья определяет, требуется ли взыскание денежных средств за нанесенный ущерб. Если да, то переход к шагу 14. Если нет, то переход к шагу 15"
14,Система,Документы дело/материалы дела,Сумма ущерба в системе,Определить сумму ущерба,-,Система фиксирует данные о сумму ущерба подлежащую взысканию в системе на основании документом по судебному делу/материалам для использования данных в документах.
15,Судья, -, -,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 13-го, 14-го шага"
16,Судья,-,Определение о принятии встречного иска к производству,Встречный иск принят к производству?. Эксклюзивный открывающий шлюз,-,"Судья проверяет, принят ли встречный иск к производству. В соответствии с ст.132 АПК лицо до принятия арбитражным судом первой инстанции судебного акта, которым заканчивается рассмотрение дела по существу, вправе предъявить истцу встречный иск для рассмотрения его совместно с первоначальным иском. Да: переход к шагу 17 Нет: переход к шагу 19"
17,Система,Документы дело/материалы дела,Вывод системы,"Проанализировать, встречный иск",-,"Система разрешает вопрос о том, подлежит ли удовлетворению встречный искПолный анализ LLM, включая зачет требований"
18,Система,Документы дело/материалы дела,Вывод системы,Сформировать отчет по встречному иску в СА,-,Система указывает данные на основе решения встречного иска судьей
19,Судья,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 16-го, 18-го шага"
20,Судья,-,-,Установлены основания для удовлетворения требований?. Эксклюзивный открывающий шлюз,-,"Судья определяет, установлены ли основания для удовлетворения требований. Если да, то переход к шагу 21. Если нет, то переход к шагу 23"
21,Система,Документы дело/материалы дела,Вывод системы,Сохранить основания для удовлетворения требований,-,Система устанавливает основания для удовлетворения требований по корпоративному спору
22,Судья,-,-,Суд нашел основания для  удовлетворения требованийЗавершение процесса.,-,Судья устанавливает основания для удовлетворения требований по корпоративному споруЗавершение процесса.
23,Система,Документы дело/материалы дела,Вывод системы,Сохранить основания для отказа в удовлетворении требований,-,Система устанавливает основания для отказа в удовлетворении требований по корпоративному спору
24,Судья,-,-,Суд нашел основания для отказа в удовлетворении требованийЗавершение процесса.,-,Суд нашел основания для отказа в удовлетворении требованийЗавершение процесса.
