№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Помощник судьи/Секретарь судебного заседания суда,Необходимость проверить статус отправленной корреспонденции,—,Возникла необходимость проверить статус отправленной корреспонденции,—,"Помощник судьи/Секретарь судебного заседания суда должен проверить надлежащее уведомления участников процесса. Если суд установит, что лицо надлежаще извещено, но не явилось — дело может быть рассмотрено в его отсутствие. Если уведомление ненадлежащее (направлено не по тому адресу, отсутствуют доказательства вручения) — рассмотрение дела без этого лица является нарушением процессуальных норм и ведёт к отмене судебного акта в апелляции или кассации. Если лицо уклонялось от получения корреспонденции (отказ, неполучение при хранении на почте), оно всё равно считается надлежащим образом извещённым. Контроль надлежащего уведомления позволяет обеспечить участие всех сторон в процессе, снизить риск отмены судебного решения, подтвердить, что суд действовал в соответствии с принципами справедливого правосудия.Автоматическое напоминание о необходимости проверки статусов по календарным срокам"
1,Помощник судьи/Секретарь судебного заседания суда,—,—,Параллельный шлюз,—,Переход к шагам 2-3-10-12-14 процесса
2,Помощник судьи/Секретарь судебного заседания суда,Необходимость проверить статус отправленной корреспонденции,—,ТБП3.Контроль статусов отправленной корреспонденции,—,"Если была направлена корреспонденция, то происходит переход к типовому процессу «Контроль статусов отправленной корреспонденции».Результатом данного процесса станет получение информации о статусе доставки отправленной корреспонденции участникам процесса с проверкой подтверждений получения."
3,Система,Информация о статусе отправления,—,"Статус отправки ""Опубликовано в КАД""?",—,"Система проверяет, имеет ли отправленная корреспонденция в ПК САД значение «Опубликовано в КАД».Если «Да», то переход к шагу 4 процесса.Если «Нет», то переход к шагу 6 процесса."
4,Помощник судьи/Секретарь судебного заседания суда,—,—,Была ошибка публикации? (Эксклюзивный шлюз),—,"При первичной публикации предусмотрено 3 повторных отправки на публикацию, в случае появления ошибки после третьей попытки переходим к шагу 5."
5,Система,"Статус ""Не опубликовано в КАД""",Уведомление пользователю о повторной публикации,Рекомендовать повторную публикацию,"",Система уведомляет пользователя для запуска ручной публикации документа.
6,Помощник судьи/Секретарь судебного заседания суда,Уведомление пользователю о повторной публикации,Запуск повторной публикации в ручном режиме,Запустить повторную публикацию,—,Сотрудник суда запускает публикацию документа через функционал системы.
7,Система,Пакет документов на публикацию,Публикацию документов и отметка в системе об успешности,Запустить публикацию,—,Система запускает процесс публикации документов с получением статусов о публикации и доставки.
8,Система,ID пакета документов,Отчет об ошибке для технической поддержки,Отправить отчет об ошибке,—,Система формирует отчет об первичной/вторичной ошибке публикации документов для исследования причин и устранения первостепенных ошибок.
9,Помощник судьи/Секретарь судебного заседания суда,—,—,Закрывающий шлюз,—,Закрывающий шлюз 4 шага процесса
10,Система,Данные в электронном виде от факса,Заполненные данные о квитанции о приеме факса,Предоставить данные по скану квитанции о приеме факса,—,"Система получает данные от факса и записывает данные в номенклатурное дело, с уведомлением пользователя в случае наступления/приближения процессуального срока или после получения данных по факсу, к делу прикрепляется файл, распознается OCR и записываются данные о статусе уведомления участника"
11,Помощник судьи/Секретарь судебного заседания суда,Уведомление пользователя,Проверенные данные о квитанции о приеме факса,Проверить данные в системе,—,Сотрудник суда проверяет в системе занесенные данные о квитанции о приеме факса с указанием даты приема.
