№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Истец,-,-,Появилась необходимость подать исковое заявление,-,Истец принимает решение о необходимости подачи искового заявления в суд
1,Истец,-,Исковое заявление,ТБП7.Подать документы в суд,-,"Переход к типовому процессу ""Подать документы в суд"""
2,Истец,-,-,Возникла необходимость в обеспечении иска,-,Истец принимает решение о необходимости обеспечения иска
3,Истец,-,-,Переход в процесс рассмотрения обеспечительных мер,-,Истец инициирует переход в процесс рассмотрения обеспечительных мер
4,Истец,-,-,Завершение процесса,-,Завершение подпроцесса обеспечения иска
5,Канцелярия,Исковое заявление,-,Поступило исковое заявление,-,Канцелярия регистрирует поступление искового заявления через электронную форму
6,Канцелярия,Исковое заявление,Зарегистрированное исковое заявление,ТБП53.Принять входящий документ,5 дней,"Переход к типовому процессу ""Принять входящий документ"". При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ"
7,Судья,Зарегистрированное исковое заявление,Определение о принятии/Определение об отказе в принятии/Определение об оставлении без движения/Определение о возвращении,ТБП31.Рассмотреть вопрос о принятии,5 дней,Переход к типовому процессу «Принять входящий документ». При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ
8,Судья,Определение о принятии/Определение об отказе в принятии,-,Какой исход рассмотрения вопроса о принятии?,-,"Если принято в упрощенном производстве, то переход к шагу 9. Если принято в общеисковом порядке, то переход к шагу 15. Если отказ в принятии, то переход к шагу 11"
9,Система,Определение о принятии,-,Принято в порядке упрощенного производства,-,Система автоматически принимает решение о рассмотрении в упрощенном порядке.
10,Судья,-,-,Переход к процессу упрощенного производства,-,Судья инициирует переход к процессу упрощенного производства
11,Система,Определение об отказе в принятии,-,Не принято,-,Система автоматически принимает решение об отказе в принятии искового заявления
12,Судья,Определение об отказе в принятии,-,Ожидать истечения срока обжалования СА,-,Судья ожидает истечения срока обжалования судебного акта об отказе в принятии
13,Канцелярия,Материалы дела,"Материалы дела, переданные в архив",ТБП89.Передать дело в архив,-,"Переход к типовому процессу ""Передать дело в архив"""
14,Судья,-,-,Завершение процесса,-,Завершение процесса рассмотрения искового заявления
15,Система,Определение о принятии,-,Принято в общеисковом порядке,-,Система автоматически принимает решение о рассмотрении в общем исковом порядке
16,Судья,-,-,Переход из упрощенного порядка,-,"подбор времени и места проведения СЗ, электронное извещение ЛУВД, формирование проекта судебного акта о переходе в процессах упрощенного и особого порядка"
