№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Суд,Оценка доказательств завершена,—,После оценки доказательств суд перешел к вынесению решения,—,Суд завершил оценку доказательств и переходит к вынесению решения по вопросу завершения реализации имущества
1,Система,—,Данные о требовании к функции тайна совещательной,Задать судье вопрос о тайне совещательной,—,Система предоставляет возможность включать функцию тайна совещательной.
2,Суд,—,Решение пользователя,Ответить на вопрос о тайне совещательной,—,"Суд принимает решение о наличии включенной функции в деле/номенклатурном деле ""тайна совещательной"""
3,Суд,—,—,Тайна совещательной обеспечена? Эксклюзивный шлюз,—,Эксклюзивный шлюз. Да: переход к шагу 6 Нет: переход к шагу 4
4,Система,"Функция ""тайна совещательной включена""",Ограничение на вынесение СА по данному делу,Закрыть доступ к вынесению СА,—,Система фиксирует дополнительные параметры дела/номенклатурных связанных дел для осуществления закрытия доступа к вынесению СА
5,Суд,—,—,Переход в процесс Провести СЗЗавершение процесса.,—,При невозможности обеспечить тайну совещательной суд переходит к проведению судебного заседания
6,Система,Данные по делу/номенклатурному делу,Данные зафиксированы и сохранены,Сохранить информацию о подтверждении соблюдении тайны,—,Система фиксирует и сохраняет данные
7,Система,Данные по делу/номенклатурному делу,Законы и НПА подлежащие применению,Определить законы и НПА подлежащие применению,—,"Система определяет законы и нормативно-правовые акты, подлежащие применению при рассмотрении вопроса о завершении реализации"
8,Система,Данные по делу/номенклатурному делу,Содержание норм права в официальном толковании,Установить содержание норм права в официальном толковании,—,Система устанавливает содержание норм права в официальном толковании для правильного применения законодательства
9,Система,Данные по делу/номенклатурному делу,Содержание норм права в судебной практике,Установить содержание норм права в судебной практике,—,Система устанавливает содержание норм права в судебной практике для единообразного применения законодательства
10,Система,Данные по делу/номенклатурному делу,Права и обязанности ЛУВД,Установить права и обязанности ЛУВД,—,"Суд арбитражного суда устанавливает права и обязанности лиц, участвующих в деле, на основе норм материального права в соответствии со ст. 41 АПК РФ"
11,Суд,Уведомление,Вывод пользователя,Проверить выводы системы,—,"Переход к типовому процессу ""Проверить выводы системы"". Результатом будет занесение данных в систему согласно рекомендации или частичное занесение или отправка данных в техническую поддержку и ручной ввод данных"
12,Суд,Законы и НПА подлежащие применению,"",ЛУВД ссылались на иные НПА? Эксклюзивный шлюз,—,"Эксклюзивный шлюз. Если нет, то переход к шагу 14. если да: переход к шагу 13"
13,Суд,—,Мотивы неприменения НПА,Указать в СА мотивы неприменения НПА,—,"Суд указывает в номенклатурном деле ""судебном акте"" мотивы неприменения нормативно-правовых актов, на которые ссылались участники процесса"
14,Суд,—,—,Закрывающий эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
15,Суд,—,—,Параллельный шлюз,—,Параллельный открывающий шлюз для шага 16 и 17
16,Суд,—,Отчет АУ,Проверить соответствие выводов АУ в отчете,—,"Суд проверяет соответствие выводов арбитражного управляющего в отчете о проведении процедуры реализации имущества. Согласно ч.1 ст. 139 Федеральный закон от 26.10.2002 N 127-ФЗ: В течение десяти рабочих дней с даты включения в Единый федеральный реестр сведений о банкротстве сведений о результатах инвентаризации имущества должника конкурсный кредитор или уполномоченный орган, если размер требования конкурсного кредитора или размер требования уполномоченного органа превышает два процента общей суммы требований конкурсных кредиторов и уполномоченных органов, включенных в реестр требований кредиторов, вправе направить конкурсному управляющему требование о привлечении оценщика с указанием состава имущества должника, в отношении которого требуется проведение оценки. В течение двух месяцев с даты поступления такого требования конкурсный управляющий обязан обеспечить проведение оценки указанного имущества за счет имущества должника. Сведения об отчете об оценке имущества должника, указанные в абзаце пятом пункта 5.1 статьи 110 настоящего Федерального закона, с приложением копии такого отчета об оценке в форме электронного документа подлежат включению конкурсным управляющим в Единый федеральный реестр сведений о банкротстве в течение двух рабочих дней с даты поступления копии такого отчета об оценке в форме электронного документа. Повторная оценка имущества должника, в отношении которого ранее уже было заявлено требование о проведении оценки в соответствии с настоящим пунктом, проводится в случае, если конкурсные кредиторы или уполномоченные органы примут на себя расходы на ее проведение."
17,Суд,—,—,Установить надлежащее исполнение обязанностей АУ,—,Суд устанавливает надлежащее исполнение арбитражным управляющим своих обязанностей при проведении процедуры реализации имущества
18,Суд,—,—,Параллельный шлюз,—,"Закрывающий шлюз, объединяющий потоки из 16-го, 17-го шага"
19,Суд,—,—,Необходимо продлить реализацию имущества? Эксклюзивный шлюз,—,"Суд решает, необходимо ли продлить процедуру реализации имущества.Да: переход к шагу 20,Нет: переход к шагу 21"
20,Суд,—,—,Переход к основной схеме в зависимости от процедуры банкротстваЗавершение процесса.,—,При необходимости продления реализации имущества суд переходит к основной схеме в зависимости от процедуры банкротства
21,Суд,—,Контроль полноты рассмотрения ходатайств и заявлений,Контроль полноты рассмотрения ходатайств и заявлений,—,"Переход к типовому процессу ""Контроль полноты рассмотрения ходатайств и заявлений"". В результате данного ТП Суд контролирует полноту рассмотрения всех ходатайств и заявлений, поступивших в ходе процедуры реализации имущества"
23,Суд,—,—,Переход к рассмотрению ОС в зависимости от вида ОСЗавершение процесса,—,Завершение процесса. При наличии нерассмотренных отложенных судебных заседаний суд переходит к их рассмотрению в зависимости от вида
24,Суд,—,—,Завершение процедуры реализации имущества должника создает препятствия для осуществления ЛУВД своих прав? Эксклюзивный шлюз,—,"Суд проверяет, создает ли завершение процедуры реализации имущества препятствия для осуществления прав лиц, участвующих в деле. Да: переход к шагу 25, Нет: переход к шагу 26. "
25,Суд,—,—,Переход к основной схеме в зависимости от процедуры банкротства,—,Переход к основной схеме в зависимости от процедуры банкротства
26,Суд,—,Отметка в системе,Разрешить подлежит ли дело завершению,—,"Суд разрешает вопрос о том, подлежит ли дело завершению в связи с завершением процедуры реализации имущества  и делает соответствующую отметку в системе "
27,Система,Данные о идентифицирующих реквизитах,Необходимые идентифицирующие реквизиты,Указать в СА необходимые идентифицирующие реквизиты,—,Система указывает в судебном акте необходимые идентифицирующие реквизиты для завершения процедуры
