№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,"Поручитель (Арбитражный суд, суд общей юрисдикции, мировой судья)",Необходимость направления поручения,—,Появляется необходимость направить поручение,—,"Судья-Поручитель (Арбитражный суд, суд общей юрисдикции, мировой судья) изучает материалы дела и убеждается, что доказательство или действие лежит вне пределов его территориальной подсудности. Фиксирует это в служебной записке, что запускает подготовку определения о судебном поручении. Согласно ст. 73 Арбитражный суд, рассматривающий дело, в случае невозможности получения доказательств, находящихся на территории другого субъекта Российской Федерации, в порядке, предусмотренном статьей 66 АПК РФ, вправе поручить соответствующему арбитражному суду произвести определенные процессуальные действия"
1,"Поручитель (Арбитражный суд, суд общей юрисдикции, мировой судья)","","",Суд подключен к ЕПЦП?Эксклюзивный шлюз,"",Суд подключен к ЕПЦП?Да: переход к шагу 3Нет: переход к шагу 2
2,"Поручитель (Арбитражный суд, суд общей юрисдикции, мировой судья)",Судебное поручение,—,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Результатом данного ТП станет направление судебного поручения с соблюдением требований к форме и содержанию документов"
3,Система,"","",Связать судебное поручение с новым делом,"",Система связывает судебное поручение с новым делом
4,Система,"","",Завершение процесса,"",Завершение процесса
5,"Поручитель (Арбитражный суд, суд общей юрисдикции, мировой судья)","","",Документы поданы,"",Документы поданы
6,Третейский суд с местом арбитража на территории РФ,"",—,Возникла необходимость в получении доказательств,—,Третейский суд принимает решение о необходимости получения доказательств через суд-исполнитель
7,Судья,"","",Суд подключен к ЕПЦП?Эксклюзивный шлюз,"",Суд подключен к ЕПЦП?Да: переход к шагу 9Нет: переход к шагу 8
8,Третейский суд с местом арбитража на территории РФ,Запрос третейского суда о содействии в получении доказательств,—,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Результатом данного ТП станет направление судебного поручения с соблюдением требований к форме и содержанию документов"
9,Система,"","",Связать судебное поручение с новым делом,"",Система связывает судебное поручение с новым делом
