№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,—,—,Необходимо осуществить контроль срока отсрочки/рассрочки уплаты госпошлины,—,"Судья инициирует процесс контроля соблюдения установленных сроков уплаты государственной пошлины при отсрочке/рассрочке уплаты госпошлины.Данный процесс необходим для определения дальнейшего хода дела. Если госпошлина, с учетом предоставленной лицу отсрочки/рассрочки, не была уплачена лицом в срок, суд рассматривает вопрос о прекращении производства по делу.Отсрочка или рассрочка предоставляется при наличии оснований, предусмотренных НК РФ, на срок, для отсрочек не превышающий одного года либо для рассрочек не превышающий трех лет, соответственно с единовременной или поэтапной уплатой суммы госпошлины.Отсрочка или рассрочка предоставляется при наличии оснований, предусмотренных настоящей статьей, на срок, для отсрочек не превышающий одного года либо для рассрочек не превышающий трех лет, соответственно с единовременной или поэтапной уплатой суммы задолженностиСрок, на который предоставляется отсрочка или рассрочка, исчисляется:- с даты принятия уполномоченным органом решения о предоставлении отсрочки или рассрочки - в отношении задолженности;- с установленного срока уплаты соответствующего налога, сбора, страхового взноса - в отношении налогов, сборов, страховых взносов, срок уплаты которых не наступил на день принятия уполномоченным органом решения."
1,Судья,—,—,Ожидание срока оплаты госпошлины,—,Судья ожидает наступления срока оплаты государственной пошлины согласно предоставленной отсрочке или рассрочке.Автоматическое отслеживание сроков с использованием календарных уведомлений
2,Система арбитражного суда,—,—,Контролировать срок оплаты ГП,—,Система контролирует срок оплаты ГП и уведомляет пользователя
3,Система арбитражного суда,—,—,Уведомить пользователя,—,Система уведомляет о окончании срока оплаты ГП
4,Судья,—,—,Ознакомиться с сообщением,—,Ознакомление с информацией по контролю оплаты или частичной оплаты ГП
5,Судья,—,—,Поступил документ об оплате госпошлины? Эксклюзивный шлюз,—,Автоматическое сканирование входящих документов и сопоставление с реестром ожидаемых платежей. Эксклюзивный шлюз
6,Судья,—,Определение о прекращении производства по делу,ТБП109.Рассмотреть вопрос о прекращении производства по делу,—,Переход к типовому процессу «Рассмотреть вопрос о прекращении».Неуплата государственной пошлины в установленный срок является основанием для прекращения производства по делу.В рамках данного процесса судья рассматривает вопрос о прекращении производства с последующим вынесением судебного акта в зависимости от принятого решения.Автоматическая подготовка проекта определения с использованием шаблонов документов
7,Судья,—,—,Завершение процесса,—,Завершение процесса
8,Судья,Документ об оплате государственной пошлины (Платежный документ),Результат проверки оплаты,ТБП26.Проверить уплату госпошлины,—,"Переход к типовому процессу «Проверить уплату госпошлины».В рамках данного процесса судья проверяет платежный документ об уплате госпошлины на предмет подлинности и соответствию требованиям НК РФ в части уплаченного размера госпошлины (уплачена ли в полном объеме).OCR-распознавание реквизитов платежных документов, автоматическая сверка с базой данных платежей. Автоматическое занесение данных о ГП в дело, автоматические сверки оплат по графикуСистема автоматически создаёт напоминания и задачи:1.Если срок платежа наступил, проверить оплату;2.Если срок истёк, а оплата не поступила → сформировать уведомление/инициировать взыскание.3. ГП оплачена не полностью4. Предложить оплатить"
9,Судья,Документ об оплате государственной пошлины (Платежный документ),—,Госпошлина оплачена? Эксклюзивный шлюз,—,Госпошлина оплачена? Эксклюзивный шлюз
10,Судья,—,—,После установленного срока госпошлина оплачена? Эксклюзивный шлюз,—,После установленного срока госпошлина оплачена? Эксклюзивный шлюз
11,Система арбитражного суда,—,—,Уведомить пользователя ГП оплачена,—,Система уведомляет пользователя об оплате ГП. Автоматический расчет сроков и уведомление пользователю для контроляАвтоматическое поступление данных о платеже
12,Судья,—,Информация о статусе дела,Проверить статус дела,—,Судья осуществляет проверку статуса дела (активное/прекращено) в ИС суда.Необходимо для решения о необходимости возврата документов заявителю.Автоматическая проверка статуса дела в информационной системе суда
13,Судья,Информация о статусе дела,—,Дело было прекращено? Эксклюзивный шлюз,—,Автоматический анализ процессуального статуса дела в информационной системе. Эксклюзивный шлюз
14,Система арбитражного суда,—,—,Закрывающий шлюз для шага 9,—,Закрывающий шлюз для шага 9
15,Судья,Документ об оплате государственной пошлины (Платежный документ),—,Завершение процесса. Госпошлина оплачена,—,Завершение процесса. Госпошлина оплачена
16,Судья,—,Определение о возвращении документов,ТБП15.Рассмотреть вопрос о возвращении документа,—,"Переход к типовому процессу «Рассмотреть вопрос о возвращении».Результатом данного типового процесса является рассмотрение судьей вопроса о возвращении документов, относящимся непосредственно к госпошлине, лицу в связи с фактом прекращения производства по делу.Применительно к документам об уплате ГП. Автоматическая подготовка проекта определения о возвращении государственной пошлины"
17,Судья,—,—,Завершение процесса,—,Завершение процесса
18,Судья,Документ об оплате государственной пошлины (Платежный документ),—,Получен документ об оплате ГП досрочно,—,"Лицо направило документ об уплате госпошлины раньше установленного судом срока.Если подтвердится его подлинность и факт уплаты госпошлины в полном объеме — произойдет завершение ТП, так как осуществлять мониторинг оплаты ГП в связи с отсрочкой/рассрочкой ненужно.Автоматическое обнаружение и обработка досрочных платежей. "
19,Судья,Документ об оплате государственной пошлины (Платежный документ),Результат проверки оплаты,ТБП26.Проверить уплату госпошлины,—,"Переход к типовому процессу «Проверить уплату госпошлины».В рамках данного процесса судья проверяет платежный документ об уплате госпошлины на предмет подлинности и соответствию требованиям НК РФ в части уплаченного размера госпошлины (уплачена ли в полном объеме).OCR-распознавание реквизитов платежных документов, автоматическая сверка с базой данных платежей. Автоматическое занесение данных о ГП в дело, автоматические сверки оплат по графикуСистема автоматически создаёт напоминания и задачи:1.Если срок платежа наступил, проверить оплату;2.Если срок истёк, а оплата не поступила → сформировать уведомление/инициировать взыскание."
20,Судья,Документ об оплате государственной пошлины (Платежный документ),—,Госпошлина оплачена? Эксклюзивный шлюз,—,Госпошлина оплачена? Эксклюзивный шлюз
21,Судья,—,—,Завершение процесса,—,Завершение процесса
22,Судья,—,—,Переход к шагу 1,—,Переход к шагу 1 — ожиданию наступления срока уплаты ГП.
