№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Сотрудник суда (ответственный за контроль полноты рассмотрения ходатайств и заявлений),—,—,Появилась необходимость проконтролировать полноту рассмотрения ходатайств и заявлений,—,"У сотрудника суда, ответственного за контроль полноты рассмотрения ходатайств и заявлений, возникает необходимость осуществить контроль полноты рассмотрения ходатайств и заявлений."
1,Система арбитражного суда,Поступившие ходатайства и заявления,Перечень/реестр поступивших ходатайств и заявлений,Контроль всех поступающих и ходатайств и заявлений,—,Система контролирует статусы всех ходатайств для проверки и учета
2,Сотрудник суда (ответственный за контроль полноты рассмотрения ходатайств и заявлений),—,—,Заявление/ходатайство рассматривается в СЗ? Эксклюзивный шлюз.,—,Заявление/ходатайство рассматривается в СЗ?В интерфейсе контроля предусмотреть отметки «да/нет» для каждого элемента. Эксклюзивный шлюз.
3,Система арбитражного суда,Перечень/реестр поступивших ходатайств и заявленийПротокол СЗ,—,"Анализ ходатайств/заявлений, по которым проведены СЗ",—,"Система(LLA) проводит анализ всех ходатайств, по которым было рассмотрение в СЗ, на предмет полноты и достаточности рассмотрения.Автогенерация сводки анализа по выбранным позициям"
4,Сотрудник суда (ответственный за контроль полноты рассмотрения ходатайств и заявлений),—,—,Закрывающий шлюз для шага 2,—,Закрывающий шлюз для шага 2
5,Система арбитражного суда,"Перечень ходатайств/заявленийСудебные акты, вынесенные в рамках дела",—,Проверить вынесение СА по всем ходатайствам и заявлениям,—,Система проверяет наличие вынесенного судебного акта по вопросу каждого ходатайства.Шаблон сводного отчета проверки (по каждому элементу перечня)
6,Система арбитражного суда,Данные по вынесенным СА,Отчет по данным по вынесенным СА,Предоставить отчет по проанализированным данным,—,Система предоставляет отчет по проанализированным данным пользователю и направляет уведомление
7,Сотрудник суда (ответственный за контроль полноты рассмотрения ходатайств и заявлений),—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
8,Сотрудник суда (ответственный за контроль полноты рассмотрения ходатайств и заявлений),—,—,Найдены нерассмотренные ходатайства?Эксклюзивный шлюз.,—,Найдены нерассмотренные ходатайства?Отдельная колонка «Нерассмотренные» в сводной таблице контроляЭксклюзивный шлюз.
9,Сотрудник суда (ответственный за контроль полноты рассмотрения ходатайств и заявлений),—,—,Завершение процесса. Контроль пройден,—,"Завершение процесса. Контроль пройден, все ходатайства рассмотрены и учтены.Автосохранение итоговой отметки в карточку контроля"
10,Сотрудник суда (ответственный за контроль полноты рассмотрения ходатайств и заявлений),—,—,Завершение процесса. Контроль не пройден,—,"Завершение процесса. Контроль не пройден, есть неучтенные и не рассмотренные ходатайства.Формирование списка «к исправлению» для последующей работы. В зависимости от процесса, если контроль не пройден, то происходит замена судьи на нерассмотренные ходатайства или возвращение дела судье на рассмотрение и т.д."
