№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,-,-,Возникла необходимость принять СА единоличноСтартовое событие,-,"Судья инициирует процесс принятия судебного акта.Дела в первой инстанции арбитражного суда рассматриваются судьей единолично, если коллегиальное рассмотрение дела не предусмотрено статьей 17 АПК РФ. В рамках данного процесса принятие решения осуществляется одним судьей."
1,Судья,-,-,СА выносится в виде протокольного определения?Эксклюзивный шлюз,-,"Определение выносится арбитражным судом в виде отдельного судебного акта или протокольного определения (ч. 2 ст. 184 АПК РФ). Протокольное определение может быть вынесено арбитражным судом без удаления из зала судебного заседания, оно объявляется устно и заносится в протокол судебного заседания (ст. 184 АПК РФ).Судья принимает решение о том, вынести отдельный СА или протокольное определение.Если да (протокольное определение), то переход к шагу 2.Если нет, то переход к шагу 6"
2,Судья,-,Протокольное определение,Принять решение на месте,-,"Судья принимает решение (протокольное определение) по делу на месте, непосредственно находясь в процессе проведения судебного заседания, без удаления в совещательную комнату.В протокольном определении должны быть указаны вопрос, по которому выносится определение, мотивы, по которым суд пришел к своим выводам, и вывод по результатам рассмотрения вопроса. (ст. 185 АПК РФ)"
3,Судья,-,-,Объявить определение устно,-,Судья объявляет определение в СЗ.
4,Секретарь СЗ,Протокольное определение,-,Занести в протокол СЗ,-,Секретарь СЗ заносит определение в протокол согласно ст. 184 АПК РФ в систему
5,Секретарь СЗ,-,-,СА вынесен в виде протокольного определенияЗавершение процесса.,-,Завершение процесса. СА вынесен в виде протокольного определения
6,Судья,данные по судебному/номенклатурному делу,Проект СА,Сформировать проект СА,-,"Переход к типовому процессу ""Сформировать проект СА"". Определение арбитражного суда в виде отдельного судебного акта выполняется в форме электронного документа. При отсутствии в арбитражном суде технической возможности для выполнения определения в форме электронного документа определение выполняется на бумажном носителе. При выполнении определения в форме электронного документа дополнительно выполняется экземпляр данного определения на бумажном носителе (ч. 2 ст. 184 АПК РФ) Определение в виде отдельного судебного акта арбитражный суд выносит в условиях, обеспечивающих тайну совещания судей, по правилам, установленным для принятия решения (ч. 4 ст. 184 АПК РФ). Судьи/Арбитражные заседатели формируют проект СА - определения в электронном виде с указанием всех необходимых сведений по делу."
7,Судья,Действие пользователя,Созданное номенклатурное дело и формирование проекта по шаблону,"Запустить функцию ""Принять СА""",-,Автоматическое формирование проекта СА с использованием шаблонов и формирование номенклатурной сущности.
8,Судья,-,Проект СА,Сформировать проект СА,-,"Переход к типовому процессу ""Сформировать проект СА""Определение арбитражного суда в виде отдельного судебного акта выполняется в форме электронного документа. При отсутствии в арбитражном суде технической возможности для выполнения определения в форме электронного документа определение выполняется на бумажном носителе.При выполнении определения в форме электронного документа дополнительно выполняется экземпляр данного определения на бумажном носителе (ч. 2 ст. 184 АПК РФ)Определение в виде отдельного судебного акта арбитражный суд выносит в условиях, обеспечивающих тайну совещания судей, по правилам, установленным для принятия решения (ч. 4 ст. 184 АПК РФ).Судья/помощник судьи подготавливает проект судебного акта — определения в электронном виде с указанием всех необходимых сведений по делу."
9,Система,-,Уведомление,Уведомить пользователя,-,Система создает уведомление о созданной сущности и шаблоне СА
10,Судья,Уведомление,Вывод пользователя ,Проверить выводы системы,-,"Переход к типовому процессу ""проверить выводы системы"""
11,Судья,-,-,Необходимо внести дополнительную информацию в шаблон СА?Эксклюзивный шлюз,-,Необходимо внести дополнительную информацию в шаблон СА?Эксклюзивный шлюзДа: переход к шагу 12 Нет: переход к шагу 13
12,Судья,Данные для внесения,Измененный СА, Внести дополнительную информацию,-,Судья вносит необходимые изменения и корректировки в проект СА в системе
13,Судья,-,-,Эксклюзивный закрывающий шлюз.,-,Эксклюзивный закрывающий шлюз.
14,Судья,-,-,Подписать УКЭП,-,Судья подписывает определение УКЭП в системе
15,Система,Подписанный документ и статус номенклатурного дела,Сохраненные данные в системе,Сохранить в деле,-,Система сохраняет данные
16,Судья,-,-,Вернуться из совещательной комнаты,-,"Определение в виде отдельного судебного акта арбитражный суд выносит в условиях, обеспечивающих тайну совещания судей (ч. 4 ст. 184 АПК РФ). Следовательно, судья принимал СА в совещательной комнате.Судья возвращается в зал СЗ из совещательной комнаты для оглашения решения."
17,Судья,-,-,Огласить СА,-,"Решение арбитражного суда объявляется председательствующим в том судебном заседании, в котором закончено рассмотрение дела по существу, после принятия решения арбитражного суда (ч. 1 ст. 176 АПК РФ)Судья оглашает принятое решение (судебный акт) в зале СЗ"
18,Судья,-,-,Разъяснить сторонам положения закона,-,"Судья разъясняет сторонам положения закона, которыми он руководствовался при принятии решения."
19,Судья,-,-,"Убедиться, что сторонам ясны положения закона и решение",-,"Судья спрашивает у сторон, ясны ли им оглашенные положения закона и решение по делу."
20,Судья,-,-,Закрыть СЗ,-,Судья/помощник судьи/секретарь СЗ объявляет рассмотрение дела оконченным и закрывает СЗ в системе
21,Судья,-,-,Параллельный открывающий шлюз,-,Параллельный открывающий шлюз
22,Секретарь СЗ,"","",Занести в протокол СЗ оглашение,-,"Система автоматически пишет протокол, распознавая речь, секретарь контролирует и валидирует процесс"
23,Секретарь СЗ,-,-,"СА был изготовлен, оглашение было занесено в протокол СЗ.Завершение процесса",-,"СА был изготовлен, оглашение было занесено в протокол СЗ.Завершение процесса"
24,Судья,-,-,Был изготовлен СА в полном объеме?Эксклюзивный открывающий шлюз,-,"В судебном заседании, в котором закончено рассмотрение дела по существу, может быть объявлена только резолютивная часть принятого решения. В этом случае арбитражный суд объявляет, когда будет изготовлено решение в полном объеме и разъясняет порядок доведения его до сведения лиц, участвующих в деле. (ч. 2 ст. 176 АПК РФ).Судья оценивает, необходимо ли составить мотивированный СА, или он был составлен сразу в полном объемеЭксклюзивный шлюз. Да: переход к шагу 25 Нет: переход к шагу 26"
25,Судья,"","",СА изготовлен в полном объеме?Завершающее событие,"",""
26,Судья,-,Мотивированный СА,Сформировать проект СА,10 дней,"Переход к типовому процессу ""Сформировать проект СА"".В рамках процесса помощник судьи/судья подготавливает проект СА, составленный в полном объеме, то есть мотивированное решение, содержащее в себе в том числе мотивы, по которым арбитражный суд пришел к своим выводам, принял или отклонил доводы лиц, участвующих в деле, со ссылкой на законы и иные нормативные правовые акты.Изготовление решения в полном объеме может быть отложено на срок, не превышающий десяти дней. (ст. 176 АПК РФ)"
27,Судья,Мотивированный СА,-,Проверить проект мотивированного СА,-,Судья перепроверяет проект мотивированного СА
28,Судья,Мотивированный СА,- ,Требуется внести изменения в проект мотивированного СА?Эксклюзивный шлюз.,-,"Судья решает вопрос о необходимости внесения изменений в проект мотивированного СА по итогам проверки.Если да, то переход к шагу 28. Если нет, то переход к шагу 29"
29,Судья,Мотивированный СА,Изменения СА,Внести изменения в проект мотивированного СА,"",Судья вносит изменения и корректировки в проект мотивированного СА
30,Судья,-,-,Эксклюзивный закрывающий шлюз.,-,Эксклюзивный закрывающий шлюз.
31,Судья,-,Подписанный УКЭП СА и открепленная УКЭП,Подписать УКЭП,-,Судья подписывает СА УКЭП в системе
32,Система,Данные после подписания,Открепленная УКЭП и документ в PDF формате,Сохранить в деле,-, Система сохраняет данные 
33,Судья,-,-,Изготовлена полная версия СА.Завершение процесса,"",Изготовлена полная версия СА. Завершение процесса
