№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,—,—,У суда возникла необходимость решить вопрос о возврате ГП,—,"Судья инициирует процесс возврата государственной пошлины.Уплаченная государственная пошлина подлежит возврату частично или полностью в случае:1) уплаты государственной пошлины в большем размере, чем это предусмотрено НК РФ;2) возвращения заявления, жалобы или иного обращения или отказа в их принятии судами либо отказа в совершении нотариальных действий уполномоченными на то органами и (или) должностными лицами;3) прекращения производства по делу или оставления заявления без рассмотрения судом;4) отказа лиц, уплативших государственную пошлину, от совершения юридически значимого действия до обращения в уполномоченный орган (к должностному лицу), совершающий (совершающему) данное юридически значимое действие;5) возвращения заявления о совершении юридически значимого действия и (или) документов без их рассмотрения уполномоченным органом (должностным лицом), совершающим данное юридически значимое действие.6) Иные обстоятельства, указанные в ст. 333.40 НК РФ.Данные обстоятельства не применяются для возврата государственной пошлины, в отношении уплаты которой арбитражным судом выдан исполнительный документ."
1,Система,Поступившие документы ,Вывод системы,Определить факты требования,—,"LLM - Система читает поступивший документ, проверяет его на соответствие с правилами оснований для возврата, либо освобождения или частичного освобождения"
2,Система,Поступившие документы ,Вывод системы,Проверить наличие платежных документов в деле,—,"Система ищет документы связанные с уплатой госпошлины, и сверяет сумму платежного документа с суммой ГП по делу, и создает рекомендацию"
3,Судья,—,—,Система нашла платежные документы?Эксклюзивный шлюз,—,"Если «Да» - переход к шагу 4, если «Нет» - переход к шагу 5."
4,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
5,Судья,Поступившие документы ,Вывод пользователя,Проверить наличие платежных документов в деле,—,Судья ищет документы об оплате в случае если система их не нашла.
6,Судья,—,—,Пользователь нашел платежные документы?Эксклюзивный шлюз,—,"Если «Да» - переход к шагу 7, если «Нет» - переход к шагу 8."
7,Судья,Найденный документ,—,Отметить документ в системе как платежный ГП,—,Судья отмечает документ в системе как платежный документ по госпошлине.
8,Судья,Основания для возврата,Определение о полном или частичном возврате госпошлины,ТБП80.Принять СА,—,"Переход к типовому процессу «Принять СА».Результатом данного процесса является принятое и подписанное судьей определение о полном или частичном возврате.В определении должны быть указаны основания для возврата и сумма, подлежащая возврату. Система формирования проекта определения о возврате госпошлины"
9,Судья,—,—,Переход к шагу 20. Направить документ,—,"Переход к типовому процессу ""Направить документ"""
10,Система,Платежный документ,Отчет/рекомендация,Создать отчет из документов по уплате ГП,—,"Уведомляет пользователя, создает задачу на проверку и рассмотрения данного ходатайства"
11,Система,Платежный документ,Отчет/рекомендация,Проверить на дубли,—,"Проверка уникальности платежного документа в ИС, при нахождении добавление данных в отчет"
12,Система,Новые данные,Сохраненный отчет,Обновить и сохранить отчет,—,"Добавление данных о дублях если нет уведомление пользователя, если есть уведомление пользователя"
13,Судья,Сохраненный отчет,Выводы пользователя,ТБП139.Проверить выводы системы,—,"Переход к типовому процессу ""Проверить выводы системы"" процесс учитывает ввод пользователем верных данных, и создание отчета об ошибке для передачи в техническую поддержку."
14,Судья,—,—,В отчете есть дубли платежей?Эксклюзивный шлюз,—,"Если «Да» - переход к шагу 15, если «Нет» - переход к шагу 32."
15,Судья,Расчет суммы возврата,Решение о необходимости вынесения отдельного судебного акта,Необходимо вынести отдельный СА?Эксклюзивный шлюз,—,"Судья принимает решение о необходимости вынесения отдельного судебного акта о возврате государственной пошлины, либо о необходимости указания на возврат госпошлины в другом СА (например, определение об отказе в принятии заявления и т.д.)Если «Да» - переход к шагу 16, если «Нет» - переход к шагу 17."
16,Судья,Основания для возврата,Определение о полном или частичном возврате госпошлины,ТБП80.Принять СА,—,"Переход к типовому процессу «Принять СА».Результатом данного процесса является принятое и подписанное судьей определение о полном или частичном возврате.В определении должны быть указаны основания для возврата и сумма, подлежащая возврату. Система формирования проекта определения о возврате госпошлины"
17,Судья,Дубли платежей обнаружены,Переход к шагу сохранения данных,Выбрать опцию использования данных,—,Судья сохраняет отчет 
18,Система,Данные отчета,Сохранения для использования в СА,Сохранить данные об основании отказа,—,Система выделяет данные из отчета для сохранения в системе и использования информации в шаблонах документов.
19,Судья,—,—,На отсутствие оснований для возврата будет указано в ином САЗавершение процесса.,—,Основания для возврата государственной пошлины будут указаны в другом СА по делу. Завершение процесса.
20,Канцелярия,—,Определение об отказе в возврате государственной пошлины.,ТБП46.Направить документ,—,Переход к типовому процессу «Направить документ».В рамках данного процесса канцелярия направляет лицу определение об отказе в возврате государственной пошлины. Автоматическое формирование реестра для направления и отправка через электронные каналы связи
21,Канцелярия,Документы для оправки,Документы отправлены,СА отправлен.Завершение процесса,—,СА отправлен заявителю.Завершение процесса
22,Истец/Заявитель,Определение суда,—,Получено определение,—,Истец или заявитель получает определение суда по вопросу возврата госпошлины.Система автоматического уведомления о поступлении определения
23,Истец/Заявитель,—,—,Получено электронно?Эксклюзивный шлюз,—,"Если да переход к шагу 24 процесса, если нет 27 шаг процесса"
24,Система,Входящие документы,Уведомление пользователя,Уведомить пользователя о поступлении,—,Система уведомляет пользователя при  поступлении новых документов и записывает дату и время получения.
25,Истец/Заявитель,Определение суда,—,Ознакомиться,—,Истец или заявитель изучает содержание полученного определения суда.
26,Система,Дата и время прочтения,Отправка данных в систему арбитражного суда,Отправить данные о прочтении,—,Система отправляет данные о дате и времени доставки и прочтения в систему арбитражного суда.
27,Истец/Заявитель,Определение суда,—,Ознакомиться,—,Истец или заявитель изучает содержание полученного определения суда.
28,Истец/Заявитель,—,—,Эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
29,Истец/Заявитель,Определение суда,—,Есть основания для обжалования?Эксклюзивный шлюз,—,"Истец или заявитель принимает решение о наличии оснований для обжалования определения суда.Если «Да» - переход к шагу 30, если «Нет» - переход к шагу 31."
30,Истец/Заявитель,—,—,Переход к процессу апелляционного обжалования,—,Истец или заявитель инициирует процедуру апелляционного обжалования определения суда
31,Истец/Заявитель,—,—,Завершение процесса.,—,Завершение процесса. Лицо ознакомлено с определением.
32,Судья,—,—,Необходимо вынести отдельный СА?Эксклюзивный шлюз,—,"Судья принимает решение о необходимости вынесения отдельного судебного акта о возврате государственной пошлины, либо о необходимости указания на возврат госпошлины в другом СА (например, определение об отказе в принятии заявления и т.д.)Если «Да» - переход к шагу 33, если «Нет» - переход к шагу 34."
33,Судья,—,—,ТБП80.Принять СА,—,"Переход к типовому процессу «Принять СА».Результатом данного процесса является принятое и подписанное судьей определение о полном или частичном возврате.В определении должны быть указаны основания для возврата и сумма, подлежащая возврату. Система формирования проекта Определение о полном или частичном возврате госпошлины"
34,Судья,Указание данных для сохранения в системе ,Выделение данных из отчета для переиспользования,Выбрать опцию использования данных,—,Судья сохраняет часть данных для использования в ином СА
35,Система,Данные в системе,Сохранения для использования в СА,Сохранить данные об основании отказа,—,Система выделяет данные из отчета для сохранения в системе и использования информации в шаблонах документов.
36,Судья,—,решение пользователя,Основания для возврата будут указаны в ином СА.Завершение процесса,—,Судья принял решение что основания о возврате будут указаны в ином СА
37,Канцелярия,—,Определение об отказе в возврате государственной пошлины.,ТБП46.Направить документ,—,Переход к типовому процессу «Направить документ».В рамках данного процесса канцелярия направляет лицу Определение о полном или частичном возврате государственной пошлины. Автоматическое формирование реестра для направления и отправка через электронные каналы связи
38,Канцелярия,—,—,СА отправлен.Завершение процесса,—,СА отправлен заявителю.Завершение процесса.
