№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Отдел делопроизводства,—,—,Получено внепроцессуальное обращение/запрос,—,"Отдел делопроизводства получает обращение и фиксирует его поступление. Согласно ч.1.3 ст.1 Приказа ВАС РФ от 30.06.2011 N 68: Обращение, поступившее в арбитражный суд в соответствии с его компетенцией, подлежит обязательному рассмотрению. Организация работы по своевременному рассмотрению обращений на действия судей и работников аппаратов арбитражных судов, а также обращений, связанных с организацией деятельности судов, возлагается на председателей арбитражных судов. Председатель суда несет персональную ответственность за своевременную организацию рассмотрения обращений и принятие по ним соответствующих мер."
1,Система,—,—,Создать сущность обращение,—,"Система создает сущность для внепроцессуального обращения/запроса если электронный вид, если бумажный созданием занимается сотрудник."
2,Система,—,—,Определить исполнителя согласно загрузки,—,Система запускает алгоритм проверки загрузки ответственных для распределения или назначается группа пользователей
3,Система,—,—,Создать задачу на исполнителя,—,Система создает задачу и назначает или ответственного согласно нагрузке или группу ответственных без определения ответственного.
4,Система,—,—,Сформировать рекомендацию,—,"Система читает данные поступившего(Выполняется первичная проверка состава и соответствия документа предъявляемым требованиям) документа и создает событие с данными о типе документа и адресата.Заполняет данными сущность для ведения данного типа документа, и отмечает в событии назначенного пользователя в задаче или группу."
5,Отдел делопроизводства,—,—,ТБП139.Проверить выводы системы,—,Пользователь проверяет данные которые занесены в сущность и в событие.
6,Отдел делопроизводства,—,—,"Поздравительные письма, открытки и иные не регистрируемые документы?. Эксклюзивный открывающий шлюз",—,"Определяется тип документа, который поступил в отдел делопроизводства. Определяется, является ли полученный документ поздравительным письмом, открыткой или иным не регистрируемым документом Если да, то переход к шагу 7. Если нет, то переход к шагу 10"
7,Отдел делопроизводства,—,—,Передать адресату,—,"Передаются нерегистрируемые документы адресату (как правило, председателю суда)"
8,Система,—,—,Уведомить пользователя,—,Направляется уведомление задача/письмо/событие с отметкой пользователя.
9,Отдел делопроизводства,—,—,Изменить статус сущности,—,"Пользователь после ознакомления изменяет статус сущности, чем завершает процесс ознакомления."
10,Отдел делопроизводства,—,—,Нерегистрируемый внепроцессуальный документ передан адресату.,—,Завершение процесса. Нерегистрируемый внепроцессуальный документ передан адресату.
11,Отдел делопроизводства,—,—,Проверить фактический состав вложений,—,Отдел делопроизводства проверяется наличие всех перечисленных в обращении вложений
12,Отдел делопроизводства,—,—,Документы поданы в электронном виде? Эксклюзивный открывающий шлюз,—,"Документы поданы в электронном виде? Если да, то переход к шагу 22. Если нет, то переход к шагу 13"
13,Отдел делопроизводства,—,—,Оцифровать документы,-,Пользователь сканирует документы для вложения в созданную сущность.
14,Система,—,—,Присвоить регистрационный номер,—,"Система присваивает регистрационный номер бумажному обращению. Согласно ч.1.4 ст. 1 Приказа ВАС РФ от 30.06.2011 N 68: Регистрация и делопроизводство по обращениям ведутся согласно правилам, установленным Федеральным законом ""О порядке рассмотрения обращений граждан Российской Федерации"", Регламентом арбитражных судов Российской Федерации, соответствующими разделами Инструкции по делопроизводству в Высшем Арбитражном Суде Российской Федерации и Инструкции по делопроизводству в арбитражных судах Российской Федерации. Обращение подлежит обязательной регистрации в трехдневный срок с момента поступления в суд в базе данных используемого программного комплекса (в журнале регистрации). После рассмотрения обращения приложенные к нему подлинники документов в обязательном порядке возвращаются заявителям. Копии приложенных к обращению документов возвращаются заявителям по усмотрению руководства суда либо по запросу заявителя. Рассмотренные обращения с копиями ответов подшиваются в дело согласно утвержденной в арбитражном суде номенклатуре дел. Сроки их хранения устанавливаются в соответствии с Перечнем типовых управленческих архивных документов, образующихся в процессе деятельности государственных органов, органов местного самоуправления и организаций, с указанием сроков хранения, утвержденным приказом Министерства культуры Российской Федерации от 25 августа 2010 года N 558."
15,Система,—,—,Проставить регистрационные данные,—,Система проставляет регистрационные данные в сущности.
16,Отдел делопроизводства,—,—,Есть отсутствующие документы? Эксклюзивный открывающий шлюз,—,"Есть отсутствующие документы? Если да, то переход к шагу 17. Если нет, то переход к шагу 20"
17,Отдел делопроизводства,—,—,Сформировать акт об отсутствии документов,—,Пользователь формирует акт об отсутствии документов из сущности и получает связанные документы в системе. В акте используются данные для заполнения.
18,Отдел делопроизводства,—,—,Направить акт об отсутствии документов,—,"Акт направляется адресату обращения, функционал доступен из сущности если документ поступил в электронном виде, если на бумажно носителе, то в системе фиксируется что ответ отправлен и переход к ручной отправке данных."
19,Отдел делопроизводства,—,—,Параллельный открывающий шлюз,—,"Параллельный шлюз, разветвляет поток на уведомление заявителя 21-й шаг и возврат к дальнейшей обработке 20-й шаг процесса"
20,Отдел делопроизводства,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 16-го, 19-го шага"
21,Отдел делопроизводства,—,—,Направлен акт об отсутствии документов,—,Направлен акт об отсутствии документов
22,Система,—,—,Присвоить регистрационный номер,—,"Система присваивает регистрационный номер электронному обращению. Согласно ч.1.4 ст. 1 Приказа ВАС РФ от 30.06.2011 N 68: Регистрация и делопроизводство по обращениям ведутся согласно правилам, установленным Федеральным законом ""О порядке рассмотрения обращений граждан Российской Федерации"", Регламентом арбитражных судов Российской Федерации, соответствующими разделами Инструкции по делопроизводству в Высшем Арбитражном Суде Российской Федерации и Инструкции по делопроизводству в арбитражных судах Российской Федерации. Обращение подлежит обязательной регистрации в трехдневный срок с момента поступления в суд в базе данных используемого программного комплекса (в журнале регистрации). После рассмотрения обращения приложенные к нему подлинники документов в обязательном порядке возвращаются заявителям. Копии приложенных к обращению документов возвращаются заявителям по усмотрению руководства суда либо по запросу заявителя. Рассмотренные обращения с копиями ответов подшиваются в дело согласно утвержденной в арбитражном суде номенклатуре дел. Сроки их хранения устанавливаются в соответствии с Перечнем типовых управленческих архивных документов, образующихся в процессе деятельности государственных органов, органов местного самоуправления и организаций, с указанием сроков хранения, утвержденным приказом Министерства культуры Российской Федерации от 25 августа 2010 года N 558."
23,Отдел делопроизводства,—,—,Соблюден порядок подачи электронного документа? Эксклюзивный открывающий шлюз,—,"Соблюден порядок подачи электронного документа? Если да, то переход к шагу 24. Если нет, то переход к шагу 28"
24,Система,—,—,Сформировать уведомление о принятии,—,Система формирует уведомление о принятии.
25,Система,—,—,Направить уведомление,—,Уведомление о принятии направляется заявителю и в дальнейшем используется для подготовки материала.
26,Отдел делопроизводства,—,—,Параллельный открывающий шлюз,—,"Параллельный шлюз, одна ветка завершает уведомление (шаг 27), другая обеспечивает подготовку материалов (шаг 31)"
