№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,Необходимость проверки соответствия признакам градообразующей организации,—,Возникла необходимость проверить ЮЛ на соответствие признакам  градообразующей организации,—,Судья принимает решение о необходимости проверки соответствия юридического лица признакам градообразующей организации
1,Система,—,Данные о численности работников ЮЛ,Установить численность работников ЮЛ,—,"Система устанавливает численность работников юридического лица на основе имеющихся документов. Согласно ст. 169 Федеральный закон от 26.10.2002 N 127-ФЗ: положения, предусмотренные настоящим параграфом, применяются также к иным организациям, численность работников которых превышает пять тысяч человек."
2,Судья,Данные о численности работников ЮЛ,—,Численность работников превышает 5000 человек? Эксклюзивный шлюз,—,Эксклюзивный шлюз. Да: переход к шагу 3 Нет: переход к шагу 4
3,Судья,—,—,ЮЛ соответствует признакам градообразующей организации,—,Судья принимает решение о соответствии юридического лица признакам градообразующей организации при численности работников свыше 5000 человек
4,Система,—,—,Найти среднесписочную численность работников МО,—,Система получает данные о среднесписочной численности работников муниципального образования посредством интеграции с Росстатом.
5,Система,Данные о численности работников ЮЛ и МО,Результат сравнения,Сравнить численность,—,Система сравнивает численность работников юридического лица с численностью работающего населения муниципального образования
6,Судья,Результат сравнения,Решение о соответствии критериям,Численность работников составляет не менее двадцати пяти процентов численности работающего населения? Эксклюзивный шлюз,—,Эксклюзивный шлюз. Если Да: переход к шагу 7 Если Нет: переход к шагу 8
7,Судья,—,—,ЮЛ соответствует признакам градообразующей организации,—,"Судья принимает решение о соответствии юридического лица признакам градообразующей организации при выполнении критерия 25% Согласно ст. 169 Федеральный закон от 26.10.2002 N 127-ФЗ: Для целей настоящего Федерального закона градообразующими организациями признаются юридические лица, численность работников которых составляет не менее двадцати пяти процентов численности работающего населения соответствующего населенного пункта."
8,Судья,—,—,Суду известны данные о соответствии признакам градообразующей организации? Эксклюзивный шлюз,—,Эксклюзивный шлюз. Если Да: переход к шагу 10 Если Нет: переход к шагу 9
9,Судья,—,Решение о несоответствии,ЮЛ не соответствует признакам градообразующей организации,—,Судья принимает решение о несоответствии юридического лица признакам градообразующей организации при отсутствии данных
10,Судья,—,Решение о необходимости уточнения,Необходимо уточнить данные? Эксклюзивный шлюз,—,"Судья проверяет, необходима ли дополнительная информация для решения вопроса.Если Да: переход к шагу 11 Если Нет: переход к шагу 16"
11,Помощник судьи,—,Запрос в ведомство,ТБП23.Направить запрос в ведомство,—,Переход к типовому процессу «Направить запрос в ведомство».Помощник судьи суда арбитражного инициирует в системе направление запроса в соответствующее ведомство для получения дополнительной информации о соответствии признакам градообразующей организации.Запрос формируется системой автоматически по форме и направляется в ведомство посредством настроенной интеграции. Получение и обработка системой ответа — внутри процесса.
12,Помощник судьи,—,—,Параллельный шлюз.,—,Параллельный шлюз.
13,Система,Ответ от ведомства,Материалы дела,Приобщить к материалам дела,—,Система приобщает полученную от ведомства информацию к материалам дела
14,Помощник судьи,—,—,Завершение процесса. Материалы приобщены к делу,—,Завершение процесса. Материалы приобщены к делу
15,Система,—,Уведомление о поступлении ответа на запрос,Уведомить судью,—,Система уведомляет судью о полученном запросе от ведомства.
16,Судья,—,—,Закрывающий шлюз.,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 10-го, 15-го шага"
17,Судья,—,Решение о соответствии,Решить вопрос о  соответствии градообразующей организации,—,Судья на основе всей имеющейся информации принимает решение о соответствии юридического лица признакам градообразующей организации
18,Судья,—,—, ЮЛ является градообразующей организацией? Эксклюзивный шлюз.,—,Эксклюзивный шлюз. Если Да: переход к шагу 20 Если Нет: переход к шагу 19
19,Судья,—,—,ЮЛ не соответствует признакам градообразующей организации,—,Судья принимает финальное решение о несоответствии юридического лица признакам градообразующей организации
20,Судья,—,—,ЮЛ соответствует признакам градообразующей организации.,—,Судья принимает финальное решение о соответствии юридического лица признакам градообразующей организации
