№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Сотрудник суда,Необходимость проверки срока,—,Возникла необходимость проверить срок.,—,"Сотрудник суда пришел к выводу о необходимости проверки срока. В арбитражном судопроизводстве сроки – это установленные законом или судом промежутки времени, в течение которых участники процесса могут (или обязаны) совершить определённые действия. Проверка срока в арбитражном суде — это механизм контроля за тем, чтобы все действия в процессе происходили в установленные законом или договором рамки времени.Автоматическое определение событий, требующих проверки сроков"
1,Сотрудник суда,Данные о процессуальном действии,—,Необходимо проверить соблюдение процессуального срока? (Эксклюзивный шлюз),—,"Сотрудник суда в зависимости от вида проверяемого срока будет совершать разные действия по его проверке. Поэтому Сотрудник суда решает, ему необходимо проверить процессуальный срок?Если «Да», то переход к шагу 2 процесса.Если «Нет», то переход к шагу 15 процесса."
2,Сотрудник суда,Данные о процессуальном действии,—,Система может проверить соблюдение срока? (Эксклюзивный шлюз),—,"Сотрудник суда смотрит есть ли возможность проверки соблюдения срока в ИС суда.Расширение возможностей автоматической проверки различных типов сроков по средствам сервисов анализов сроков.Если «Да», то переход к шагу 9 процесса.Если «Нет», то переход к шагу 3 процесса."
3,Сотрудник суда,Информация о процессуальном действии,—,Взять фактическую дату проверяемого процессуального действия.,—,Сотрудник суда будет проверять срок вручную для этого он берет даты из системы. Сотрудник суда определяет и фиксирует фактическую дату совершения проверяемого процессуального действия.
4,Сотрудник суда,Фактическая дата процессуального действия,—,ТБП6.Рассчитать срок,—,"Переход к типовому процессу «Рассчитать срок». Результатом данного процесса станет расчет процессуального срока с учетом нормативных требований и календарных особенностей.Автоматический расчет сроков с учетом выходных, праздничных дней и процессуальных особенностей"
5,Сотрудник суда,Фактическая дата и рассчитанный срок,—,Сравнить фактическую дату с рассчитанной.,—,Сотрудник суда в системе сравнивает фактическую дату совершения процессуального действия с рассчитанным сроком для определения соблюдения/несоблюдения процессуального срока.
6,Сотрудник суда,Дата выверенная,Запись даты в системе,Записать данные,—,Сотрудник суда вносит данные в систему
7,Система,Записанные данные пользователем,Сохранение данных,Сохранить данные,—,Система сохраняет данные от пользователя
8,Сотрудник суда,Результат сравнения,Заключение о соблюдении срока,Срок соблюден? (Эксклюзивный шлюз),—,"После проведенных расчетов сотрудник суда смотрит на результат и смотрит соблюден ли проверяемый срок?Система должна обеспечивать автоматическое определение соблюдения сроков с учетом всех процессуальных особенностейЕсли «Да», то переход к шагу 9 процесса.Если «Нет», то переход к шагу 10 процесса."
9,Сотрудник суда,—,—,Срок соблюден. Завершающее событие.,—,Сотрудник суда делает вывод о соблюдении процессуального срока. Завершается процесс проверки срока.Автоматическое уведомление заинтересованных лиц о соблюдении срока
10,Сотрудник суда,—,—,Срок нарушен. Завершающее событие,—,Сотрудник суда делает вывод о нарушении процессуального срока. Завершается процесс проверки срока.Автоматическое формирование уведомлений и предупреждений о нарушении сроков
11,Сотрудник суда,Данные о процессуальном действии,—,Запустить проверку срока,—,Система имеет расширенные алгоритмы автоматической проверки различных типов процессуальных сроков
12,Система,Данные о процессуальном действии,Результат проверки срока,Проверить срок,—,Система автоматически проверяет соблюдение процессуального срока с использованием встроенных алгоритмов в ПК САД.
13,Система,Результат проверки сроков,Уведомление пользователю,Уведомить пользователя,—,"После проверок сроков системой, система формирует уведомление с описание результатов"
14,Сотрудник суда,Выводы системы и рекомендации,Вывод пользователем о соблюдении сроков,ТБП139.Проверить выводы системы,—,"Переход к типовому процессу ""Проверить выводы системы"""
15,Сотрудник суда,Ввод в систему плановых дат,Расчет плановых сроков и статусов,Ввести плановые данные по датам,—,Пользователь вводит плановые даты для планирования движения дела
16,Система,Плановые данные по датам,Рассчитанный плановый срок и статус,Рассчитать плановый срок и статус,—,Система рассчитывает плановый срок и статусы в зависимости от вводных данных шага 15 процесса
17,Система,Данные о рассчетах,Сохраненные данные в системе и уведомление пользователя с рекомендацией по дальнейшим шагам,Записать данные в деле/документе,—,"Система сохраняет данные и записывает их в номенклатурном деле/ арбитражном деле и создает уведомление в событии рекомендации, на основании процессуального действия по процессу"
18,Сотрудник суда,Сформированная рекомендация и расчеты системы,Выводы пользователя зафиксированные в системе,ТБП139.Проверить выводы системы,—,"Переход к типовому процессу ""Проверить вывод системы"""
19,Сотрудник суда,—,—,Завершающее событие,—,Завершение процесса проверки планового срока.
