№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,-,-,Возникла необходимость рассмотреть вопрос о прекращении производства по делу,-,Судья инициирует процесс рассмотрения вопроса о прекращении производства по делу. Прекращение производства по делу регулируется гл. 18 АПК РФ.
1,Судья,Материалы дела,"Запуск полного анализа по вопросу о прекращении производства, Маршрут проверок",Запустить анализ по вопросу прекращения,-,"Судья запускает полный анализ дела по всем автоматизированным проверкам до 57-го шага. Предусматривается, что по итогу проверок для судьи будет сформирован один общий отчет с результатами и рекомендациями. Отчет формируется после проведения проверок и является итогом  58-го шага. С этом шаге система определяет начальные проверки для дела, такие как является ли производство по делу — производством о компенсации, отвечая на вопрос в 34-м шаге. Система определяет какие проверки должны быть определены, создавая маршрут проверок. "
2,Система,-,-,Параллельный шлюз,-,"Параллельный шлюз для разделения потоков, далее процесс будет следовать по 3-му, 4-му, 10-му, 16-му, 20-му, 21-му, 27-му, 34-му, 40-му, 48-му, 56-му шагу. "
3,Судья,Материалы дела,Результат проверки компетенции,Проверить компетенцию,-,"Переход к типовому процессу ""Проверить компетенцию""(ТБП20).Согласно п. 1 ч. 1 ст. 150 АПК РФ, Арбитражный суд прекращает производство по делу, если установит, что имеются основания, предусмотренные пунктом 1 части 1 статьи 127.1 АПК (если исковое заявление, заявление подлежат рассмотрению в порядке конституционного или уголовного судопроизводства либо не подлежат рассмотрению в судах).В рамках процесса судья определяет, входит ли настоящее дело в компетенцию АС в соответствии с гл. 4 АПК РФ."
4,Судья,Материалы дела,Результат проверки тождественности,Проверить тождественность,-,"Переход к типовому процессу ""Проверить тождественность"" (ТБП45).Согласно п. 2 ч .1 ст. 150 АПК РФ арбитражный суд прекращает производство по делу, если имеется вступивший в законную силу принятый по спору между теми же лицами, о том же предмете и по тем же основаниям судебный акт арбитражного суда, суда общей юрисдикции или компетентного суда иностранного государства, за исключением случаев, если арбитражный суд отказал в признании и приведении в исполнение решения иностранного суда.В рамках данного процесса судья осуществляет проверку соблюдения правил подсудности (на соответствие требованиям ст. 34 АПК РФ).Результатом данного ТП является решение о соблюдении или несоблюдении правил подсудности при подаче документа лицом."
5,Судья,-,-,Тождественность установлена?Эксклюзивный шлюз,-,"Тождественность установлена?Если «Да», то переход к шагу 6 процесса.Если «Нет», то переход к шагу 7 процесса."
6,Судья,-,-,АС отказал в признании и исполнении решения иностранного суда?Эксклюзивный шлюз,-,"АС отказал в признании и исполнении решения иностранного суда?Исключением из правил прекращения ввиду тождественности является тот факт, если арбитражный суд отказал в признании и приведении в исполнение решения иностранного суда, если была установлена тождественность с делом компетентного суда иностранного государства.Если «Да», то переход к шагу 8 процесса.Если «Нет», то переход к шагу 7 процесса."
7,Судья,-,-,Объединяющий шлюз,-,Шлюз для соединения потоков из 5-го и 6-го элемента. 
8,Судья,Материалы дела и Результат проверки тождественности,Установлено исключение (нет оснований для прекращения),Установить отсутствие оснований для прекращения,-,"Судья подтверждает, что дело является исключением и основания для прекращения, ввиду установления тождественности - нет."
9,Судья,-,-,Объединяющий шлюз,-,Шлюз для соединения потоков из 8-го и 7-го элемента.
