№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Канцелярия,—,—,Зарегистрировано ходатайство об ознакомлении с материалами дела от сторон,—,"Канцелярия суда зарегистрировало поступившее ходатайство об ознакомлении с материалами дела. С этого момента стартует процесс ознакомления с делом стороны, заявившей ходатайство. Порядок ознакомления с материалами судебных дел регламентирован п. 12 Инструкции по делопроизводству № 100."
1,Система,Зарегистрированное ходатайство,Результаты анализа,Провести предварительный анализ,—,"Система автоматически проводит предварительный анализ ходатайства об ознакомлении с делом, проверяет статус дела, наличие необходимых документов и соответствие требованиям."
2,Система,Результаты анализа,Отчет о предварительном анализе и уведомление в созданном событии,Сформировать отчет,—,"Система формирует отчет с результатами предварительного анализа ходатайства, включающий информацию о статусе дела, необходимых действиях и рекомендации, создает событие для записи и уведомляет пользователя о готовности отчета"
3,Судья,Уведомление о готовности отчета,Вывод пользователя,ТБП139.Проверить выводы системы,—,"Переход к типовому процессу ""Проверить выводы системы"". Судья проверяет выводы системы по предварительному анализу ходатайства, оценивает корректность рекомендаций и принимает решение о дальнейших действиях."
4,Судья,—,—,Дело сдано в архив? Эксклюзивный шлюз,—,"Судья проверяет статус дела: дело сдано в архив? Если «Да», то переход к шагу 11 процесса. Если «Нет», то переход к шагу 5 процесса."
5,Система,Новый документ для ознакомления,Задача на судью,Поставить задачу на судью по ознакомлению,—,Система автоматически ставит задачу на судью по организации ознакомления с делом.
6,Судья,—,Назначенное ответственное лицо,"Назначить лицо, ответственное за ознакомление с делом",—,"Судья назначает конкретное лицо, ответственное за организацию ознакомления с делом."
7,Судья,Назначенное ответственное лицо,Заявление с резолюцией,Указать период доступности электронных материалов дела,Не позднее следующего рабочего дня,Судья суда указывает конкретный период доступности электронных материалов дела в соответствии с графиком работы суда в системе.
8,Система,Заявление с резолюцией,Созданная задача на ответственного за ознакомление,Поставить задачу на ответственного за ознакомление,—,Система автоматически ставит задачу на ответственного за ознакомление с указанием периода доступности.
9,Помощник судьи,Созданная задача на ответственного за ознакомление,Подтверждение доступа ,Подтвердить доступ к делу в указанный период,—,Помощник судьи подтверждает доступ к делу в указанный период и готовность к организации ознакомления.
10,Помощник судьи,—,—,Переход к шагу 26,—,Промежуточное событие-переход к шагу 26 процесса.
11,Система,Дело заархивировано,Созданная задача,Поставить задачу на руководителя архива,—,Система автоматически ставит задачу на руководителя архива по организации ознакомления с архивным делом.
12,Руководитель архива,Созданная задача и документы по делу,Вывод пользователя,Изучить ходатайство,—,Руководитель архива изучает ходатайство об ознакомлении с делом и определяет необходимые действия.
13,Руководитель архива,—,Период в системе ,Указать период доступности электронных материалов дела,—,Руководитель архива указывает период доступности электронных материалов дела в соответствии с графиком работы архива.
14,Руководитель архива,—,Указан ответственный,Указать ответственного сотрудника за ознакомление,—,Руководитель архива назначает конкретного сотрудника архива ответственным за организацию ознакомления.
15,Система,—,Задача на сотрудника архива,Поставить задачу ответственному сотруднику архива,—,Система автоматически ставит задачу ответственному сотруднику архива на организацию ознакомления.
16,Ответственный за ознакомление,—,Возвращенное дело,ТБП92.Вернуть из архива,—,"Переход к типовому процессу ""Вернуть из архива"". Ответственный за ознакомление возвращает дело из архива для ознакомления. Результатом будет возвращенное из архива дело, либо сведения о том, что дело уже было уничтожено."
17,Ответственный за ознакомление,—,—,Дело уничтожено? Эксклюзивный шлюз,—,"Ответственный за ознакомление проверяет было ли дело уничтожено. Если «Да», то переход к шагу 18 процесса. Если «Нет», то переход к шагу 25 процесса."
18,Ответственный за ознакомление,—,Письмо с актом об уничтожении,ТБП49.Сформировать и подписать документ,—,"Переход к типовому процессу ""Сформировать и подписать документ"". Результатом будет сформированное и подписанное письмо для лица, заявившего ходатайство об ознакомлении о том, что дело уничтожено и ознакомиться с ним нет возможности. К такому письму будет приложен акт об уничтожении."
19,Ответственный за ознакомление,Письмо с актом об уничтожении,—,ТБП46.Направить документ,—,"Переход к типовому процессу ""Направить документ"". Результатом будет направление письма с приложенным актом об уничтожении заявителю."
20,Ответственный за ознакомление,—,—,Ознакомление невозможно в связи с уничтожением дела.,—,Завершение процесса ознакомления с делом для суда в связи с уничтожением дела.
21,ЛУВД/Иные лица,Поступившие документы,Уведомление о новом документе ,Получить акт об уничтожении дела,—,ЛУВД/Иные лица получают акт об уничтожении дела.
22,ЛУВД/Иные лица,Поступившие документы,Ознакомление с документом в ЛК,Ознакомиться,—,ЛУВД/Иные лица знакомятся с актом об уничтожении дела.
23,Система,Дата и время ознакомления,Данные об ознакомлении,Вернуть время ознакомления,—,Система автоматически фиксирует время ознакомления ЛУВД/Иных лиц с актом об уничтожении дела и передает эти данные в учетную систему арбитражного суда.
24,ЛУВД/Иные лица,—,—,Завершение процесса,—,Завершение процесса ознакомления с делом для заявителя в связи с уничтожением дела.
25,Ответственный за ознакомление,—,—,Подтвердить доступ к делу,—,Ответственный за ознакомление подтверждает доступ к делу и готовность к организации ознакомления.
