№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Заявитель,Необходимость обжалования,—,Появилась необходимость обжаловать в кассационном порядке,—,Заявитель принимает решение о необходимости кассационного обжалования
1,Заявитель,Кассационная жалоба на СП,Доказательства подачи документов в суд,ТБП7.Подать документы в суд,2 месяца со дня вступления в законную силу обжалуемого акта (ст. 276 АПК РФ),"Переход к типовому процессу ""Подать документы в суд""Заявитель оплачивает государственную пошлину, направляет копии КЖ иным ЛУВД и подает документы в суд первой инстанции. Кассационная жалоба подается в арбитражный суд на бумажном носителе или в электронном виде, в том числе в форме электронного документа. Кассационная жалоба должна соответствовать требованиям ст. 277 АПК РФ и Порядка подачи в арбитражные суды Российской Федерации документов в электронном виде."
2,Заявитель,"","",Документ подан,"",Документ подан
3,Система,"","",Ограничить подачу,"",Система ограничивает подачу
4,Система,"","",Подача ограничена в связи с истечением срока,"",Подача ограничена в связи с истечением срока
5,Канцелярия кассационной инстанции,Дело и КЖ,Зарегистрированное дело,Получено дело и КЖ,В день поступления в суд или не позднее первой половины следующего дня,"Канцелярия получает дело и КЖ. Принятие входящего документа регулируется нормами АПК РФ и Постановлением Пленума ВАС РФ от 25.12.2013 N 100 ""Об утверждении Инструкции по делопроизводству в арбитражных судах Российской Федерации (первой, апелляционной и кассационной инстанций)"".Жалоба и приложенные к ней документы приобщаются к судебному делу и регистрируются специалистом подразделения"
6,Канцелярия суда первой инстанции,Кассационная жалоба,Зарегистрированная КЖ,ТБП53.Принять входящий документ,Не позднее первой половины следующего дня с даты поступления кассационной жалобы,Канцелярия принимает и регистрирует КЖ. Переход к типовому процессу «Принять входящий документ»Принятие входящего документа регулируется нормами АПК РФ и Постановлением Пленума ВАС РФ от 25.12.2013 N 100. Жалоба и приложенные к ней документы приобщаются к судебному делу и регистрируются специалистом подразделения делопроизводства в системе автоматизации судопроизводства.
7,Судья суда кассационной инстанции,"",-Определение о принятии кассационной жалобы-Определение об оставлении кассационной жалобы без движения-Определение об оставлении кассационной жалобы без рассмотрения-Определение о возвращении кассационной жалобы,ТБП31.Рассмотреть вопрос о принятии,В течение 5 дней,"Переход к типовому процессу ""Рассмотреть вопрос о принятии"". В результате данного ТП Судья рассматривает вопрос о принятии КЖ к производству. Определение о принятии выносится единолично судьей в 5 дневный срок согласно положениям ч. 2 ст. 278 АПК. Копии определения о принятии кассационной жалобы к производству с указанием места и времени проведения судебного заседания в суде кассационной инстанции направляются специалистом судебного состава лицам, участвующим в деле, не позднее следующего дня после вынесения определения согласно п. 28.3 Инструкции по делопроизводству № 100"
8,Судья суда кассационной инстанции,—,—,КЖ принята к производству?Эксклюзивный шлюз,"",Судья  принимает решение о принятии кассационной жалобы к производству на основании проверки формальных требованийДа: переход к шагу 27Нет: переход к шагу 9
9,Система,"","",Синхронизировать с делом нижестоящих инстанций,"",Система синхронизирует дело с делом нижестоящих инстанций
10,Судья суда кассационной инстанции,"","",КЖ не принято к производству,"",КЖ не принято к производству
11,Суд первой инстанции,"","",Получено уведомление о рассмотрении судом вышестоящей инстанции,"",Получено уведомление о рассмотрении судом вышестоящей инстанции
12,Суд первой инстанции,"","",Ознакомиться с результатом рассмотрения,"",Суд знакомится с результатом рассмотрения
13, Суд первой инстанции,—,—,Требуется исполнение СА? Эксклюзивный шлюз, —,Судья определяет требуется ли исполнение судебного акта Да: переход к шагу 14Нет: переход к шагу 15
14,Суд первой инстанции,—,—,ТБП91.Обратить СА к исполнению,—,Переход к типовому процессу «Обратить судебный акт к исполнению». В результате данного ТП судья обращает судебный акт к исполнению
15,Суд первой инстанции,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз для координации потоков
16,Суд первой инстанции,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,—,"Суд передает дело в архив. Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача дела в архив"
17,Суд первой инстанции,—,—,Завершение процесса,—,Завершение процесса
18,Заявитель,"",—,Возникла необходимость приостановить исполнение СА,—,Заявитель подготавливает ходатайство о приостановлении исполнения СА
19,Заявитель,Ходатайство о приостановлении исполнения СА,—,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП заявитель подает документы в суд- ходатайство о приостановлении исполнения СА. Согласно ч. 1 ст.283 АПК РФ Ходатайство о приостановлении исполнения судебных актов, подаваемое в электронном виде, должно быть подписано усиленной квалифицированной электронной подписью."
20,Заявитель,—,—,Завершение процесса,—,Завершение процесса
21,Канцелярия кассационной инстанции,Ходатайство о приостановлении исполнения СА,—,Получен документ по делу,—,Канцелярия фиксирует поступление документа
22,Канцелярия кассационной инстанции,Ходатайство о приостановлении исполнения СА,—,ТБП53.Принять входящий документ,В день поступления в суд или не позднее первой половины следующего дня,Переход к типовому процессу «Принять входящий документ». Канцелярия принимает входящий документПри поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ
23,Канцелярия кассационной инстанции,—,—,Документ зарегистрирован,"",Документ зарегистрирован 
24,Судья суда кассационной инстанции,Ходатайство о приостановлении исполнения СА,—,Поступило ходатайство о приостановлении исполнения СА,—,Заявитель подает ходатайство о приостановлении исполнения СА
25,Судья суда кассационной инстанции,Ходатайство о приостановлении исполнения CА,Определение о приостановлении исполнения САОпределение об отказе в приостановлении исполнения СА  ,ТБП137.Рассмотреть вопрос о приостановлении СА,3 дня с даты поступления ходатайства,"Переход к типовому процессу ""Рассмотреть вопрос о приостановлении"". В результате ТП Судья рассматривает ходатайство о приостановлении исполнения САСогласно ст. 283 АПК РФ О приостановлении исполнения судебного акта или об отказе в приостановлении исполнения арбитражный суд кассационной инстанции выносит определение в трехдневный срок со дня поступления ходатайства в суд. Определение может быть обжаловано в арбитражный суд кассационной инстанции. Содержание этого определения может быть изложено в определении о принятии кассационной жалобы к производству суда.Копия определения направляется лицам, участвующим в деле. Исполнение судебного акта приостанавливается на срок до принятия арбитражным судом кассационной инстанции постановления по результатам рассмотрения кассационной жалобы, если судом не установлен иной срок приостановленияИсполнение решения, постановления арбитражного суда приостанавливается арбитражным судом кассационной инстанции при предоставлении лицом, ходатайствующим о таком приостановлении, обеспечения возмещения другой стороне по делу возможных убытков (встречного обеспечения) путем внесения на депозитный счет арбитражного суда кассационной инстанции денежных средств в размере оспариваемой суммы либо предоставления банковской гарантии, поручительства или иного финансового обеспечения на ту же сумму."
26,Судья суда кассационной инстанции, ,"",Завершение процесса, ,Завершение процесса
27,Судья суда кассационной инстанции,—,—,Необходимо назначить судебное СЗ?Эксклюзивный шлюз,—,"Судья суда кассационной инстанции определяет необходимость назначения судебного заседания. Согласно ч.2 ст.288.1 Кассационная жалоба на судебный приказ рассматривается в суде кассационной инстанции судьей единолично без вызова сторон. С учетом характера и сложности рассматриваемого вопроса, а также доводов кассационной жалобы и возражений относительно кассационной жалобы суд может вызвать лиц, участвующих в деле, в судебное заседание.Да: переход к шагу 28Нет: переход к шагу 34"
28,Судья суда кассационной инстанции,—,—,ТБП44.Назначить СЗ,—,"Переход к типовому процессу ""Назначить СЗ"". В результате данного ТП судья суда кассационной инстанции назначает судебное заседание по рассмотрению кассационной жалобы, при необходимости вызывают лиц участвующих в деле"
29,Канцелярия суда кассационной инстанции,Отзыв на КЖ,—,Получен документ по делу,"",Канцелярия фиксирует поступление документа
30,Канцелярия суда кассационной инстанции,Отзыв на КЖ,—,ТБП53.Принять входящий документ,Не позднее первой половины следующего дня с даты поступления кассационной жалобы,Переход к типовому процессу «Принять входящий документ». В результате данного ТП Канцелярия принимает входящий документ
31,Помощник судьи суда кассационной инстанции, , ,Эксклюзивный шлюз, ,"Эксклюзивный шлюз, переход к шагу 32"
32,Помощник судьи суда кассационной инстанции,Дело/документы,Подготовленные материалы,ТБП66.Подготовиться к СЗ,"Четкий срок не установлен. Подготовка дела к судебному разбирательству проводится в срок, определяемый судьей с учетом обстоятельств конкретного дела и необходимости совершения соответствующих процессуальных действий","Переход к Типовому процессу «Подготовиться к СЗ».В ходе подготовки к СЗ помощник судьи будет проверять: извещены ли стороны о судебном заседании, будут собирать поступающие отзывы/возражения по делу, будет проведен предварительный анализ поступивших документов, ответов на запросы (если они были направлены), будет проверять был ли предоставлен доступ к ознакомлению с делу электронно всем сторонам и другие вопросы, подлежащие выяснению в рамках подготовки к проведению судебного заседания"
33,Судья - председательствующий кассационной инстанции,—,—,ТБП68.Провести СЗ,—,"Переход к типовому процессу ""Провести СЗ"". В результате данного ТП Судья  проводит судебное заседание. Согласно ч.4 ст. 288.1 АПК РФ Основаниями для пересмотра в порядке кассационного производства судебного приказа, вступившего в законную силу, являются существенные нарушения норм материального права и (или) норм процессуального права, которые повлияли на исход приказного производства и без устранения которых невозможны восстановление и защита нарушенных прав, свобод, законных интересов взыскателя или должника в делах приказного производства.Согласно ст. 43 Постановления Пленума ВС РФ от 27.12.2016 N 62: кассационная жалоба на вступивший в законную силу судебный приказ рассматривается по правилам главы 35 АПК РФ с учетом особенностей, установленных статьей 288.1 АПК РФ. В связи с этим кассационная жалоба на судебный приказ может быть оставлена без движения (статья 280 АПК РФ), возвращена судом (статья 281 АПК РФ), производство по кассационной жалобе может быть прекращено (статья 282 АПК РФ)"
