№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Суд,—,—,После оценки доказательств суд перешел к рассмотрению вопроса о завершении фин. оздоровлении,—,Суд завершил оценку доказательств и переходит к рассмотрению вопроса о завершении процедуры финансового оздоровления
1,Система,—,—,Задать судье вопрос о тайне совещательной,—,Система спрашивает судью о тайне совещательной
2,Судья,—,—,Ответить на вопрос о тайне совещательной,—,Судья отвечает на вопрос о тайне совещательной
3,Суд,—,—,Тайна совещания судей обеспечена? Эксклюзивный шлюз,—,Тайна совещания судей обеспечена? Эксклюзивный шлюз
4,Система,—,—,Закрыть доступ к вынесению СА,—,Система закрывает доступ к вынесению СА
5,Суд,—,—,Завершение процесса. Переход в процесс Провести СЗ,—,Завершение процесса. Переход в процесс Провести СЗ
6,Система,—,—,Сохранить информацию о подтверждении соблюдении тайны,—,Система сохраняет информацию о подтверждении соблюдении тайны
7,Система,—,Определенные законы и НПА,Определить законы и НПА подлежащие применению,—,"Система определяет законы и нормативно-правовые акты, подлежащие применению при рассмотрении вопроса о завершении финансового оздоровления"
8,Система,—,Содержание норм права в официальном толковании,Установить содержание норм права в официальном толковании,—,Система устанавливает содержание норм права в официальном толковании
9,Система,—,Содержание норм права в судебной практике,Установить содержание норм права в судебной практике,—,Система устанавливает содержание норм права в судебной практике
10,Система,—,—,Установить права и обязанности ЛУВД,—,"Система устанавливает права и обязанности лиц, участвующих в деле"
11,Суд,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
12,Суд,—,"Если нет, то переход к шагу 14. шаг 13: переход к шагу 13",ЛУВД ссылались на иные НПА? Эксклюзивный шлюз,—,ЛУВД ссылались на иные НПА? Эксклюзивный шлюз
13,Судья,—,Мотивы неприменения НПА в СА,Указать в СА мотивы неприменения НПА,—,"Суд указывает в судебном акте мотивы неприменения нормативно-правовых актов, на которые ссылались лица, участвующие в деле"
14,Суд,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
15,Судья,—,Анализ отчета АУ,Рассмотреть отчет АУ о результатах фин. оздоровления,—,"Суд рассматривает отчет арбитражного управляющего о результатах финансового оздоровления. Согласно ч.1-2 ст.88 Федерального закона от 26.10.2002 N 127-ФЗ: Не позднее чем за месяц до истечения установленного срока финансового оздоровления должник обязан предоставить административному управляющему отчет о результатах проведения финансового оздоровления. К отчету должника прилагаются: баланс должника на последнюю отчетную дату; отчет о прибылях и об убытках должника; документы, подтверждающие погашение требований кредиторов."
16,Судья,—,Оценка заключения АУ,Оценить заключение АУ о выполнении плана,—,"Суд оценивает заключение арбитражного управляющего о выполнении плана финансового оздоровления. Согласно ч.3 ст.88 Федерального закона от 26.10.2002 N 127-ФЗ: Административный управляющий рассматривает отчет должника о результатах проведения финансового оздоровления и составляет заключение о выполнении графика погашения задолженности, об удовлетворении требований кредиторов и о выполнении плана финансового оздоровления (при наличии такого плана), которое не позднее чем через десять дней с даты получения отчета должника о результатах проведения финансового оздоровления направляется кредиторам, требования которых включены в реестр требований кредиторов, и в арбитражный суд."
17,Суд,—,—,Параллельный шлюз,—,Параллельный шлюз
18,Судья,—,Проверка выводов АУ,Проверить соответствие выводов АУ в отчете,—,Суд проверяет соответствие выводов арбитражного управляющего в отчете
19,Судья,—,Установление исполнения обязанностей АУ,Установить надлежащее исполнение обязанностей АУ,—,Суд устанавливает надлежащее исполнение обязанностей арбитражного управляющего
20,Суд,—,—,Параллельный шлюз,—,Параллельный шлюз
21,Суд,—,—,Необходимо продлить фин. оздоровление? Эксклюзивный шлюз,—,Необходимо продлить фин. оздоровление? Эксклюзивный шлюз
22,Система,—,—,Сохранить данные,—,Система сохраняет данные
23,Суд,—,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства
24,Суд,—,Контроль полноты рассмотрения,ТБП17.Контроль полноты рассмотрения ходатайств и заявлений,—,"Переход к типовому процессу ""Контроль полноты рассмотрения ходатайств и заявлений"". В результате данного ТП Суд контролирует полноту рассмотрения ходатайств и заявлений участников процесса"
