№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,—,—,Возникла необходимость рассмотреть вопрос об  освобождении от уплаты ГП,—,Судья определяет необходимость рассмотрения вопроса об освобождении от уплаты государственной пошлины на основании поданного ходатайства от лица.
1,Судья,—,Результаты проверки наличия льготы по уплате госпошлины,ТБП25.Проверить льготы по госпошлине,—,"Переход к типовому процессу «Проверить льготы по госпошлине».В рамках данного процесса судья осуществляет проверку наличия у лица льгот по уплате госпошлины на основании положений НК РФ в соответствующей части. Основанием для признания наличия льготы является факт отнесения спора или лица к категориям, указанных в законе.Результатом данного типового процесса является вывод о наличии либо отсутствии у лица льготы по уплате государственной пошлины.Автоматизация определения категории спора и проверки лица на основании статьи Ст. 333.37 НК РФ, для определения возможности льгот по госпошлине.OCR документов подтверждающих освобождение от уплаты госпошлины, с выводом рекомендаций и данных для принятия решения."
2,Судья,Результаты проверки наличия льготы по уплате госпошлины,—,Установлены основания для освобождения от уплаты госпошлины?Эксклюзивный шлюз,—,"Если льгота по уплате госпошлины есть. Если да - переход к шагу 3, если нет - переход к шагу 4."
3,Судья,Подтвержденный факт наличия у лица льготы по госпошлине,Определение об освобождении от уплаты госпошлины,ТБП80.Принять СА,—,"Переход к типовому процессу «Принять СА».В рамках данного процесса происходит принятие судьей итогового судебного акта по вопросу освобождения от уплаты госпошлины.В силу наличия у лица льготы, судья принимает судебный акт об освобождении от уплаты госпошлины.Автоматическая генерация проекта определения об освобождении от уплаты ГП по шаблону"
4,Судья,Подтвержденный факт наличия у лица льготы по госпошлине,Определение об освобождении от уплаты госпошлины,ТБП80.Принять СА,—,"Переход к типовому процессу «Принять СА».В рамках данного процесса происходит принятие судьей итогового судебного акта по вопросу освобождения от уплаты госпошлины.В силу наличия у лица льготы, судья принимает судебный акт об освобождении от уплаты госпошлины.Автоматическая генерация проекта определения об освобождении от уплаты ГП по шаблону"
5,Судья,—,—,Эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
6,Канцелярия,—,"Определение суда по вопросу освобождения от уплаты госпошлины, направленное лицам",ТБП46.Направить документ,—,Переход к типовому процессу «Направить документ».В рамках данного процесса канцелярия осуществляет все необходимые действия по направлению вынесенного судом определения лицам.Автоматическое формирование и отправка уведомлений заявителю о принятом решении
7,Судья,—,—,СА отправленЗавершение процесса,—,Судебный акт отправлен заявителю. Завершение процесса.
8,Заявитель,Определение суда по вопросу освобождения от уплаты госпошлины,—,Получено определение,—,Заявитель получает определение суда об освобождении от уплаты государственной пошлины или об отказе в удовлетворении ходатайства.Автоматическое уведомление о получении документа через информационную систему
9,Система,Поступление документов,Уведомление пользователя,Уведомить пользователя,—,Система уведомляет пользователя и записывает данные о дате и времени доставки.
10,Заявитель,Определение суда по вопросу освобождения от уплаты госпошлины,—,Ознакомиться,—,Заявитель изучает содержание полученного определения.
11,Система,Дата и время прочтений/ознакомления,Отправка данных в ИС арбитражного суда,Отправка данных об открытии и ознакомлении,—,Система отправляет данные о дате и времени доставки и ознакомления в систему арбитражного суда для фиксации в деле и документе.
12,Заявитель,—,—,Есть основания для обжалования?Эксклюзивный шлюз,—,"Заявитель принимает решение о наличии оснований для обжалования определения. Если основания для обжалования есть и лицо намерено обжаловать СА - Если да переход к шагу 11, если нет - переход к шагу 12"
13,Заявитель,—,—,Нет данных для обжалованияЗавершение процесса,—,Нет данных для обжалования
14,Заявитель,—,—,Переход к процессу апелляционного обжалования,—,Заявитель инициирует переход к процессу апелляционного обжалования определения суда об освобождении от уплаты государственной пошлины
