№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,Необходимость подготовки заявления к рассмотрению,-,Возникла необходимость подготовить заявление к рассмотрению. Стартовое событие,-,"Положениями пункта 2 статьи 60, пункта 2 статьи 71 и пункта 3 статьи 100 Закона о банкротстве установлены процессуальные особенности рассмотрения обособленных споров, производство по которым осуществляется в документарной форме посредством обмена процессуальными документами без проведения судебного заседания (далее - документарные обособленные споры). В силу указанных норм суд, осуществляя управление процессом, определяет наиболее оптимальный порядок рассмотрения конкретного обособленного спора.Судья принимает решение о необходимости подготовки к рассмотрению обособленного спора в документарной форме. Старт процесса."
1,Судья,-,-,Параллельный шлюз для координации процессов,-,"Параллельный шлюз для координации процессов. Шаги 2,3,4,5 процесса происходят параллельно."
2,Система,Документы и приложения по делу,Анализ документов,Анализировать материалы дела,-,"Система изучает материалы дела, анализирует обстоятельства дела"
3,Судья,Отзывы и возражения от сторон,Анализ документов,Анализировать поступившие отзывы/возражения от сторон,-,"Стороны в установленный судьей срок представляют: отзывы на заявление, возражения, доказательства (включая электронные документы), ходатайства. Все документы приобщаются к материалам дела. Система изучает поступившие отзывы и возражения от сторон по обособленному спору."
4,Судья,Доп.документы,Анализ документов,Анализировать поступившие доп. документы от сторон,-,"Система изучает дополнительные документы, представленные сторонами.Автоматическая проверка полноты документов и их соответствия требованиям"
5,Судья,Подтверждающие документы от АУ/кредиторов,Документы и приложения по делу,Анализировать подтверждающие документы от АУ/кредиторов,-,"В документарном производстве рассматриваются обособленные споры о включении в реестр требований кредиторов, об истребовании документации и ценностей должника, об освобождении арбитражного управляющего от исполнения возложенных на него обязанностей, о продлении сроков внешнего управления, конкурсного производства, распределении судебных расходов и расходов на выплату вознаграждения. Система изучает подтверждающие документы от арбитражного управляющего и кредиторов.Автоматическая проверка подлинности документов и их соответствия требованиям"
6,Судья,-,-,Параллельный шлюз,-,Параллельный закрывающий шлюз для шага 1 процесса
7,Судья,-,-,ТБП59.Оценить доказательства по делу,-,"Переход к типовому процессу «Оценить доказательства по делу», результатом которого будет доказательства по делу, получившие оценку судьи, который определил их относимость и допустимость и достоверность в соответствии с положениями ст. 71 АПК РФ.Автоматическая оценка доказательств с использованием ML алгоритмов"
8,Система,"Данные анализа системы по шагам 2, 3, 4, 5, 7",Формирование события с рекомендацией системы и уведомление пользователя,Сформировать рекомендацию,-,"При поступлении материалов дела, ИИ формирует рекомендацию по дальнейшим шагам, с ссылками на абзацы текста из которых следует вывод:1. На основе материалов дела2. На основе поступивших отзывов/возражений сторон3. Поступившие дополнительные документы от сторон4. На основе документов от АУ/Кредиторов5. Проверка достаточности документации для определения количества заявлений/ходатайств по которым необходимо будет принять решение"
9,Судья,Уведомление,"Вывод пользователя, сохраненные данные",ТБП139.Проверить выводы системы,-,"Переход к типовому процессу ""Проверить выводы системы""Судья ознакамливается с рекомендацией и фактами которые указывает система и делает вывод о их корректности или не корректности. В случае ошибок формируется отчет для технической поддержки с указанием ошибок для дообучения модели."
