№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
10,Судья,-,-,Получены возражения? Эксклюзивный шлюз,-,"Судья определяет, получены ли от сторон мотивированные ходатайства о продлении срока представления возражений по делу?Если «Да», то переход к шагу 11Если «Нет», переход к шагу 14"
11,Судья,Ходатайство о продлении срока для предоставления возражений.,-,Требуется продлить срок предоставления возражений/отзыва на возражения? Эксклюзивный шлюз,-,"По мотивированному ходатайству лица, участвующего в деле о банкротстве, срок для заявления возражений и (или) отзывов на возражения и срок, в течение которого будет рассмотрен обособленный спор, могут быть продлены арбитражным судом, о чем выносится определение путем подписания резолютивной части. Судья определяет, требуется ли продлить срок предоставления возражений.Если «Да», то переход к шагу 12Если «Нет», то переход к шагу 13"
12,Судья,-,Определение о продлении процессуального срока,ТБП80.Принять СА,-,"Переход к типовому процессу «Принять СА», результатом которого будет вынесенное судьей определение о продлении процессуального срока и указанный СА опубликован в КАД, что приравнивается к направлению сторонам. Лица, участвующие в деле о банкротстве, без дополнительного направления копии определения на бумажном носителе считаются извещенными о вынесении судом данного определения на следующий день после дня размещения текста судебного акта в установленном порядке (абзац второй части 1 статьи 122, часть 1 статьи 186 АПК РФ)."
13,Судья,-,-,Эксклюзивный шлюз,-,Закрывающий эксклюзивный шлюз для шага 11 процесса
14,Судья,-,-,Эксклюзивный шлюз,-,Закрывающий эксклюзивный шлюз для шага 10 процесса.
15,Судья,-,-,Достаточно доказательств для рассмотрения? Эксклюзивный шлюз,-,"Судья определяет, достаточно ли доказательств для рассмотрения обособленного спора в документарной форме.Если «Да», то переход к шагу 16Если «Нет», то переход к шагу 17"
16,Судья,-,-,Установить готовность к рассмотрению заявления,-,Судья установил готовность заявления к рассмотрению в документарном порядке и установил соответствующую стадию или статус в системе.
17,Судья,-,-,Установить необходимость перехода к общему порядку,-,"При наличии препятствий к рассмотрению обособленного спора в документарной форме судья может принять решение о переходе в общий порядок, в том числе при необходимости назначить экспертизу, заслушать свидетельские показания, выяснить дополнительные обстоятельства или исследовать дополнительные доказательства. Судья устанавливает необходимость перехода к общему порядку рассмотрения заявления изменяя в системе значения справочника который будет служить триггером для передачи дела "
18,Судья,-,-,Суд подготовил заявление к рассмотрению. Завершающее событие,-,Суд завершил подготовку заявления к рассмотрению. Препятствий к рассмотрению в документарной форме не установлено.
19,Судья,-,-,Суд установил необходимость рассмотрения заявления в общем порядке. Завершающее событие,-,Суд установил необходимость рассмотрения заявления в общем порядке.
