№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Заявитель (Взыскатель/Должник),"","",Возникла необходимость индексации после исполнения СА,"","Согласно ч.1 ст.183 АПК РФ: если иное не предусмотрено федеральным законом, присужденные денежные суммы индексируются со дня вынесения решения суда или, если решением суда предусмотрена выплата присужденной денежной суммы в предстоящем периоде, с момента, когда такая выплата должна была быть произведена.Если иное не предусмотрено федеральным законом или договором, для индексации используется официальная статистическая информация об индексе потребительских цен (тарифов) на товары и услуги в Российской Федерации, размещаемая на официальном сайте федерального органа исполнительной власти, осуществляющего функции по формированию официальной статистической информации о социальных, экономических, демографических, экологических и других общественных процессах в Российской Федерации, в информационно-телекоммуникационной сети ""Интернет"""
1,Система,"","",Проверить дату исполнения СА,"",Система проверяет дату исполнения СА
2,Заявитель (Взыскатель/Должник),"","",Срок установленный законом соблюден?,"",Да: переход к шагу 4Нет: переход к шагу 3
3,Заявитель (Взыскатель/Должник),"","",В подаче отказано,"",В подаче отказаноЗавершение процесса
4,Заявитель (Взыскатель/Должник),—,Заявление об индексации присужденных судом денежных сумм,ТБП7.Подать документы в суд,"","Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель (Взыскатель/Должник) формирует и направляет Заявление об индексации присужденных судом денежных сумм"
5,Заявитель (Взыскатель/Должник),"","",Завершение процесса,"",Завершение процесса
6,Канцелярия,Заявление об индексации присужденных судом денежных сумм,Зарегистрированное заявление об индексации присужденных судом денежных сумм,Поступило заявление,Канцелярия принимает и регистрирует Заявление об индексации присужденных судом денежных сумм,Возможна автоматизация регистрации и присвоения номера дела
7,Канцелярия,Отзыв на заявление,Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день",Переход к типовому процессу «Принять входящий документ». При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ
8,Помощник судьи,Зарегистрированный документ,—,Дело передано в архив?,—,"Да: переход к шагу 9Нет: переход к шагу 13Помощник проверяет, передано ли дело в архив"
9,Помощник судьи,—,—,Дело уничтожено?,—,"Да: переход к шагу 11Нет: переход к шагу 10Помощник проверяет, уничтожено ли дело"
