№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
10,Система арбитражного суда,"Вступивший в силу судебный акт/Судебный акт, подлежащий немедленному исполнению",—,Прикрепить копию СА по делу,—,"Система автоматически прикрепляет копию судебного акта к исполнительному листу, если взыскание происходит из средств бюджета. "
11,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
12,Канцелярия/Секретарь СЗ/Помощник,Подписанный ИЛ,ИЛ с гербовой печатью,Поставить гербовую печать,—,"Удостоверительная надпись опечатывается гербовой печатью арбитражного суда, которая ставится таким образом, чтобы частично захватывать бумажную наклейку, заклеивающую концы нити.На подготовленный исполнительный лист проставляется гербовая печать арбитражного суда."
13,Судья,—,—,Завершение процесса. ЭИД изготовлен,—,Завершение процесса. ЭИД изготовлен
14,Система арбитражного суда,—,Задача на выдачу бум. ИЛ,Создать задачу на выдачу бум. ИЛ,—,Система арбитражного суда создает в системе задачу на выдачу бум. ИЛ
15,Канцелярия/Секретарь СЗ/Помощник,—,—,Эксклюзивный шлюз. В кабинете суда имеются свободные новые бланк(и) ИЛ?,—,Эксклюзивный шлюз. В кабинете суда имеются свободные новые бланк(и) ИЛ?
16,Система арбитражного суда,—,Задача на пополнение бланков,Создать задачу на пополнение бланков,—,"Система создает задачу для лица, ответственного за выдачу новых бланков. Система формирует расписание, смотрит на загруженность помощника и лица, ответственного за выдачу, назначает помощнику время получения, отражает его в задаче."
17,Канцелярия/Секретарь СЗ/Помощник,—,Новый бланк,Получить новый бланк и закрыть задачу,—,Канцелярия/Секретарь СЗ/Помощник получает новый бланк и закрывает задачу
18,Канцелярия/Секретарь СЗ/Помощник,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
19,Система арбитражного суда,—,—,Создать задачу на электронную подпись ИЛ,—,Система арбитражного суда создает задачу на электронную подпись ИЛ
20,Судья,—,—,Подписать ЭП,—,Судья подписывает проекта ИЛ.
21,Канцелярия/Секретарь СЗ/Помощник,Подписанный проект ИЛ,Распечатанный ИЛ,Распечатать исполнительный лист на бланке,—,Канцелярия/Секретарь СЗ/Помощник распечатывает утвержденный проект ИЛ на бланке исполнительного листа.
22,Канцелярия/Секретарь СЗ/Помощник,Распечатанный ИЛ,Прошитый ИЛ,Прошить исполнительный лист,—,"Все листы исполнительного листа прошиваются на два прокола в верхнем левом углу через левый и верхний край листа прочной нитью (не менее двух оборотов в каждую сторону), концы которой связываются и выводятся на оборотную сторону последнего листа. Прошивка также может быть осуществлена методом вальцовки с пропуском в образовавшееся металлическое кольцо прочной нити не менее двух оборотов на каждую сторону листа. Канцелярия/Секретарь СЗ/Помощник прошивает исполнительный лист."
23,Канцелярия/Секретарь СЗ/Помощник,Прошитый ИЛ,ИЛ с листом-заверителем,Наклеить лист-заверитель к ИЛ,—,"Место прошивки заклеивается бумажной наклейкой (прямоугольной или квадратной формы, примерным размером от 45 до 55 мм на 35 до 45 мм), содержащей следующую удостоверительную надпись:""Настоящий исполнительный лист выполнен на ______ листах. Судья (подпись судьи/расшифровка подписи судьи), дата"". Наклейка должна закрывать место прошивки полностью, за пределы наклейки могут выходить только концы прошивных нитей, но не более чем на 2–2,5 см. Канцелярия/Секретарь СЗ/Помощник наклеивает лист заверитель."
24,Канцелярия/Секретарь СЗ/Помощник,ИЛ с листом-заверителем,—,Эксклюзивный шлюз. Необходимо сформировать сопроводительное письмо?,—,"Эксклюзивный шлюз. Канцелярия/Секретарь СЗ/Помощник решает, необходимо ли будет составить сопроводительное письмо, например для направления пакета документов по почте.Если «Да», то переход к шагу 21 процесса.Если «Нет», то переход к шагу 22 процесса."
25,Система арбитражного суда,ИЛ с листом-заверителем,—,Сформировать сопроводительное письмо,—,"Система формирует сопроводительное письмо в случае если создана задача на подготовку бумажного ИЛ, и ИЛ подписан ЭП. Если оно формируется, то мы уведомляем пользователя"
26,Канцелярия/Секретарь СЗ/Помощник,Сформированное системой сопроводительное письмо,Проверенное сопроводительное письмо,ТБП139.Проверить выводы системы,—,"Проверка корректности сопроводительного письма. Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
27,Канцелярия/Секретарь СЗ/Помощник,—,—,Параллельный шлюз,—,Параллельный шлюз
28,Канцелярия/Секретарь СЗ/Помощник,—,Оформленный ИЛ,Передать ИЛ на подпись судье,—,Канцелярия/Секретарь СЗ/Помощник передает заполненный и оформленный в соответствии с положениями Инструкции № 100 исполнительный лист на подпись судье.
29,Судья,Оформленный ИЛ,—,Получить ИЛ для подписания,—,"Судья получает исполнительный лист, проверяет его содержание и надлежащее заверение."
30,Судья,ИЛ,Подписанный ИЛ,Подписать ИЛ,—,Судья подписывает ИЛ
31,Судья,—,Подписанный ИЛ,Передать подписанный ИЛ,—,"Судья передает подписанный исполнительный лист сотруднику, от которого его получил для подписания."
32,Канцелярия/Секретарь СЗ/Помощник,Подписанный ИЛ,—,Получить подписанный ИЛ,—,Канцелярия/Секретарь СЗ/Помощник получают подписанный судьей ИЛ.
33,Канцелярия/Секретарь СЗ/Помощник,Подписанный ИЛ,ИЛ с гербовой печатью,Поставить гербовую печать,—,"Удостоверительная надпись опечатывается гербовой печатью арбитражного суда, которая ставится таким образом, чтобы частично захватывать бумажную наклейку, заклеивающую концы нити.На подготовленный исполнительный лист проставляется гербовая печать арбитражного суда."
34,Канцелярия/Секретарь СЗ/Помощник,ИЛ с гербовой печатью,Электронная копия Исполнительного листа,Отсканировать и сохранить в деле,—,ИЛ с гербовой печатью сканируется и сохраняется в деле
35,Система арбитражного суда,—,—,Сформировать задачу на подпись,—,Система арбитражного суда формирует задачу на подпись в системе
36,Судья,—,—,Подписать ЭП,—,Судья подписывает проекта ИЛ.
37,Канцелярия/Секретарь СЗ/Помощник,—,—,Параллельный шлюз,—,Параллельный шлюз
38,Система арбитражного суда,ИЛ с гербовой печатью,Распознанные данные в системе,Распознать данные и сохранить в деле,—,Система арбитражного суда с помощью OCR+LLM распознает отсканированный документ и сохраняет данные в деле
39,Канцелярия/Секретарь СЗ/Помощник,Распознанные данные в системе,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
40,Канцелярия/Секретарь СЗ/Помощник,—,—,Закрыть задачу на выдачу бум. ИЛ,—,Закрывается задача на выдачу бум. ИЛ
41,Система арбитражного суда,Данные о бланках,Запись в ИС,Сделать отметку в ИС суда о серии и  номере бланка(-ов) ИЛ,—,"Система суда проставляет отметку в электронном журнале о серии и номере бланка(-ов) ИЛ, которые подготовлены к отправке/выдаче."
42,Система арбитражного суда,Данные о бланках,Запись в журнал бланков,Проставить отметку в журнале бланков ИЛ,—,Система суда проставляет отметку в журнале бланков исполнительных листов.
43,Канцелярия/Секретарь СЗ/Помощник,Данные о выдаче,Запись в журнал выдачи,Заполнить журнал выдачи ИЛ,—,"Канцелярия/Секретарь СЗ/Помощник вносит запись в журнал выдачи ИЛ. В соответствии с положениями инструкции по делопроизводству № 100 о выдаче и направлении исполнительного листа секретарь судебного заседания (специалист судебного состава) делает отметку на оборотной стороне копии исполнительного листа и в журнале учета выдаваемых (направляемых) исполнительных листов в судебном составе, а также вводит информацию в САС."
44,Канцелярия/Секретарь СЗ/Помощник,"подписанный ИЛ и сопроводительное письмо, и СА по необходимости",—,Подготовить документы к передаче,—,"Сложить подписанный ИЛ и сопроводительное письмо, и СА по необходимости"
45,Канцелярия/Секретарь СЗ/Помощник,—,—,Завершение процесса. ИЛ изготовлен,—,Завершение процесса. ИЛ изготовлен
46,Канцелярия/Секретарь СЗ/Помощник,Испорченный ИЛ,—,Испорчен выданный ранее ИЛ,—,"Если Канцелярия/Секретарь СЗ/Помощник испортил выданный ИЛ, то происходи запуск событийного подпроцесса."
47,Канцелярия/Секретарь СЗ/Помощник,—,—,Создать задачу на погашение,—,Создается задача на погашение
48,Канцелярия/Секретарь СЗ/Помощник,—,Испорченный ИЛ,Передать испорченный ИЛ ответственному лицу,Не позднее следующего рабочего дня (таймер на шаге),"В случае порчи бланков исполнительных листов ответственный за делопроизводство в судебном составе не позднее следующего дня передает испорченные бланки под расписку ответственному сотруднику, ведущему учет бланков, который делает отметки в журнале учета бланков исполнительных листов о том, что бланк испорчен, указывает его номер и серию (положения Инструкции № 100)Канцелярия/Секретарь СЗ/Помощник передает бланк испорченного ИЛ ответственному лицу."
49,Канцелярия/Секретарь СЗ/Помощник,—,—,Эксклюзивный шлюз. Необходимо получить новый бланк ИЛ у ответственного лица?,—,"Эксклюзивный шлюз. Канцелярия/Секретарь СЗ/Помощник после того, как передал испорченный бланк ИЛ ответственному лицу, решает, есть ли у него необходимость получить новый бланк?Если «Да», то переход к шагу 47 процесса.Если «Нет», то переход к шагу 46 процесса."
50,Канцелярия/Секретарь СЗ/Помощник,—,—,Завершение процесса. Испорченный бланк ИЛ передан на погашение,—,Завершение процесса. Испорченный бланк ИЛ передан на погашение
51,Канцелярия/Секретарь СЗ/Помощник,—,Новый бланк ИЛ,Получить бланк исполнительного листа,—,"Ответственный сотрудник ведет журналы учета бланков исполнительных листов (приложение N 25 к Инструкции) и учета выдаваемых (направляемых) исполнительных листов на исполнение (приложение N 26 Инструкции).Канцелярия/Секретарь СЗ/Помощник получает бланк ИЛ у ответственного лица, ставит подпись за получения бланков ИЛ в журнале учета выдаваемых листов на исполнение."
52,Канцелярия/Секретарь СЗ/Помощник,—,—,переход к шагу 1,—,"Получив новый бланк ИЛ, Канцелярия/Секретарь СЗ/Помощник снова приступают к его оформлению, начиная процесс с шага 17 «Распечатать исполнительный лист на бланке». Происходит возврат в основной процесс к шагу 17. Событийный подпроцесс завершается."
53,"Лицо, ответственное за учет бланков ИЛ",Сообщение об испорченном бланке,—,Получен испорченный бланк,—,"Лицо, ответственное за учет бланков ИЛ, получило испорченный бланк ИЛ от сотрудника суда. Запускается процесс гашения испорченного бланка ИЛ, предусмотренный Инструкцией по делопроизводству № 100"
54,"Лицо, ответственное за учет бланков ИЛ",Испорченный бланк,—,Отсканировать и сохранить в деле,—,Испорченный бланк сканируется и сохраняется в деле
55,"Лицо, ответственное за учет бланков ИЛ",—,Распознанные данные,Распознать данные и сохранить в деле,—,Система арбитражного суда с помощью OCR+LLM распознает отсканированный документ и сохраняет данные в деле
56,"Лицо, ответственное за учет бланков ИЛ",Распознанные данные,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
57,"Лицо, ответственное за учет бланков ИЛ",—,—,Закрыть задачу на погашение,—,Закрывается задача на погашение
58,Система арбитражного суда,—,—,Сделать отметку в реестре учета бланков ИЛ,—,Система арбитражного суда делает отметку в электронном реестре
59,"Лицо, ответственное за учет бланков ИЛ",Испорченный бланк ИЛ,Погашенный бланк,Погасить ИЛ,—,"Испорченный исполнительный лист должен быть погашен. Для этого исполнительный лист (все его листы) перегибается пополам и прокалывается дыроколом около линии сгиба таким образом, чтобы образовалось четыре симметричных отверстия. Все листы бланка перечеркиваются по диагонали (от правого верхнего угла к нижнему левому) красным маркером, вдоль линии перечеркивания ручкой выполняется надпись ""Погашено"", указываются дата погашения исполнительного листа, фамилия, имя, отчество ответственного лица, осуществившего погашение листа, и ставится его подпись."
60,"Лицо, ответственное за учет бланков ИЛ",Погашенный бланк ИЛ,—,Подшить в номенклатурное дело,3 года с даты погашения,"Погашенный исполнительный лист подшивается в номенклатурное дело, специально заводимое для этих целей. Испорченные бланки исполнительных листов подлежат хранению в течение трех лет с даты их погашения."
61,"Лицо, ответственное за учет бланков ИЛ",—,—,Завершение процесса. Испорченный бланк ИЛ погашен,—,Завершение процесса. Испорченный бланк ИЛ погашен
