№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Канцелярия/Секретарь СЗ/Помощник,—,—,Начало процесса. Возникли основания для изготовления исполнительного листа (ЭИД),—,Начало процесса. Возникли основания для изготовления исполнительного листа (ЭИД)
1,Система арбитражного суда,"Вступивший в силу судебный акт/Судебный акт, подлежащий немедленному исполнению и основания для выдачи ИЛ",—,Определить необходимое количество ИЛ,—,"Система арбитражного суда с помощью OCR + LLM используя данные из ""Вступивший в силу судебный акт/Судебный акт, подлежащий немедленному исполнению и основания для выдачи ИЛ"" рассчитывает необходимое количество бумажных ИЛ исходя из длины текста СА. Электронный ИЛ всегда один"
2,Канцелярия/Секретарь СЗ/Помощник,Данные для формирования шаблона,Возможность формирования шаблона на основе данных системы,Эксклюзивный шлюз. Система обладает всеми возможными данными для формирования шаблона?,—,Эксклюзивный шлюз. Определяется возможность системы сформировать шаблон на основе доступных данных
3,Канцелярия/Секретарь СЗ/Помощник,—,Данные полученные из другой ИС,ТБП21.Направить автоматический запрос в другую ИС,—,"Типовой процесс ""Направить автоматический запрос в другую ИС"", результатом которого становится получение данных из другой ИС"
4,Канцелярия/Секретарь СЗ/Помощник,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
5,Система арбитражного суда,"Данные для формирования шаблона, полученные из системы или другой ИС",Заполненный шаблон ИЛ,Подготовить заполненный шаблон ИЛ,—,Система заполняет шаблон ИЛ на основе имеющихся данных и уведомляет пользователя
6,Канцелярия/Секретарь СЗ/Помощник,Заполненный шаблон ИЛ,Электронный ИЛ,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
7,Канцелярия/Секретарь СЗ/Помощник,"Вступивший в силу судебный акт/Судебный акт, подлежащий немедленному исполнению и основания для выдачи ИЛ",—,Эксклюзивный шлюз. Требуется сформировать бумажный ИЛ?,—,"Эксклюзивный шлюз. Канцелярия/Секретарь СЗ/Помощник принимает решение, будет ли необходимо сформировать бумажный исполнительный лист?Если «Да», переход к шагу 8 процесса;Если «Нет», то переход к шагу 3 процесса"
8,Судья,Проект ЭИД,"ЭИД, подписанный УКЭП судьи",Подписать ЭИД УКЭП,—,Судья проверяет правильность заполнения ЭИД в ИС суда и подписывает ЭИД усиленной квалифицированной ЭП.
9,Канцелярия/Секретарь СЗ/Помощник,"Вступивший в силу судебный акт/Судебный акт, подлежащий немедленному исполнению",—,Эксклюзивный шлюз. Исполнительный лист на обращение взыскания на средства бюджета?,—,"Эксклюзивный шлюз. Канцелярия/Секретарь СЗ/Помощник пришли к решению о необходимости оформления бумажного ИЛ. Канцелярия/Секретарь СЗ/Помощник изучает вынесенный СА, но основании которого выдается ИЛ и решает, будет ли по этому СА обращение взыскания на средства бюджета? Если «Да», то переход к шагу 9 процесса.Если «Нет», то переход к шагу 11 процесса."
