№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Заявитель (Кредитор/Уполномоченный орган),—,—,"Должник не исполняет обязательства, включенные в план реструктуризации долгов",—,"Должник не исполняет обязательства, включенные в план реструктуризации долгов"
1,Заявитель (Кредитор/Уполномоченный орган),—,Ходатайство об отмене плана реструктуризации долгов гражданина,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Заявитель формирует и подает ходатайство об отмене плана реструктуризации долгов гражданина через электронную форму подачи документов в суд. Система автоматически проверяет полноту и корректность документов."
2,Заявитель (Кредитор/Уполномоченный орган),—,—,Завершение процесса,—,Завершение процесса
3,Канцелярия,Ходатайство об отмене плана реструктуризации долгов гражданина,—,Поступило заявление,—,Суд получает ходатайство об отмене плана реструктуризации долгов гражданина от заявителя
4,Канцелярия,Ходатайство об отмене плана реструктуризации долгов гражданина,Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу ""Принять входящий документ"". При поступлении заявления в суд происходит автоматическая регистрация входящего документа и его распределение судье. Результатом этого ТП будет являться зарегистрированный документ"
5,Судья,Зарегистрированный документ,Судебный акт по вопросу о принятии,ТБП31.Рассмотреть вопрос о принятии,5 дней с даты поступления заявления,"Судья рассматривает вопрос о принятии заявления к производству. Переход к типовому процессу ""Рассмотреть вопрос о принятии"". По смыслу ст. 127 АПК РФ Арбитражный суд обязан принять к производству исковое заявление, поданное с соблюдением требований, предъявляемых к его форме и содержанию. Данный вопрос решается судьей единолично в течение 5 дней с момента поступления заявления"
6,Судья,Судебный акт по вопросу о принятии,—,Заявление принято к рассмотрению?,—,"Судья определяет, принято ли заявление к рассмотрению.Да: переход к шагу 28.Нет: переход к шагу 7"
7,Судья,—,—,6 месяцев с даты вступления в законную силу СА,6 месяцев с даты вступления в законную силу судебного акта,Судья ожидает 6 месяцев с даты вступления в законную силу судебного акта
8,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,—,"Переход к типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
9,Судья,—,—,Завершение процесса,—,Завершение процесса
10,Иные ЛУВД,Определение о принятии к производству,—,Получено уведомление о принятии,—,Иные ЛУВД получают определение о принятии заявления к производству
11,Иные ЛУВД,—,—,Ознакомиться с материалами дела в ЛК,—,Иные ЛУВД знакомятся с материалами дела в личном кабинете
12,Иные ЛУВД,—,—,Необходимо подать отзыв?,—,"Иные ЛУВД определяют, необходимо ли подать отзыв на заявление.Да: переход к шагу 14.Нет: переход к шагу 13"
13,Иные ЛУВД,—,—,Лицо ознакомлено.,—,Завершение процесса
14,Иные ЛУВД,—,Отзыв,ТБП7.Подать документы в суд,Срок установленный судом,"Переход к типовому процессу ""Подать документы в суд"". Иные ЛУВД формируют и подают отзыв на ходатайство об отмене плана реструктуризации долгов гражданина через электронную форму"
15,Система,—,—,Ограничить подачу,"",Система автоматически ограничивает подачу документов по истечении установленного срока
16,Иные ЛУВД,—,—,Ограничена подача в связи с окончанием срока установленного судом.,—,Завершение процесса
17,Иные ЛУВД,—,—,Завершение процесса,—,Завершение процесса
18,Заявитель (Кредитор/Уполномоченный орган),Определение о принятии к производству,—,Получено уведомление о принятии,—,Заявитель получает определение о принятии заявления к производству
19,Заявитель (Кредитор/Уполномоченный орган),—,—,Ознакомиться с материалами дела в ЛК,—,Заявитель знакомится с материалами дела в личном кабинете
20,Заявитель (Кредитор/Уполномоченный орган),—,—,Необходимо подать отзыв?,—,"Заявитель определяет, необходимо ли подать отзыв на заявление.Да: переход к шагу 22.Нет: переход к шагу 21"
21,Заявитель (Кредитор/Уполномоченный орган),—,—,Лицо ознакомлено.,—,Завершение процесса
22,Заявитель (Кредитор/Уполномоченный орган),—,Отзыв,ТБП7.Подать документы в суд,Срок установленный судом,"Переход к типовому процессу ""Подать документы в суд"". Заявитель формирует и подает отзыв на ходатайство об отмене плана реструктуризации долгов гражданина через электронную форму"
23,Система,—,—,Ограничить подачу,Срок установленный судом,Система автоматически ограничивает подачу документов по истечении установленного срока
24,Заявитель (Кредитор/Уполномоченный орган),—,—,Ограничена подача в связи с окончанием срока установленного судом.,—,Завершение процесса
25,Заявитель (Кредитор/Уполномоченный орган),—,—,Завершение процесса,—,Завершение процесса
26,Канцелярия,Отзывы на заявление,—,Поступили документы по делу,—,Канцелярия получает отзывы на ходатайство об отмене плана реструктуризации долгов гражданина
27,Канцелярия,Отзывы на заявление,Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу ""Принять входящий документ"". При поступлении документов в суд происходит автоматическая регистрация входящего документа и его распределение судье. Результатом этого ТП будет являться зарегистрированный документ"
28,Помощник судьи,"",—,Эксклюзивный шлюз,"",Эксклюзивный шлюз
29,Заявитель (Кредитор/ Уполномоченный орган),"","",Возникла необходимость в рассмотрении дела в своё отсутствие,"","Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)"
30,Заявитель (Кредитор/ Уполномоченный орган),—,Ходатайство о рассмотрении дела в отсутствие представителя,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"", в рамках которого Заявитель (Кредитор/ Уполномоченный орган) формирует и направляет ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причин"
31,Заявитель (Кредитор/ Уполномоченный орган),"","",Завершение процесса,"",Завершение процесса
32,Иные ЛУВД,—,—,Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)"
33,Иные ЛУВД,—,Ходатайство о рассмотрении дела в отсутствие представителя,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"", в рамках которого Иные ЛУВД формирует и направляет ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причин"
34,Иные ЛУВД,—,—,Завершение процесса,—,Завершение процесса
35,Канцелярия,Ходатайство о рассмотрении дела в отсутствие представителя,—,Поступил документ по делу,—,Канцелярия получает ходатайство о рассмотрении дела в отсутствие представителя
36,Канцелярия,Ходатайство о рассмотрении дела в отсутствие представителя,Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу ""Принять входящий документ"". При поступлении ходатайства в суд происходит автоматическая регистрация входящего документа и его распределение судье. Результатом этого ТП будет являться зарегистрированный документ"
37,Канцелярия,—,—,Входящий документ зарегистрирован,—,Завершение процесса
38,Помощник судьи,"",—,ТБП66.Подготовиться к СЗ,—,"Переход к типовому процессу ""Подготовиться к СЗ"". В ходе подготовки к СЗ помощник судьи будет проверять: извещены ли стороны о судебном заседании, будет собирать поступающие отзывы/возражения по делу, будет проведен предварительный анализ поступивших документов, ответов на запросы (если они были направлены), будет проверять был ли предоставлен доступ к ознакомлению с делом электронно всем сторонам и другие вопросы, подлежащие выяснению в рамках подготовки к проведению судебного заседания"
39,Судья,—,"Определение о назначении СЗ, протокол",ТБП68.Провести СЗ,—,"Переход к типовому процессу ""Провести СЗ"". В результате данного ТП Судья проводит СЗ для рассмотрения заявления об оспаривании сделок. О времени и месте судебного заседания арбитражный суд извещает лиц, участвующих в деле, и других участников арбитражного процесса. Судья в процессе судебного заседания совершает действия, регламентированные ст. 153 АПК РФ.Согласно ч.2 ст. 213.23 Федеральный закон от 26.10.2002 N 127-ФЗ (ред. от 31.07.2025): Ходатайство конкурсного кредитора или уполномоченного органа об отмене плана реструктуризации долгов гражданина рассматривается арбитражным судом в пятнадцатидневный срок с даты поступления данного ходатайства.Если на дату судебного заседания по рассмотрению ходатайства конкурсного кредитора или уполномоченного органа об отмене плана реструктуризации долгов гражданина он не исполнил обязательства перед конкурсным кредитором или уполномоченным органом в соответствии с условиями плана реструктуризации долгов гражданина, арбитражный суд отменяет указанный план."
40,Судья,—,—,Требуется приостановить производство по заявлению?,—,Определяется требуется ли приостановить производство по заявлению.Да: переход к шагу 41. Нет: переход к шагу 42
41,Судья,"Ходатайство о приостановлении, материалы дела",Определение о приостановленииОпределение об отказе о приостановленииОпределение о восстановлении производства,ТБП63.Рассмотреть вопрос о приостановлении,—,"Переход к типовому процессу ""Рассмотреть вопрос о приостановлении"". В результате ТП Судья рассматривает ходатайство о приостановлении производства по делу, анализирует представленные материалы и принимает соответствующее процессуальное решение.Приостановление: АС обязан приостановить дела согласно ст 143 АПК в связи со смертью гражданина, утратой дееспособности, невозможности рассмотрения данного дела до разрешения другого дела иным судом, участия гражданина, являющегося стороной в деле, в боевых действиях. АС в праве приостановить рассмотрение дела согласно ст 144 АПК в связи с реорганизацией ЮЛ, назначением экспертизы, для выполнения гражданином государственной обязанности, нахождением стороны в лечебном учреждении или длительной служебной командировке, участие ЕИО организации в боевых действиях"
42,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз для координации процесса
43,Судья,—,—,Возникла необходимость в замене судьи,—,Судья принимает решение о необходимости замены
44,Судья,—,Определение о замене судьи,ТБП28.Заменить судью,—,"Судья принимает решение о замене судьи. Согласно ст 18 АПК в случае замены судьи, арбитражного заседателя в процессе рассмотрения дела судебное разбирательство должно быть произведено с самого начала"
45,Судья,—,—,Замена судьи совершена.,—,Процесс замены судьи завершен
46,Судья,—,—,"Переход в ТП ""Переход к новому рассмотрению в зависимости от процесса""",—,"Переход в ТП ""Переход к новому рассмотрению в зависимости от процесса"""
