№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,"Заявление, принятое к производству",—,После принятия заявления к производству возникла необходимость рассмотреть вопрос об оставлении заявления без рассмотрения,—,"Судья инициирует процесс рассмотрения вопроса об оставлении заявления без рассмотрения в соответствии с гл. 17 АПК РФ.Для рассмотрения данного вопроса судье необходимо провести ряд проверок на соответствие заявления требованиям АПК и по основаниям, предусмотренным в ст. 148 АПК РФ."
1,Система,Дело/документы по делу,Запуск процесса анализа,Начать анализ дела,—,Система запускает проверки согласно правил.
2,Судья,—,—,Параллельный шлюз.,—,Параллельный шлюз для координации процессов. Запуск параллельных проверок.
3,Судья,—,Результат проверки тождественности,ТБП45.Проверить тождественность,—,"Переход к типовому процессу «Проверить тождественность».Тождественными дела являются, когда в производстве суда уже имеется дело по спору между теми же лицами, о том же предмете и по тем же основаниям (п. 1 ч. 1 ст. 148 АПК РФ). В рамках процесса судья выявляет факт или отсутствие факта тождественности дел.Автоматическая проверка по базе данных ранее рассмотренных дел"
4,Судья,—,—,Нужно проверить соблюдение досудебного урегулирования спора?Эксклюзивный шлюз.,—,"Проверка необходимости соблюдения досудебного порядка урегулирования спора в соответствии с п. 2. ч.1 ст. 148 АПК РФ. Проверка соблюдения досудебного урегулирования спора необходима всегда, кроме случаев, если его соблюдение не предусмотрено федеральным законом.Автоматическая проверка категории спора и требований к досудебному урегулированиюЕсли «Да» - переход к шагу 4,Если «Нет» - переход к шагу 5"
5,Система,"Заявление, документы о соблюдении досудебного порядка",Результат проверки,Проверить соблюдение досудебного порядка урегулирования спора,—,"Судья проверяет соблюдение заявителем досудебного порядка урегулирования спора в случаях, предусмотренных законом."
6,Судья,—,—,Эксклюзивный шлюз.,—,Эксклюзивный закрывающий шлюз.
7,Судья,—,—,"Есть требования, которые должны быть рассмотрены в деле о банкротстве?Эксклюзивный шлюз.",—,"Если заявлено требование, которое в соответствии с ФЗ должно быть рассмотрено в деле о банкротстве, такое заявление оставляется без рассмотрения;Судья осуществляет проверку наличия требований, подлежащих рассмотрению в рамках дела о банкротстве.Если «Да» - переход к шагу 7,Если «Нет» - переход к шагу 10"
8,Система,Сведения об ответчике из заявления,Информация о деле о банкротстве,Найти дело о банкротстве в отношении ответчика,—,Автоматический поиск в базе данных арбитражных судов.
9,Система,Информация о деле о банкротстве,Результат проверки процедуры банкротства,Проверить процедуру,—,Система проверяет информацию в деле о банкротстве
10,Система,Заявленные требования,Результат анализа требований,Проверить требования,—,Система согласно поданных данных автоматически классифицирует требований
11,Судья,—,—,Эксклюзивный шлюз.,—,Эксклюзивный закрывающий шлюз.
12,Судья,—,—,Заявленное требование подлежит рассмотрению в порядке ст. 112 АПК РФ?Эксклюзивный шлюз.,—,"Если заявлено исковое требование о взыскании судебных расходов, которое подлежит рассмотрению в соответствии со статьей 112 настоящего Кодекса (п. 8 ч.1 ст. 148 АПК РФ), то такое заявление должно быть оставлено без рассмотрения.Судья решает вопрос о том, относится ли требования к категории требований о судебных расходах.Автоматическая проверка критериев упрощенного производстваЕсли «Да» - переход к шагу 12,Если «Нет» - переход к шагу 13"
13,Система,—,—,Установить основания для оставления без рассмотрения,—,Система устанавливает наличие основания для оставления заявления без рассмотрения ввиду наличия требования о судебных расходах.
14,Судья,—,—,Эксклюзивный шлюз.,—,Эксклюзивный закрывающий шлюз.
15,Система,Соглашение о рассмотрении спора третейским судом (при наличии),Результат проверки соглашения,Проверить соглашение о рассмотрении спора третейским судом,—,"В соответствии с п. 5 ч. 1 ст. 148 АПК РФ, заявление оставляется без рассмотрения, если имеется соглашение сторон о рассмотрении данного спора третейским судом, если любая из сторон не позднее дня представления своего первого заявления по существу спора в арбитражном суде первой инстанции заявит по этому основанию возражение в отношении рассмотрения дела в арбитражном суде, за исключением случаев, если арбитражный суд установит, что это соглашение недействительно, утратило силу или не может быть исполнено.Судья проверяет наличие и действительность соглашения о рассмотрении спора третейским судом."
16,Судья,Заявление,—,Соглашение есть?Эксклюзивный шлюз.,—,"Автоматический поиск соглашений в документах делаЕсли «Да» - переход к шагу 17,Если «Нет» - переход к шагу 22."
17,Судья,Соглашение о рассмотрении спора третейским судом,—,Сторона возражала о рассмотрении дела в арбитраже?Эксклюзивный шлюз.,—,"Автоматическая проверка возражений в материалах делаЕсли «Да» - переход к шагу 18,Если «Нет» - переход к шагу 21"
18,Судья,Соглашение о рассмотрении спора третейским судом,—,Соглашение недействительно/утратило силу/не может быть исполнено?Эксклюзивный шлюз.,—,"Автоматическая проверка статуса соглашений согласно правилЕсли «Да» - переход к шагу 19,Если «Нет» - переход к шагу 20"
19,Система,Соглашение,Заключение об отсутствии оснований,Установить отсутствие оснований для оставления без рассмотрения,—,Система устанавливает отсутствие оснований для оставления заявления без рассмотрения при отсутствия наличия/ недействительности соглашения о рассмотрении спора третейским судом
20,Судья,—,—,Эксклюзивный шлюз.,—,Эксклюзивный закрывающий шлюз.
21,Судья,—,—,Эксклюзивный шлюз.,—,Эксклюзивный закрывающий шлюз.
22,Судья,—,—,Эксклюзивный шлюз.,—,Эксклюзивный закрывающий шлюз.
