№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
29,Сотрудник ответственный за ведение стат. отчетности,Подписанный исполнителем сводный оперативный отчет суда,Реестр передачи,Передать отчет,"",Сотрудник ответственный за ведение статистической отчетности передает подготовленный отчет председателю
30,Председатель суда,Реестр передачи,Подписанный исполнителем сводный оперативный отчет суда,Получить отчет,"",Председатель суда получает оперативный отчет.
31,Председатель суда,Подписанный исполнителем сводный оперативный отчет суда,"",Ознакомиться с отчетом,"",Председатель суда знакомиться с отчетом.
32,Председатель суда,Подписанный исполнителем сводный оперативный отчет суда,Проверенный оперативный отчет суда,Проверить отчет,"",Председатель суда проверяет полноту и достоверность сведений в отчете.
33,Председатель суда,"","",Отчет корректен? Эксклюзивный шлюз,"","Председатель суда определяет корректность данных в отчете.Эксклюзивный шлюзПереход к шагам 37, 34"
34,Председатель суда,Проверенный оперативный отчет суда,Подписанный оперативный отчет суда,Подписать отчет,"",Председатель суда подписывает согласованный отчет.
35,Председатель суда,Подписанный оперативный отчет суда,"",Использовать отчет в работе,"",Председатель суда использует отчет в работе для обеспечения качественного и своевременного рассмотрения дел с учетом нагрузки и специализации судей и для проведения аналитической работы.
36,Председатель суда,"","",Завершение процесса,"",Завершение процесса
37,Председатель суда,Проверенный отчет с ошибками,Проверенный отчет с ошибкамиЗамечания,Передать замечания ,"",Председатель суда при выявлении ошибок передает замечания сотруднику ответственному за ведение статистической отчетности
38,Сотрудник ответственный за ведение стат. отчетности,Проверенный отчет с ошибкамиЗамечания,"",Получить замечания ,"",Сотрудник ответственный за ведение статистической отчетности получает замечания и ошибки в отчете
39,Сотрудник ответственный за ведение стат. отчетности,Замечания,Исправленный оперативный отчет суда,Внести изменения в отчет,"",Сотрудник ответственный за ведение статистической отчетности получает получает информацию об ошибках и вносит изменения в отчет по суду.
40,Сотрудник ответственный за ведение стат. отчетности,"","",Переход к шагу 27,"",После исправлений отчета сотрудник ответственный за ведение статистической отчетности передает новый отчет с исправлениями на согласование
