№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,—,—,Возникла необходимость рассмотреть вопрос об отказе в принятии,—,"Судья приходит к необходимости осуществить проверки поступившего документа на предмет наличия оснований для отказа в принятии.Отказ в принятии является решением суда о том, что поступивший документ (заявление) не подлежит рассмотрению в данном суде, и, следовательно, в принятии его к рассмотрению должно быть отказано.Отказ в принятии искового заявления, заявления препятствует повторному обращению в суд с такими заявлениями к тому же ответчику, о том же предмете и по тем же основаниям (ст. 127.1 АПК РФ)."
1,Судья,—,—,Параллельный шлюз, —,Открытие параллельного шлюза
2,Судья,Заявление (первичный документ),Результат проверки на соблюдение правил подсудности,ТБП19.Проверить подсудность,—,"Переход к типовому процессу «Проверить подсудность». В рамках данного процесса судья осуществляет проверку соблюдения правил подсудности (на соответствие требованиям ст. 34 АПК РФ).Результатом данного ТП является решение о соблюдении или несоблюдении правил подсудности при подаче документа лицом.Проверка подсудности необходима ввиду того, что одно из оснований отказа в рассмотрении является несоблюдение подсудности.Автоматическая проверка подсудности по реквизитам сторон и категории дела"
3,Судья,Заявление (первичный документ),Результат проверки наличия тождественных дел,ТБП45.Проверить тождественность,—,"Переход к типовому процессу «Проверить тождественность». В рамках данного процесса судья осуществляет поиск тождественных дел (то есть выясняет вопрос о наличии дел между теми же сторонами, по одному предмету и основаниям).Если найдено тождественное дело, это является одним из оснований для принятия решения об отказе в рассмотрении.Исключение составляют случаи, если арбитражный суд отказал в признании и приведении в исполнение решения иностранного суда."
4,Судья,Результат проверки наличия тождественных дел,—,Тождественность установлена?,—,"Автоматическое принятие решения на основе результатов алгоритма поиска тождественных делСудья принимает решение об установлении тождественности. Если «Да» - переход к шагу 5, если «Нет» - переход к шагу 6"
5,Судья,—,—,АС отказал в признании и исполнении решения иностранного суда?,—,"Отказ в признании и исполнения решения иностранного суда является одним из исключений из правил проверки тождественности.Если арбитражный суд отказал в признании и приведении в исполнение решения иностранного суда, то несмотря на тождественность отказать в принятии нельзя.Если «Да» - переход к шагу 7, если «Нет» - переход к шагу 6.Автоматическая проверка категории тождественного дела в информационной системе"
6,Судья,—,—,Эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз 
7,Система,Документы по делу,Поиск и анализ документов и рекомендация дальнейших действий на основе практики.,Сформировать рекомендацию,—,"OCR LLMИзучение документов подтверждающих отказ в признании и исполнении решения иностранного суда, Формирование рекомендации и добавление ссылок на документы основания.Создать событие"
8,Система,Рекомендация готова,Уведомление пользователю о готовности,Уведомить пользователя,—,"Система уведомляет пользователя в событии с рекомендацией.Если АС отказал в признании и приведении в исполнение решения иностранного суда, то несмотря на тождественность отказать в принятии нельзя."
9,Судья,Уведомление и рекомендация системы,Решение судьи,ТБП139.Проверить выводы системы,—,Судья ознакамливается с рекомендацией и делает вывод
10,Судья,—,—,Эксклюзивный шлюз,"",Закрывающий эксклюзивный шлюз 
11,Судья,Заявление (первичный документ),Результат проверки наличия тождественных дел,Проверить тождественность решению Третейского суда,—,"Система осуществляет поиск тождественных дел (то есть выясняет вопрос о наличии дел между теми же сторонами, по одному предмету и основаниям).Если найдено тождественное дело, это является одним из оснований для принятия решения об отказе в рассмотрении.Исключение составляют случаи, если арбитражный суд отказал в признании и приведении в исполнение решения иностранного суда.Данные сохраняются для использования в шаге 15"
12,Судья,Результат проверки тождественности среди решений Третейских судов,—,Найдено тождественное решение?,—,"Если «Да» - переход к шагу 13, если «Нет» - переход к шагу 14."
13,Судья,Результат проверки тождественности среди решений Третейских судов,—,АС отменил указанное решение?,—,"Судья проверяет, отменял ли арбитражный суд указанное решение третейского суда. Если «Да» - переход к шагу 15, если «Нет» - переход к шагу 14"
14,Судья,—,—,Эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз 
15,Система,Документы по делу,Поиск и анализ документов и рекомендация дальнейших действий на основе практики.,Сформировать рекомендацию,—,"OCR LLMИзучение документов подтверждающих отмену решения Третейского суда, Формирование рекомендации и добавление ссылок на документы основания.Создать событие"
16,Система,Рекомендация готова,Уведомление пользователю о готовности,Уведомить пользователя,—,Система уведомляет пользователя в событии с рекомендацией.
17,Судья,Уведомление и рекомендация системы,Решение судьи,ТБП139.Проверить выводы системы,—,"Если АС отказал в выдаче исполнительного листа на принудительное исполнение решения третейского суда либо если арбитражный суд отменил указанное решение, то несмотря на тождественность отказать в принятии нельзя"
18,Судья,—,—,Эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз 
19,Судья,—,—,Параллельный шлюз,—,Закрывающий параллельный шлюз 
20,Судья,Результат проверок,—,Вопрос об отказе в принятии заявления о выдаче судебного приказа?,—,"В случае, если рассматривается вопрос о выдаче судебного приказа, законодатель предусматривает особенности (ст. 229.4 АПК РФ).В случае судебного приказа проводятся те же проверки, что и на прошлых шагах, но также проверяются иные особенности.К специфичным требованиям, относящимся только к заявлению о выдаче судебного приказа, относится следующее:1) заявлено требование, не предусмотренное статьей 229.2 АПК РФ;2) место жительства или место нахождения должника находится вне пределов Российской Федерации;3) из заявления о выдаче судебного приказа и приложенных к нему документов усматривается наличие спора о праве.Автоматическое определение категории заявления по типу процессуального документаЕсли «Да» - переход к шагу 22, если «Нет» - переход к шагу 21."
21,Судья,—,—,Эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз 
22,Система,ПД и другие документы по делу,Вывод на основе анализы,Анализировать правила,—,"Система проводит анализ и создает рекомендации применяя OCR + LLM на основе данных из ПД и других документов по делу и правилам ст.229.2 АПКПравила из статьиСудебный приказ выдается по делам, в которых:1) требования вытекают из неисполнения или ненадлежащего исполнения договора и основаны на представленных взыскателем документах, устанавливающих денежные обязательства, если цена заявленных требований не превышает семьсот пятьдесят тысяч рублей;(в ред. Федеральных законов от 28.11.2018 N 451-ФЗ, от 25.12.2023 N 667-ФЗ)(см. текст в предыдущей редакции)2) требование основано на совершенном нотариусом протесте векселя в неплатеже, неакцепте и недатировании акцепта, если цена заявленного требования не превышает семьсот пятьдесят тысяч рублей;(в ред. Федеральных законов от 28.11.2018 N 451-ФЗ, от 25.12.2023 N 667-ФЗ)(см. текст в предыдущей редакции)3) заявлено требование о взыскании обязательных платежей и санкций, если указанный в заявлении общий размер подлежащей взысканию денежной суммы не превышает сто тысяч рублей.Проверить спор о праве.Статья 229.4. Основания для возвращения заявления о выдаче судебного приказа или отказа в его принятии.Арбитражный суд отказывает в принятии заявления о выдаче судебного приказа по основаниям, предусмотренным статьей 127.1 настоящего Кодекса, а также в случаях, если из заявления о выдаче судебного приказа и приложенных к нему документов усматривается наличие спора о праве."
23,Система,Результат анализа,Уведомление пользователя,Сформировать рекомендацию,—,Система создает событие с рекомендацией и ссылками на документы подтверждающие её и уведомляет пользователя 
24,Судья,Уведомление от системы,Решение пользователя,ТБП139.Проверить выводы системы,—,"Переход к типовому процессу ""Проверить выводы системы""Пользователь ознакамливается с анализом системы и проверяет факты, при нахождении ошибок формируется отчет об ошибках для дообучения моделей"
25,Система,Общий анализ согласно всем документов и проверок,Уведомление пользователя,Сформировать рекомендацию,—,Система формирует общий вывод на основании всех рекомендаций и документов 
26,Судья,Уведомление от системы,Решение пользователя по анализу системы,ТБП139.Проверить выводы системы,—,"Переход к типовому процессу ""Проверить выводы системы""Пользователь ознакамливается с анализом системы и проверяет факты, при нахождении ошибок формируется отчет об ошибках для дообучения моделей"
27,Судья,Все данные и рекомендации,Решение пользователя по вопросу,Принять решение по вопросу,—,Судья рассматривает вопрос о возвращении
28,Судья,Результаты проведенных проверок,—,Проверки пройдены успешно?Эксклюзивный шлюз,—,"Судья консолидирует результаты проверок для принятия итогового решения.Автоматическое принятие решения на основе совокупности всех результатов проверокЕсли «Да» - переход к шагу 29, если «Нет» - переход к шагу 30"
29,Судья,—,—,Переход в процесс рассмотреть вопрос о принятии,—,"Судья переходит к процессу рассмотрения вопроса о принятии заявления, поскольку оснований для отказа в принятии не выявлено.Автоматический переход к процессу принятия при отсутствии оснований для отказа"
30,Судья,Результаты проведенных проверок,—,Нужно провести возврат госпошлины?Эксклюзивный шлюз,—,"Судья определяет необходимость возврата государственной пошлины при отказе в принятии заявления.Автоматическое определение необходимости возврата госпошлины на основании категории отказаЕсли «Да» - переход к шагу 31, если «Нет» - переход к шагу 32"
31,Судья,Результаты проведенных проверок,—,ТБП41.Провести возврат госпошлины,—,"Переход к типовому процессу ""Провести возврат госпошлины""Судья определяет необходимость возврата государственной пошлины при отказе в принятии заявления.Автоматическое определение необходимости возврата госпошлины на основании категории отказа"
32,Судья,—,—,Эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз 
33,Судья,Результаты проведенных проверок,Определение об отказе в принятии заявления к рассмотрению,ТБП80.Принять СА,5 дней со дня поступления документа,"Переход к типовому процессу «Принять СА».Судья принимает судебный акт (определение) об отказе в принятии заявления с указанием конкретных оснований отказа, а также с указанием возврата госпошлины (в случае, если было принято такое решение).Автоматическая генерация по шаблону определения об отказе на основе выявленных оснований"
34,Судья,Список документов,Отмеченные документы для возврата,Выбрать документы для формирования пакета и возвращения,—,"Система предоставляет возможность запустить процесс формирование сопроводительного письма, в системе требуется предоставить возможность пользователю выбрать пакет документов для возврата пользователю. Данный список будет использоваться в сопроводительном письме."
35,Помощник судьи,Проект сопроводительного письма,Сопроводительное письмо,ТБП49.Сформировать и подписать документ,—,Переход к типовому процессу «Сформировать и подписать документ».В рамках данного процесса помощник судьи формирует итоговый вариант сопроводительного письма и обеспечивает его подписание. Автоматическое формирование документа с электронной подписью
36,Канцелярия,—,Комплект документов,ТБП46.Направить документ,—,"Переход к типовому процессу «Направить документ», в рамках которого канцелярия направляет подготовленный комплект документов заявителю. Автоматическая отправка документов с уведомлением о доставке"
37,Канцелярия,Данные для отправки,Отправление документов,Завершение процесса,—,Процесс завершён. Определение об отказе направлено заявителю
38,Заявитель,Определение об отказе в принятии заявления к рассмотрению,—,Получено определение об отказе,—,Заявитель получает определение арбитражного суда об отказе в принятии заявления.
39,Система,Входящие документы от суда,Уведомление пользователя ,Уведомить пользователя,—,Система в личном кабинете уведомляет пользовтеля
40,Заявитель,Определение об отказе в принятии заявления к рассмотрению,—,Ознакомиться,—,Заявитель изучает содержание определения об отказе в принятии и основания отказа.
41,Система,Данные о дате и времени доставки и прочтения,Отправка данных в систему суда ,Записать данные о дате и времени доставки и уведомления,—,Система фиксирует данные о дате и времени поступления документов заявителю и дату и время ознакомления.
42,Заявитель,—,—,Есть основания для обжалования?,—,"Заявитель принимает решение о наличии оснований для обжалования определения.Если «Да» - переход к шагу 39, если «Нет» - переход к шагу 40."
43,Заявитель,—,—,Переход к процессу апелляционного обжалования,—,Заявитель переходит к процедуре подачи апелляционной жалобы на определение об отказе в принятии
44,Заявитель,—,—,Завершение процесса,—,Процесс завершён. Оснований для обжалования нет
