№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,"Лицо, передающее документ ",Необходимость передачи внутреннего (не процессуального) документа,—,Возникла необходимость передать документ внутри суда,—,"Схема отражает полный цикл передачи не процессуальных документов внутри суда. Лицо, передающее документ, принимает решение о необходимости передачи документа внутри суда. Старт процесса."
1,"Лицо, передающее документ ",—,—,Выбрать документ для передачи,—,"Судья выбирает в системе и отмечает документ, который необходимо передать"
2,"Лицо, передающее документ ",—,—,Указать кому и почему передается документ,—,"Лицо, передающее документ, определяет ответственное лицо или отдел для передачи документа и указывает соответствующие данные в системе"
3,Система,—,—,Внести информацию в реестр,—,Система вносит информацию о документе и о лице в реестр передачи
4,Система,—,Запись в реестре передачи,Сформировать запись в  реестре передачи,—,"Система формирует соответствующую запись (о документе, о лице) в реестре передачи, который представляет из себя отдельный глобальный отчет суда, в котором ведется запись о том: кто; когда; почему; что передал; принят или не принят документ; причина отказа, если документ не принят. "
5,Система,—,—,Передать  документ и ссылку на запись в реестре,—,"Система направляет документ и ссылку на запись в реестре ответственному лицу/отделу, которые будут принимать документ. Документ изымается из сущности в которой находится и переносится в новую. Если документ передается лицу или отделу, то в задаче на прием документа необходимо выбрать место для сохранения документа "
6,Система,—,Задача для приема документа,Создать задачу для приема документа,—,"Система создает задачу и ставит в ней ответственное лицо (лицо, которому был передан документ). В задаче делается указание на сам документ и ссылку на запись в реестре."
7,Система,—,Запись в истории дела/документа,Сохранить данные,—,Система сохраняет данные о факте передачи документа. Дополнительно создается соответствующая запись в истории дела и/или документа 
8,"Лицо/отдел, принимающее документ ",—,—,Получить документ и ссылку на запись в реестре,—,"Лицо/отдел, принимающее документ получает документ и ссылку на запись в реестре из поставленной на него задачи."
9,"Лицо/отдел, принимающее документ ",—,—,Сверить с причиной передачи реестром,—,"Лицо/отдел, принимающее документ проверяет причину передачи реестром на корректность для решения вопроса о принятии документа."
10,"Лицо/отдел, принимающее документ ",Причина передачи реестром,—,Причина передачи корректна? Эксклюзивный шлюз.,—,Если Да: переход к шагу 17 Если Нет: переход к шагу 11
11,"Лицо/отдел, принимающее документ ",—,—,Закрыть задачу и отказать в приеме документа,—,"Лицо/отдел, принимающее документ, закрывает задачу и отказывает в приеме документа."
12,Система,—,—,Вернуть документ и ссылку на запись в реестре,—,"Система возвращает документ и ссылку на запись в реестре лицу, которое документ направляло, для ознакомления с отказом."
13,Система,—,Задача для ознакомления с отказом,Создать задачу для ознакомления с отказом,—,"Система формирует задачу для ознакомления с отказом с указанием причины отказа от приема документа, ставит ответственного в виде лица, передававшего документ изначально."
14,Система,—,Запись в истории дела/документа,Сохранить данные,—,Система сохраняет данные об отказе. Дополнительно создается соответствующая запись в истории дела и/или документа 
15,"Лицо, передающее документ ",—,—,Закрыть задачу для ознакомления,—,"После ознакомления с содержанием причин отказа в приеме документа, лицо, передающее документ, закрывает задачу."
16,"Лицо/отдел, принимающее документ ",—,—,Завершение процесса. Документ не передан.,—,Документ не передан. При необходимости передачи процесс начнется с первого шага. 
17,"Лицо/отдел, принимающее документ ",—,—,Закрыть задачу и одобрить прием документа,—,"Лицо/отдел, принимающее документ, закрывает задачу и подтверждает прием документа."
18,Система,—,—,Закрепить ответственного за документом,—,"Система фиксирует в реестре, карточке ФИО ответственного за документ сотрудника."
19,"Лицо/отдел, принимающее документ ",—,Запись в истории дела/документа,Сохранить данные,—,Система сохраняет данные об ответственном сотруднике и о факте передачи документа. Дополнительно создается соответствующая запись в истории дела и/или документа 
20,"Лицо/отдел, принимающее документ ",—,—,Документ передан,—,Процесс успешно завершен. Документ передан.
