№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,Ходатайство об ознакомлении с материалами дела,__, Возникла необходимость ознакомить с протоколом СЗ. Стартовое событие,__," В систему поступило ходатайство от стороны об ознакомлении с протоколом СЗ. Судья, принимает решение о необходимости ознакомить ЛУВД с протоколом СЗ. Старт процесса"
1,Судья,__,__,"Поставить задачу ""Ознакомить с протоколом СЗ",__,Судья ставить в системе задачу на помощника судьи/ секретаря СЗ на ознакомление ЛУВД с материалами дела. 
2,Помощник/секретарь СЗ,Уведомление о задаче,__,Получить задачу на ознакомление,__,"Помощник/секретарь СЗ получает уведомление в системе, о том, что на него поставлена задача на ознакомление ЛУВД с материалами дела."
3,Помощник/секретарь СЗ,__,__,Выбрать протокол и(или)аудио-файл протокола,__,"Помощник/секретарь СЗ выбирает в системе необходимые файлы для ознакомления ЛУВД, проставляя галочки в чекбоксе напротив необходимого документа в карточке дела"
4,Система,__,__, Открыть доступ к материалам дела,__,"Система открывает доступ к выбранным материалам дела для указанных ЛУВД и спрашивает у инициатора, действительно ли нужно предоставить доступ к указанным материалам дела."
5,Помощник/секретарь СЗ,__,__,Подтвердить открытие доступа,__,Помощник/секретарь СЗ подтверждает предоставление доступа к указанным материалам.
6,Система,__,Уведомление о предоставлении доступа,Направить уведомление,__,"Система направляет уведомление ЛК ЛУВД о том, что им открыт доступ к протоколу СЗ и (или) аудиопротоколу СЗ"
7,Помощник/секретарь СЗ,__,__,Лицо ознакомлено с протоколом и (или)аудиопротоколом СЗ. Завершающее событие,__,Завершение процесса ознакомления с протоколом СЗ. Лицо ознакомлено с протоколом и (или)аудиопротоколом СЗ.
8,ЛУВД,Уведомление о предоставлении доступа,__, Уведомление об ознакомление с протоколом СЗ,__,ЛУВД в своем ЛК получает уведомление о предоставлении ему доступа для ознакомления с протоколом СЗ и (или)аудиопротоколом СЗ.
9,ЛУВД,__,__,Ознакомиться,__, ЛУВД знакомятся с протоколом СЗ и (или)аудиопротоколом СЗ.
10,Система,__,__,Вернуть дату и время ознакомления,__,Из ЛК ЛУВД в Систему суда возвращается информация о дате и времени ознакомления ЛУВД с протоколом СЗ и (или)аудиопротоколом СЗ.
11,ЛУВД,__,__,Необходимо подать замечания? Эксклюзивный шлюз,__,"ЛУВД решает есть ли необходимость подать замечания на протокол СЗ.Если «Да», то переход к шагу 13Если «Нет», то переход к шагу12"
12,ЛУВД,__,__,ЛУВД ознакомлено с протоколом. Завершающее событие,__,ЛУВД ознакомлено с протоколом. Завершение процесса на пуле ЛУВД
13,ЛУВД,__,Замечания на протокол СЗ,Переход к типовому процессу «Подать документы в суд»,5 дней со дня подписания протокола,"Переход к типовому процессу «Подать документы в суд», результатом которого будет направленные через ЛК пользователя замечания на протокол СЗ в систему суда. ЛУВД могут подать замечания на протокол СЗ в течении 5 дней со дня подписания протокола"
14,ЛУВД,__,__,ЛУВД направили замечания на протокол. Завершающее событие, __,ЛУВД направили замечания на протокол. Завершение процесса на пуле ЛУВД
15,Канцелярия,Замечания на протокол СЗ,__,Получены замечания. Стартовое событие,__,Канцелярия суда получает поданные через ЛК пользователя замечания на протокол СЗ от ЛУВД
16,Канцелярия,__,__,Переход к типовому процессу «Принять входящий документ»,__,"Переход к типовому процессу «Принять входящий документ», результатом которого будет принятые, зарегистрированные и переданные судье замечания на протокол СЗ от ЛУВД"
17,Система,__,__,Анализировать поданные замечания на протокол СЗ,__,Система получает информацию о зарегистрированных замечаниях на протокол СЗ в система. Система анализирует поступившие замечания
18,Система,__,__,Замечания поданы в установленный срок? Эксклюзивный шлюз,__,"Система проверяет замечания поданы в установленный законом срок?Если «Да», то переход к шагу 27Если «Нет», то переход к шагу 19"
19,Система,__,__,Имеется ходатайство о восстановлении пропущенного срока? Эксклюзивный шлюз,__,"Система проверяет ходатайство о восстановлении пропущенного срока подано вместе с замечаниями?Если «Да», то переход к шагу 20Если «Нет», то переход к шагу 23"
20,Система,__,__,Уведомить пользователя,__,Система уведомляет пользователя о необходимости рассмотреть ходатайство о восстановлении пропущенного срока.
21,Судья,Ходатайство о восстановлении пропущенного срока,"",Переход к типовому процессу «Рассмотреть вопрос о продлении/восстановлении срока»,"","Переход к типовому процессу «Рассмотреть вопрос о продлении/восстановлении срока», результатом которого будет рассмотренное ходатайство о продлении срока "
22,Система,__,"",Срок восстановлен? Эксклюзивный шлюз,"","Система проверяет был ли восстановлено срок для подачи замечаний?Если «Да», то переход к шагу 20Если «Нет», то переход к шагу 23"
23,Система,__,"",Уведомить пользователя,"","Система уведомляет пользователя о том, что замечания поданы с нарушением срока и нет ходатайства о его восстановлении."
24,Система,__,"",Закрывающий шлюз,"","Закрывающий шлюз, объединяющий потоки шага 22 и 23 процесса."
25,Система,__,Определение о возвращении замечаний,Переход к типовому процессу «Рассмотреть вопрос о возвращении»,"","Переход к типовому процессу «Рассмотреть вопрос о возвращении», результатом которого будет вынесенное судьей Определение о возвращении замечаний"
26,Система,__,__,Завершающее событие,"","Завершение процесса, замечания возвращены заявителю в связи с пропуском срока их подачи."
27,Система,__,__,Закрывающий шлюз,"","Закрывающий шлюз, объединяющий потоки шага 22 и 18 процесса."
28,Система,__,__,Параллельный шлюз,"",Параллельный шлюз для координации процессов. Дальнейшие проверки системой на шаге 29 и 30 происходят параллельно.
29,Система,__,__,Проверить полноту составления протокола СЗ,"",Система проверяет полноту составления протокола СЗ
30,Система,__,__,Проверить правильность составления протокола СЗ,"",Система проверяет правильность составления протокола СЗ
31,Система,__,__,Закрывающий шлюз,"",Закрывающий шлюз для шага 28 процесса
32,Система,__,Протокол проверки,Сформировать отчет,"","Система формирует отчет в виде протокола проверки, в котором указывает выводы по проведенному анализу."
33,Система,__,__,Уведомить пользователя,"",Система уведомляет пользователя о необходимости валидации выводов системы.
34,Судья,__,__,Переход к типовому процессу «Проверить выводы системы»,"","Система, после проведенного предварительного анализа дела, предлагает пользователю проверить выводы системы. Переход к типовому процессу «Проверить выводы системы», результатом которой будет провалидированные судьей выводе системы по анализу дела с внесением корректировок, если это необходимо и сохранением в системе результатов валидации."
35,Судья,__,__,Принять решение по поданным замечаниям,"",Судья принимает окончательное решение по поданным замечаниям и подтверждает свое решение в системе
36,Система,__,__,Есть основания для принятия замечаний? Эксклюзивный шлюз,"","Система на основании проведенного анализа смотрит есть ли основания для принятия замечаний?Если «Да», то переход к шагу 37Если «Нет», то переход к шагу 38"
37,Система,__,Определение о принятии замечаний,Переход к типовому процессу «Принять СА»,1 день со дня поступления замечаний,"Переход к типовому процессу «Принять СА», результатом которого будет вынесенное судьей определение о принятии замечаний "
38,Система,__,Определение об отклонении замечаний на протокол,Переход к типовому процессу «Принять СА»,1 день со дня поступления замечаний,"Переход к типовому процессу «Принять СА», результатом которого будет вынесенное судьей определение об отклонении замечаний на протокол "
39,Система,__,__,Закрывающий шлюз,"",""
40,Система,__,__,Сохранить замечания и определение к протоколу СЗ в деле,"",Система сохраняет замечания на протокол и определение по результатам рассмотрения замечаний 
41,Канцелярия,"","",Переход к типовому процессу «Направить документ»,"","Переход к типовому процессу «Направить документ», результатом которого будет направление в адрес ЛУВД Определения по результатам рассмотрения замечаний на протокол."
42,Канцелярия,"","",Замечания на протокол рассмотрены. Завершение процесса,"",Завершение процесса. Замечания на протокол рассмотрены
