№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Заявитель,"",—,"Появление новых обстоятельств по делу/Стали известны существенные для дела обстоятельства или признаны преступными деяния ЛУВД, судьи",—,"Заявитель выявляет новые обстоятельства, которые не были и не могли быть известны заявителю на момент рассмотрения дела. Новые обстоятельства определяются согласно ч3. Ст 311 АПК. К заявлению предъявляются требования по форме и содержанию согласно ст. 313 АПК"
1,Заявитель,"",Заявление о пересмотре СА по новым или вновь открывшимся обстоятельствам,Подать документы в суд,"","Переход к типовому процессу «Подать документы в суд» В результате данного ТП Заявитель подает заявление и документы, подтверждающие основания новых или вновь открывшихся обстоятельствПо ходатайству лица, обратившегося с заявлением, пропущенный срок подачи заявления может быть восстановлен арбитражным судом при условии, если ходатайство подано не позднее шести месяцев со дня появления или открытия обстоятельств, являющихся основанием пересмотра, и арбитражный суд признает причины пропуска срока уважительными. Ходатайство о восстановлении срока подачи заявления о пересмотре судебного акта по новым или вновь открывшимся обстоятельствам рассматривается арбитражным судом в порядке, установленном статьей 117 настоящего КодексаПоследним судебным актом, принятием которого закончилось рассмотрение дела по существу, следует считать также определение об оставлении искового заявления (заявления) без рассмотрения, определение о прекращении производства по делу, а также определения, выносимые на основании положений части 8 статьи 141, части 5 статьи 234, части 5 статьи 240, части 3 статьи 245 АПК РФ, либо соответствующее постановление суда апелляционной или кассационной инстанции, принятое по результатам рассмотрения жалобы на такие судебные актыПодача документов в электронном виде через форму подачи документов в суд"
2,Заявитель,"","",Завершение процесса,"",Завершение процесса
3,Канцелярия,Заявление о пересмотре СА по новым или вновь открывшимся обстоятельствам,Зарегистрированное Заявление о пересмотре СА по новым или вновь открывшимся обстоятельствам,Поступило заявление о пересмотре СА по новым или вновь открывшимся обстоятельствам,"",Автоматизация регистрации и присвоения номера дела
4,Канцелярия,Заявление о пересмотре СА по новым или вновь открывшимся обстоятельствам,Зарегистрированный документ,Принять входящий документ,"","Переход к типовому процессу «Принять входящий документ».Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД, автоматическое распределение на судью, задача на судьюПри поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ"
5,Помощник судьи,"","",Эксклюзивный шлюзДело заархивированно ?,"",Эксклюзивный шлюзДело заархивированно ?Да: переход к шагу 6Нет: переход к шагу 7
6,Система,—,Дело из архива,Вернуть из архива,—,Автоматический возврат дела в работу 
7,Судья,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
8,Судья,Зарегистрированное Заявление о пересмотре СА по новым или вновь открывшимся обстоятельствам,-Определение о возвращении ИЗ-Определение об оставлении ИЗ без движения-Определение об отказе в принятии ИЗ-Определение о принятии ИЗ-Определение о назначении СЗ,Рассмотреть вопрос о принятии,"","Переход к типовому процессу ""Рассмотреть вопрос о принятии"". Система учитывает начальную валидацию, проведенную на этапе отправления документа. Все формальные требования уже должны быть выполнены, если документ принят системой.Автоматические проверки соблюдения требований к заявлению, задача на судью/помощника судьи , валидация проверок , формирование проектов судебных актов по вопросу о принятии (Оставление без движения, возвращение, отказ в принятии, принятие), подбор времени и места проведения СЗ, электронное извещение ЛУВД"
9,Судья,—,—,Заявление принято к рассмотрению?Эксклюзивный шлюз,—,"Судья определяет, принято ли заявление к рассмотрениюЭксклюзивный шлюзДа: переход к шагу 32Нет: переход к шагу 10"
10,Судья,"","",6 месяцев с даты вступления в законную силу СА,—,Судья ожидает 6 месяцев с даты вступления в законную силу СА
11,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"". Автоматическая подготовка и передача дела в архив. Результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
12,"","","",Завершение процесса,"",Завершение процесса
13,Иные ЛУВД (в т.ч. Ответчик),"","",Получено уведомление о принятии,"",Иные ЛУВД (в т.ч. Ответчик)получает уведомление о принятии
14,Иные ЛУВД (в т.ч. Ответчик),"",—,Ознакомиться с материалами дела в ЛК,"",Ознакомиться с материалами дела в ЛК
15,Иные ЛУВД (в т.ч. Ответчик),"","",Необходимо подать отзыв?Эксклюзивный шлюз,—,Заявитель принимает решение о необходимости подать отзыв на заявлениеДа: переход к шагу 1Нет: переход к шагу 16
16,Иные ЛУВД (в т.ч. Ответчик),"","",Завершение процесса,—,Завершение процесса
