№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья/Судья-докладчик,-,-,Возникла необходимость принять СА коллегиально,-,"Коллегиальное рассмотрение дел в арбитражном суде первой инстанции осуществляется в составе трех судей или судьи и двух арбитражных заседателей. В первой инстанции арбитражного суда коллегиальным составом судей рассматриваются: 1. дела, направленные в арбитражный суд первой инстанции на новое рассмотрение с указанием на коллегиальное рассмотрение; 2. дела, решения о коллегиальном рассмотрении которых приняты председателем судебного состава в связи с их особой сложностью на основании мотивированного заявления судьи. (ст. 17 АПК РФ). Начало процесса принятия СА коллегиально."
1,Судья/Судья-докладчик,-,-,СА принимается в виде протокольного определения?Эксклюзивный открывающий шлюз,-,СА принимается в виде протокольного определения?Эксклюзивный шлюз. Да: переход к шагу 2 Нет: переход к шагу 11
2,Судья/Судья-докладчик,-,-,Параллельный открывающий шлюз,-,Параллельный открывающий шлюз
3,Другие судьи/Арбитражные заседатели,-,-,Совещаться  без удаления в совещательную комнату,-,Судьи совещаются о решении по делу без удаления в совещательную комнату.
4,Другие судьи/Арбитражные заседатели,-,-,Проголосовать,-,"Вопросы, возникающие при рассмотрении дела судом в коллегиальном составе, разрешаются судьями большинством голосов. Никто из судей не вправе воздержаться от голосования. Судья - председательствующий в заседании - голосует последним (ч. 1 ст. 20 АПК РФ). Судьи голосуют по вопросам, связанным с решением по делу."
5,Судья/Судья-докладчик,-,-,Совещаться без удаления в совещательную комнату,-,Судьи совещаются о решении по делу без удаления в совещательную комнату.
6,Судья/Судья-докладчик,-,-,Проголосовать,-,"Вопросы, возникающие при рассмотрении дела судом в коллегиальном составе, разрешаются судьями большинством голосов. Никто из судей не вправе воздержаться от голосования. Судья - председательствующий в заседании - голосует последним (ч. 1 ст. 20 АПК РФ). Судьи голосуют по вопросам, связанным с решением по делу."
7,Судья/Судья-докладчик,-,-,Параллельный закрывающий шлюз,-,Параллельный закрывающий шлюз
8,Судья/Судья-докладчик,-,-,Объявить протокольное  определение,-,Судья/Судья-докладчик объявляет определение в СЗ.
9,Судья,Протокольное определение,-,Занести в протокол СЗ,-,"Система автоматически пишет протокол, распознавая речь, секретарь СЗ контролирует и валидирует процесс"
10,Секретарь СЗ,-,-,СА вынесен в виде протокольного определения,-,Завершающее событие
11,Судья/Судья-докладчик,-,-,Судья докладчик будет формировать проект?Эксклюзивный открывающий шлюз,-,"Сформировать проект может как судья-докладчик, так и иные судьи, входящие в состав.Эксклюзивный шлюз. Да: переход к шагу 12 Нет: переход к шагу 20"
12,Судья,Действие пользователя,Созданное номенклатурное дело и формирование проекта по шаблону,"Запустить функцию ""Принять СА""",-,Автоматическое формирование проекта СА с использованием шаблонов и формирование номенклатурной сущности.
13,Система,Данные в системе,Передача данных в номенклатурную сущность ,Загрузить провалидированую позицию по делу,-,Система переносит данные о позиции по делу в номенклатурную сущность для использования данных в шаблоне документа
14,Судья/Судья-докладчик,-,Проект СА,Сформировать проект СА,-,"Переход к типовому процессу ""Сформировать проект СА"". Определение арбитражного суда в виде отдельного судебного акта выполняется в форме электронного документа. При отсутствии в арбитражном суде технической возможности для выполнения определения в форме электронного документа определение выполняется на бумажном носителе. При выполнении определения в форме электронного документа дополнительно выполняется экземпляр данного определения на бумажном носителе (ч. 2 ст. 184 АПК РФ) Определение в виде отдельного судебного акта арбитражный суд выносит в условиях, обеспечивающих тайну совещания судей, по правилам, установленным для принятия решения (ч. 4 ст. 184 АПК РФ). Судьи/Арбитражные заседатели формируют проект СА - определения в электронном виде с указанием всех необходимых сведений по делу."
15,Система,-,Уведомление,Уведомить пользователя,-,Система создает уведомление о созданной сущности и шаблоне СА
16,Судья/Судья-докладчик,Уведомление,Вывод пользователя ,Проверить выводы системы,-,"Переход к типовому процессу ""проверить выводы системы"""
17,Судья/Судья-докладчик,-,-,Необходимо внести дополнительную информацию в шаблон СА?Эксклюзивный открывающий шлюз,-,Эксклюзивный шлюз. Да: переход к шагу 18 Нет: переход к шагу 19
18,Судья,-,-,Внести дополнительную информацию,-,Эксклюзивный открывающий шлюз
19,Судья/Судья-докладчик,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
20,Судья,-,-,"Запустить функцию ""Принять СА""",-,Эксклюзивный закрывающий шлюз
21,Система,-,-,Загрузить провалидированную позицию по делу,-,Рассмотреть коллегиально проект СА
22,Другие судьи/Арбитражные заседатели,-,Проект СА,Сформировать проект СА,-,"Переход к типовому процессу ""Сформировать проект СА"". Определение арбитражного суда в виде отдельного судебного акта выполняется в форме электронного документа. При отсутствии в арбитражном суде технической возможности для выполнения определения в форме электронного документа определение выполняется на бумажном носителе. При выполнении определения в форме электронного документа дополнительно выполняется экземпляр данного определения на бумажном носителе (ч. 2 ст. 184 АПК РФ) Определение в виде отдельного судебного акта арбитражный суд выносит в условиях, обеспечивающих тайну совещания судей, по правилам, установленным для принятия решения (ч. 4 ст. 184 АПК РФ). Судьи/Арбитражные заседатели формируют проект СА - определения в электронном виде с указанием всех необходимых сведений по делу."
23,Система,-,Уведомление пользователя в номенклатурном деле,Уведомить пользователя,-,Система уведомляет пользователя о созданном номенклатурном деле и подготовленном шаблоне СА
24,Другие судьи/Арбитражные заседатели,Уведомление,-,Проверить выводы системы,-,"Переход к типовому процессу ""проверить выводы системы"""
25,Другие судьи/Арбитражные заседатели,-,-,Необходимо внести дополнительную информацию в шаблон СА?Эксклюзивный открывающий шлюз,-,Необходимо внести дополнительную информацию в шаблон СА?Эксклюзивный шлюз. Да: переход к шагу 26 Нет: переход к шагу 27
26,Судья,-,-,Внести дополнительную информацию,-,"Судья вносит изменения, принятые судьями, в проект СА (в ИС суда)."
27,Другие судьи/Арбитражные заседатели,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
28,Судья/Судья-докладчик,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
29,Судья/Судья-докладчик,-,-,Параллельный открывающий шлюз,-,Эксклюзивный закрывающий шлюз
30,Система,Тип рассмотрения = коллегиальный,После утверждения формы СА система автоматически создает задачу на указанных пользователей,Создать задачу на утверждение проекта СА,-,Система создает задачу на указанных пользователей в номенклатурном деле
31,Судья,-,-,Изучить коллегиально проект СА,-,Судьи рассматривают сформированный проект СА.
32,Судья,-,-,Проголосовать,-,"Вопросы, возникающие при рассмотрении дела судом в коллегиальном составе, разрешаются судьями большинством голосов. Никто из судей не вправе воздержаться от голосования. Судья - председательствующий в заседании - голосует последним (ч. 1 ст. 20 АПК РФ). Судьи голосуют по вопросам, связанным с решением по делу.Система имеет возможность принимать данные для фиксации голосования"
33,Судья/Судья-докладчик,-,-,Есть особое мнение?Эксклюзивный открывающий шлюз,-,Есть особое мнение?Эксклюзивный шлюз. Да: переход к шагу 34 Нет: переход к шагу 35
