Бизнес-роль*,Выполняемые действия/функция
Судья,"Принятие решений об изменении состава ЛУВД, проверка оснований, вынесение судебных актов, проверка прав и обязанности истцов"
Канцелярия,Направление документов участникам процесса (ЛУВД и/или их представителям)
