№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0.,Заявитель/Истец,"Итоговый СА, вынесенный Арбитражным судом РФ","",Возникла необходимость во взыскании/распределении судебных расходов.,"","Судебные расходы представляют собой затраты (потери), понесенные участниками процесса в ходе рассмотрения дела арбитражным судом.Государственная пошлина представляет собой фиксированный в НК сбор, уплачиваемый в доход государства (федерального бюджета) при совершении определенных процессуальных действий в арбитражном суде.Судебные издержки уплачиваются в связи с необходимостью несения сторонами различных расходов по ходу ведения дела. При этом и государственная пошлина, и судебные издержки в конечном счете распределяются между лицами, участвующими в деле, в зависимости от результатов рассмотрения дела.После вынесения СА Арбитражным судом первой инстанции/ апелляционной инстанции, кассационной инстанции/ надзорной инстанции/ у стороны возникает необходимость взыскать или распределить судебные расходы, понесенные этой стороной, в связи с судебным разбирательством, которые не были взысканы или распределены в ходе рассмотрения дела.Судебные расходы в делах о банкротстве регулируются Законом о банкротстве (№ 127-ФЗ) и Арбитражным процессуальным кодексом. Распределение судебных расходов в деле о банкротстве между лицами, участвующими в деле, осуществляется с учетом целей конкурсного производства и наличия в деле о банкротстве обособленных споров, стороны которых могут быть различны; судебные расходы лиц, в пользу которых был принят судебный акт по соответствующему обособленному спору, подлежат возмещению проигравшей стороной."
1.,Заявитель/Истец,Заявление о взыскании/распределении расходов (с приложенными документами),"Второй экземпляр заявления с отметкой суда о получении документов, либо уведомление о получении заявления судом (Если было направлено Почтой России).",ТБП7.Подать документы в суд,Заявление в суд первой инстанции может быть подано в течение 3 месяцев со дня вступления итогового решения в законную силу (ч. 2 ст. 112 АПК РФ).,"Переход к Типовому процессу «Подать документы в суд»Итогом этого ТП будет подготовленное заявление с приложенными к нему документами, которое заявитель/истец направит в суд. Так же этот ТП будет включать в себя заявление о восстановление пропущенного процессуального срока и приложение документа, подтверждающего отправку копии заявления с приложенными документами второй стороне.К заявлению обычно прилагаются: копии судебных актов, заверенные копии договоров с представителями, акты оказанных услуг, платежные документы, справки о расходах — всё, что подтверждает понесённые затраты.Заявителю/истцу необходимо подать соответствующее заявление в суд первой инстанции, поскольку именно там находятся материалы по основному спору (ч. 2 ст. 112 АПК РФ), даже если он взыскивает (просит распределить) расходы, понесенные при пересмотре дела вышестоящей инстанцией (вышестоящими инстанциями)).to be процесс Электронное заявление, предусматривающее автоматическую валидацию данных + заполнение необходимого в силу АПК"
2.,Заявитель/ Истец,"","",Заявление подано в суд,"",Заявление подано в суд
3.,Канцелярия,Заявление о взыскании/распределении расходов (с приложенными документами),"",Поступило заявление.Сообщение — стартовое событие.,"",В канцелярию суда поступило заявление о взыскании/распределении судебных расходов.
4.,Канцелярия,Заявление о взыскании/распределении расходов (с приложенными документами),Зарегистрированное заявление о взыскании/распределении расходов (с приложенными документами),ТБП53.Принять входящий документ,"","Переход к Типовому процессу (ТП) «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ. Принятие заявление регулируется нормами АПК РФ и Постановлением Пленума ВАС РФ от 25.12.2013 N 100 ""Об утверждении Инструкции по делопроизводству в арбитражных судах Российской Федерации (первой, апелляционной и кассационной инстанций)"".Обычно такое заявление передается судье, рассматривавшему дело. Распределение будет проводиться в том случае, если судья, рассматривавший дело недоступен (например, в отставке)."
5.,Судья,Зарегистрированное заявление о взыскании/распределении расходов (с приложенными документами),СА по вопросу о принятии,ТБП31.Рассмотреть вопрос о принятии,"","Переход к Типовому процессу (ТП) «Рассмотреть вопрос о принятии».Судья проверяет формальные требования (по ст. 112 и 125 АПК РФ): указание на дело, по которому заявляются расходы, кто подаёт заявление, к кому обращено, суть требований (какие расходы и в каком размере взыскиваются), обоснование и расчёт, копии документов, подтверждающих расходы.  Проверит, не пропущен ли трёхмесячный срок (ч. 2 ст. 112 АПК РФ). Если срок пропущен — судья проверяет наличие ходатайства о восстановлении и его обоснованность.Если все требования соблюдены, то судья выносит определение о принятии заявления к производству. В заявлении о принятии к производству указывается срок для предоставления возражений второй стороной.Если требования не соблюдены, то судья может вынести:1. Определение об оставлении заявления без движения.   2. Определение о возвращении заявления.3. Определение об отказе в принятии заявления.В to be процессе необходимо учитывать начальную валидацию, проведенную на этапе отправления документа. Все формальные требования уже должны быть выполнены, если документ принят системой."
6.,Судья,"","",Заявление принято к рассмотрению?Эксклюзивный шлюз.,"","Дальнейшее движение процесса, зависит от решения, принятого судьей в рамках рассмотрения вопроса о принятии заявления к производству. Выясняется, было ли принято заявление к рассмотрению.Да: переход к шагу 38Нет: переход к шагу 7 "
7.,Судья,Дело с приобщенными документами,"",6 месяцев с даты вступления в силу САТаймер-промежуточное событие-обработчик,6 месяцев с даты вступления в силу СА,"Суд будет ожидать 6 месяцев с момента вступления в законную силу СА перед тем, как перейти к шагу 11."
8.,Судья,Дело с приобщенными документами,"Дело, подготовленное к передаче в архив.",ТБП89.Передать дело в архив,"","Когда истечет срок, установленный в шаге 10, делопроизводство по делу в соответствии с положениями Постановления Пленума ВАС РФ от 25.12.2013 N 100 ""Об утверждении Инструкции по делопроизводству в арбитражных судах Российской Федерации (первой, апелляционной и кассационной инстанций)"" будет считаться оконченным и такое дело может быть передано в архив.Переход к Типовому процессу «Передать дело в архив»Результат данного ТП -передача дела в архив на хранения и последующее уничтожения после истечения срока хранения. To be процесс. Система переносит дело в архивную стадию."
9.,Судья,"","",Заявление не принято к рассмотрению,"",Заявление не принято к рассмотрению
