№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,—,—,Появилась необходимость принять частное определение в связи с выявленными нарушениями законодательства РФ в ходе рассмотрения дела,—,"У судьи возникает необходимость вынести частное определение в связи с выявленными нарушениями законодательства РФ в ходе рассмотрения дела.При выявлении в ходе рассмотрения дела случаев, требующих устранения нарушения законодательства Российской Федерации государственным органом, органом местного самоуправления, иным органом, организацией, наделенной федеральным законом отдельными государственными или иными публичными полномочиями, должностным лицом, адвокатом, субъектом профессиональной деятельности, суд вправе вынести частное определение."
1,Судья,—,Частное определение,ТБП80.Принять СА,—,Переход к ТП «Принять СА». Результатом данного ТП будет являться вынесение частного определения.Шаблон формирования текста частного определения
2,Судья,Частное определение,—,В действиях лиц выявлены признаки преступления?Эксклюзивный шлюз,—,"Для определения, куда необходимо направить частное определение, необходимо решить о наличии признаков преступлений в действиях лиц. Если «Да» - переход к шагу 3, если «Нет» - к шагу 5.Подсказки по критериям; протокол обоснования выбора"
3,Канцелярия,—,Частное определение,ТБП46.Направить документ,—,"Переход к ТП «Направить документ», в рамках которого канцелярией осуществляется направление частного определения в органы дознания/предварительного следствия в случае наличия признаков преступления в действиях лиц.Генерация сопроводительного письма и реестра отправки"
4,Канцелярия,—,—,Судебные акты отправлены.,—,Завершение процесса
5,Помощник судьи,—,—,Параллельный шлюз,—,Параллельный шлюз
6,Система,—,—,Контролировать срок,—,Система ожидает срок исполнения частного определения - 1 месяц cо дня получения.
7,Канцелярия,—,Частное определение,ТБП46.Направить документ,—,"Переход к ТП «Направить документ», в рамках которого канцелярией осуществляется направление частного определения в органы дознания/предварительного следствия в случае наличия признаков преступления в действиях лиц.Генерация сопроводительного письма и реестра отправки"
8,Канцелярия,—,—,Судебные акты отправлены.,—,Завершение процесса
9,"Лицо, в отношении которого вынесено частное определение",Частное определение,—,Получено частное определение,—,"Лицо, в отношении которого вынесено частное определение, получает документ.Фиксация даты получения"
10,"Лицо, в отношении которого вынесено частное определение",Частное определение,—,Ознакомиться,—,"Лицо, в отношении которого вынесено частное определение, знакомится с документом.Напоминания о возможных действиях"
11,Система,—,—,Проинформировать суд о прочтении,—,Система информирует суд о прочтении документа
12,"Лицо, в отношении которого вынесено частное определение",Частное определение,—,Есть основания для обжалования?Эксклюзивный шлюз,—,"Поскольку частное определение, вынесенное в порядке статьи 188.1 АПК РФ, затрагивает права и законные интересы лиц, в отношении которых оно вынесено, оно может быть обжаловано в срок, не превышающий десяти дней со дня вынесения, в арбитражный суд апелляционной инстанции.Если «Да» - переход к шагу 13, если «нет» - к шагу 12.Подсказки по критериям обжалования"
13,"Лицо, в отношении которого вынесено частное определение",—,—,Завершение процесса,—,Завершение процесса
14,"Лицо, в отношении которого вынесено частное определение",—,—,Переход к Апелляционному обжалованию,—,Переход к Апелляционному обжалованию частного определения.Ссылка на типовой процесс; автосоздание черновика жалобы
15,"Лицо, в отношении которого вынесено частное определение",Частное определение,—,Получено частное определение,—,"Лицо, в отношении которого вынесено частное определение, получает документ.Фиксация даты получения"
16,"Лицо, в отношении которого вынесено частное определение",Частное определение,—,Ознакомиться,—,"Лицо, в отношении которого вынесено частное определение, знакомится с документом.Напоминания о возможных действиях"
17,Система,—,—,Проинформировать суд о прочтении,—,Система информирует суд о прочтении документа
18,Орган/организация/должностное лицо; вышестоящие организации,Частное определение,—,Исполнить частное определение?Эксклюзивный шлюз,—,"Орган/организация/должностное лицо; вышестоящие организации могут принять меры по исполнению частного определения, в частности меры по устранению выявленных нарушений законности.Если «Да» - переход к шагу 17; если «Нет» - к шагу 19.Контроль принятия решения; чек-лист исполнения"
19,Орган/организация/должностное лицо; вышестоящие организации,Частное определение,—,Исполнить,—,"Орган/организация/должностное лицо; вышестоящие организации могут принять меры по исполнению частного определения, в частности меры по устранению выявленных нарушений законности.Если «Да» - переход к шагу 17; если «Нет» - к шагу 19.Контроль принятия решения; чек-лист исполнения"
20,Орган/организация/должностное лицо; вышестоящие организации,—,Информационное письмо,ТБП7.Подать документы в суд,—,"Орган/организация/должностное лицо; вышестоящие организации подает электронное заявление, предусматривающее автоматическую валидацию данных + заполнение необходимого в силу АПК"
21,Орган/организация/должностное лицо; вышестоящие организации,—,—,Закрывающий шлюз для шага 18,—,Закрывающий шлюз для шага 18
