№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Необходимость рассмотрения вопроса об отводе/самоотводе,—,Появилась необходимость рассмотреть отвод/самоотвод судьи/арбитражного заседателя/секретаря с/з/помощника/эксперта/специалиста/переводчика,—,Появилась необходимость рассмотреть отвод/самоотвод судьи/арбитражного заседателя/секретаря с/з/помощника/эксперта/специалиста/переводчика. Основания и последствия отвода и самоотвода судьи и участников судебного разбирательства регулируются положениями гл. № АПК РФ.
1,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Заявление об отводе ,—,Отвод заявлен стороной? Эксклюзивный шлюз,—,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья проверяет заявлен ли отвод стороной. Если отвод не заявлен стороной, то это самоотвод.Согласно ч.1 ст. 24 АПК РФ При наличии оснований, указанных в статьях 21 - 23 АПК РФ, судья, арбитражный заседатель, помощник судьи, секретарь судебного заседания, эксперт, специалист, переводчик обязаны заявить самоотвод. По тем же основаниям отвод может быть заявлен лицами, участвующими в деле. Отвод помощнику судьи, секретарю судебного заседания, эксперту, специалисту, переводчику может быть рассмотрен также по инициативе суда.Да: переход к шагу 2Нет: переход к шагу 13"
2,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,Необходимо назначить отдельное судебное заседание? Эксклюзивный шлюз,—,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья определяет, необходимо ли назначить отдельное судебное заседание для рассмотрения вопроса об отводе/самоотводе.Да: переход к шагу 3Нет: переход к шагу 6"
3,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","", Определение о назначении СЗ,ТБП44.Назначить СЗ,—,"Переход к типовому процессу ""Назначить СЗ"". В результате данного ТП принимается решение о назначении СЗ и выносится определение о назначении СЗ"
4,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,ТБП68.Провести СЗ,—,"Переход к типовому процессу «Провести СЗ». В результате данного ТП проводится СЗ по вопросу отвода/самоотвода. Согласно ч. 2-4 ст. 25 АПК РФ Вопрос об отводе судьи, рассматривающего дело единолично, разрешается тем же судьей.Вопрос об отводе судьи при рассмотрении дела в коллегиальном составе разрешается этим же составом суда большинством голосов в отсутствие судьи, которому заявлен отвод. При равном числе голосов, поданных за отвод и против отвода, судья считается отведенным. Вопрос об отводе, заявленном нескольким судьям или всему рассматривающему дело составу суда, разрешается всеми судьями, рассматривающими дело, простым большинством голосов.Вопрос об отводе помощника судьи, секретаря судебного заседания, эксперта, специалиста, переводчика разрешается составом суда, рассматривающим дело"
5,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",—,—,Предупредить об уголовной ответственности,—,Судья разъясняет ЛУВД ответственность за дачу заведомо ложных показаний.  
6,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",—,—,Занести информацию в прокол и отметить в деле,"","Система ведет протокол при помощи ASR (автоматическое распознавание речи), секретарь контролирует этот процесс и валидирует информацию"
7,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",—,—,Заслушать ЛУВД по вопросу отвода,—,"Судья заслушивает мнения лиц, участвующих в деле согласно положениям ч. 1 ст. 25 АПК РФ"
8,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,"Необходимо заслушать лицо, которому заявлен отвод? Эксклюзивный шлюз",—,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья определяет необходимо ли заслушать лицо, которому заявлен отвод. Согласно ч.1 ст.25 АПК РФ, если отводимый желает дать объяснения, суд заслушивает его.Да: переход к шагу 9Нет: переход к шагу 10"
9,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",—,—,"Заслушать лицо, которому заявлен отвод",—,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья заслушивает лицо, которому заявлен отвод"
10,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",—,—,Эксклюзивный шлюз,—,"Эксклюзивный шлюз для объединения потоков перед фиксацией в протоколе, переход к шагу 10"
11,Секретарь судебного заседания,"",Протокол судебного заседания,Занести сведения в протокол,—,"Система ведет протокол при помощи ASR (автоматическое распознавание речи), секретарь контролирует этот процесс и валидирует информацию"
12,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Результаты заседания/протокол,—,Эксклюзивный шлюз,—,"Эксклюзивный шлюз для объединения потоков, переход к шагу 13"
13,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Заявление об отводе отсутствует/отвод инициирован судом (самоотвод),—,Эксклюзивный шлюз,—,"Эксклюзивный шлюз для объединения потоков, переход к шагу 14"
14,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,Отвод/самоотвод заявлен до начала рассмотрения дела по существу? Эксклюзивный шлюз,—,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья определяет заявлен ли отвод/самоотвод до начала рассмотрения по существу.Согласно ч.2 ст.24 АПК РФ  Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу. Повторное обращение одним лицом по тем же основаниям не допускается.Да: переход к шагу 19Нет: переход к шагу 15"
15,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,Основания для отвода/самоотвода стали известны после начала рассмотрения дела по существу? Эксклюзивный шлюз,—,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья определяет стали ли известны основания для отвода/самоотвода после начала рассмотрения дела по существуСогласно ч.2 ст.24 АПК РФ  Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу. Повторное обращение одним лицом по тем же основаниям не допускаетсяДа: переход к шагу 19Нет: переход к шагу 16"
16,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,Эксклюзивный шлюз,—,"Эксклюзивный шлюз для объединения потоков, переход к шагу 17"
17,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",Определение об отказе в отводе/самоотводе,ТБП80.Принять СА,В день судебного заседания,"Переход к типовому процессу «Принять СА». В результате данного ТП Председатель суда, заместитель председателя суда, председатель судебного состава, судья выносит определение об отказе в удовлетворении отвода/самоотвода. При отсутствии оснований для отвода/самоотвода согласно ст.21 АПК РФ, ч.1 ст. 23 АПК РФ суд выносит определение об отказе в отводе/самоотводе"
18,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",—,—,Переход в основной процесс рассмотрения дела ,—,Переход в основной процесс рассмотрения дела
19,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,Эксклюзивный шлюз,—,"Эксклюзивный шлюз для объединения потоков, переход к шагу 20"
20,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,ТБП48.Рассмотреть вопрос об отводе,—,"Переход к типовому процессу «Рассмотреть вопрос об отводе». В результате данного ТП Председатель суда, заместитель председателя суда, председатель судебного состава, судья рассматривает вопрос об отводе/самоотводе "
21,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,Установлены основания для отвода?Эксклюзивный шлюз,—,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья проверяет, установлены ли основания для отвода/самоотвода согласно ст.21 АПК РФ, ч.1 ст. 23 АПК РФДа: переход к шагу 22Нет: переход к шагу 16"
22,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,Кого необходимо заменить? Эксклюзивный шлюз,—,Согласно ст. 26 АПК РФ после вынесения определения об отводе/самоотводе необходимо заменить судью/участника судебного разбирательства. Переход к шагам 23-26 
23,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,ТБП79.Выбрать эксперта/специалиста/переводчика,—,"Переход к типовому процессу ""Выбрать эксперта/специалиста/переводчика"". В результате данного ТП происходит выбор эксперта согласно ст. 55 АПК РФ, специалиста согласно ст.55.1 АПК РФ, переводчика согласно ст.57 АПК РФ"
24,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,ТБП28.Заменить судью,—,"Переход к типовому процессу ""Заменить судью"". В результате данного ТП судья заменяется в порядке ст.18, 26 АПК РФ Согласно ст.26 АПК РФ:1. Судья, заявивший самоотвод, а также судья, в отношении которого удовлетворено заявление об отводе, заменяется другим судьей.2. В случае удовлетворения заявления о самоотводе или об отводе судьи, либо нескольких судей, либо всего состава суда дело рассматривается в том же арбитражном суде, но в ином составе судей.3. Если в результате удовлетворения самоотводов и отводов невозможно сформировать новый состав суда для рассмотрения данного дела в том же арбитражном суде, дело передается в другой арбитражный суд того же уровня в порядке, установленном статьей 39 АПК РФ."
25,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,Заменить сотрудника аппарата суда,—,"Переход к процессу ""Заменить сотрудника аппарата суда"". В результате данного процесса назначается новый сотрудник аппарата суда"
26,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,ТБП128.Выбрать арбитражного заседателя,—,"Переход к типовому процессу"" Выбрать арбитражного заседателя"" В результате данного ТП происходит выбор и привлечение иного арбитражного заседателя в порядке ст.19 АПК РФ. Ходатайство о рассмотрении дела с участием арбитражных заседателей разрешается арбитражным судом в порядке, установленном статьей 159 АПК РФ.Шаблон решения о привлечении заседателя"
27,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","",—,Эксклюзивный шлюз,—,"Эксклюзивный шлюз для объединения ветвей замены перед завершением процесса, переход к шагу 28"
28,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",—,—,ТБП80.Принять СА,—,Завершение процесса
