№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Система,Ходатайство арбитражного управляющего в электронном виде,__,Возникла необходимость рассмотреть вопрос о присуждении при неисполнении. Стартовое событие,__,"Данный процесс описывает правовой порядок рассмотрения вопроса в тех случаях, когда совместно с истребованием документации и ценностей арбитражный управляющий просит в соответствии со статьей 308.3 ГК РФ присудить денежную сумму на случай неисполнения судебного акта Арбитражного суда. АУ подает суду ходатайство о присуждении денежной суммы при неисполнении СА. У судьи возникла необходимость рассмотреть вопрос о присуждении денежной суммы должнику при неисполнении требований суда о предоставлении документов и ценностей должника по делам о несостоятельности (банкротстве).  Судья запустил процесс формирования позиции по делу. Система запускает анализ данных для рассмотрения вопроса о присуждении при неисполнении. Старт процесса."
1,Система,Ходатайство арбитражного управляющего в электронном виде,__,Провести анализ заявленного ходатайства АУ,__,Система анализирует ходатайство арбитражного управляющего.
2,Система,__,__,Переход к типовому процессу «Оценить доказательства по делу»,__,"Происходит переход к типовому процессу ""Оценить доказательства по делу"", результатом которого будет проведенная системой оценка доказательств в соответствии с требованиями закона."
3,Система,__,__,Параллельный шлюз,__,Параллельный шлюз для координации процесса. Проверки на шаге 4 и 5 процесса происходят параллельно
4,Система,__,__,Проверить наличие реального риска неисполнения,__,Система анализирует наличие реального риска неисполнения решения суда должником. 
5,Система,__,__,Проверить разумность размера заявленной суммы,__,Система анализирует разумность размера заявленной арбитражным управляющим суммы. Денежная сумма при неисполнении должна быть соразмерна потенциальному ущербу от неисполнения судебного акта.
6,Система,__,__,Закрывающий шлюз,__,Закрывающий шлюз для шага 3 процесса
7,Система,__,Отчет о проверках,Сформировать отчет о проверках,__,"Система формирует отчет о проведенных проверках, который содержит информацию о результатах проведенных проверок и предварительные выводы и предложения системы по вопросу рассмотрения ходатайства о присуждении при неисполнении"
8,Система,__,__,Переход к типовому процессу «Проверить выводы системы»,__,"Система, после проведенного предварительного анализа дела, предлагает пользователю проверить выводы системы. Переход к типовому процессу «Проверить выводы системы», результатом которой будет провалидированные судьей выводе системы по анализу дела с внесением корректировок, если это необходимо и сохранением в системе результатов валидации."
9,Судья,__,__,Проверить отсутствие извлечения выгоды,__," Судья проверяет отсутствие извлечения выгоды арбитражного управляющего из незаконного/недобросовестного поведения должника и ставит галочку в чекбоксе, если отсутствует извлечение выгоды (или не проставляет, если считает, что есть основания полагать, что АУ извлечет выгоду)"
10,Система,__,__,Суд приходит к выводу об обоснованности заявленного ходатайства? Эксклюзивный шлюз,__,"Система анализирует провалидированные судьей данные анализа по делу и смотрит есть ли основания считать ходатайство обоснованным?Если «Да», то переход к шагу 14 Если «Нет», то переход к шагу 11"
11,Система,__,__,Установить основания для отказа в удовлетворении,__,"Система записывает данные о том, что установлены основания для отказа в удовлетворении ходатайства АУ"
12,Система,__,__, Сохранить данные,__,Система сохраняет данные.
13,Система,__,__,Найдены основания для отказа в удовлетворении ходатайства. Завершающее событие,__,Найдены основания для отказа в удовлетворении ходатайства. Данные сохранены в системе для последующего формирования выводов в шаблоне СА. Завершение процесса.
14,Система,__,__,Установить основания удовлетворения ходатайства, __,"Система записывает данные о том, что установлены основания для удовлетворения ходатайства АУ. Далее система предлагает пользователю указать необходимые значения для последующего корректного формирования шаблона СА"
15,Система,__,__,Параллельный шлюз,__,Параллельный шлюз для координации процесса. Система предлагает параллельно заполнить пользователю три окна с данными
16,Судья,__,__, Определить размер суммы,__,"Судья определяет в системе размер денежной суммы, которую необходимо внести должнику при неисполнении"
17,Судья,__,__,Определить порядок и срок исполнения,__,Судья указывает в системе порядок и срок исполнения требований суда
18,Судья,__,__," Указать, на кого возлагается обязанность уплаты",__,"Судья выбирает из существующих ЛУВД в системе, либо вбивает самостоятельно лицо, на которое будет возложена уплата суммы при неисполнении"
19,Система,__,__,Закрывающий шлюз,__,Закрывающий шлюз для шага 15 процесса
20,Система,__,__,Сохранить данные,__,Система сохраняет все данные и выводы по рассмотрения вопроса о присуждении при неисполнении
21,Система,"","",Найдены основания для удовлетворения ходатайства. Завершающее событие,"",Найдены основания для удовлетворения ходатайства. Данные сохранены в системе для последующего формирования выводов в шаблоне СА. Завершение процесса
