№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,—,—,Возникла необходимость проверить ЮЛ на соответствие признакам естественной монополии,—,Судья принимает решение о необходимости проверки юридического лица на соответствие признакам субъекта естественной монополии
1,Система,—,—,Найти ЮЛ в реестре субъектов,—,Система выполняет поиск юридического лица в реестре субъектов естественных монополий посредством интеграции с сайтом ФАС России.
2,Система,Результат поиска в реестре,Наличие ЮЛ в реестре,ЮЛ найдено? Эксклюзивный шлюз,—,Система обрабатывает результат поиска и делает вывод о наличии юридического лица в реестре субъектов естественных монополий.  Если Да: переход к шагу 3 Если Нет: переход к шагу 4
3,Судья,—,—,ЮЛ соответствует признакам естественной монополии,—,"При положительном результате поиска судья принимает решение о соответствии юридического лица признакам субъекта естественной монополии. Согласно Письму ФАС России от 06.07.2018 N АЦ/51469/18 ""О разъяснении по вопросу отнесения организации к субъектам естественной монополии в случае отсутствия указанной организации в реестре субъектов естественных монополий"": наличие у хозяйствующего субъекта во владении на праве собственности или ином законном основании объектов имущества, используемого для осуществления регулируемой деятельности в сферах, указанных в Федеральном законе ""О естественных монополиях""; наличие факта осуществления регулируемой деятельности в сферах, указанных в Федеральном законе ""О естественных монополиях"". Кроме этого, в отношении субъектов естественных монополий органами регулирования естественных монополий может применяться ценовое регулирование, осуществляемое посредством определения (установления) цен (тарифов) или их предельных уровней. Таким образом, факт наличия установленного тарифа (его предельного уровня) является косвенным подтверждением отнесения хозяйствующего субъекта к субъекту естественной монополии. Вопрос об отнесении хозяйствующего субъекта к субъекту естественной монополии, при наличии информации об осуществлении им деятельности на основании тарифа (его предельного уровня), следует рассматривать во взаимосвязи и в совокупности с критериями отнесения хозяйствующего субъекта к субъекту естественной монополии в соответствии с Федеральным законом ""О естественных монополиях""."
4,Система,—,—,Суду известны данные о соответствии признакам естественной монополии? Эксклюзивный шлюз,—,Система обрабатывает имеющуюся информацию и делает вывод о наличии дополнительных данных о соответствии юридического лица признакам естественной монополии. Если Да: переход к шагу 6 Если Нет: переход к шагу 5
5,Судья,Отсутствие данных о соответствии,—,ЮЛ не соответствует признакам естественной монополии,—,"При отсутствии данных о соответствии судья принимает решение о том, что юридическое лицо не соответствует признакам субъекта естественной монополии"
6,Судья,—,—,Необходимо уточнить данные? Эксклюзивный шлюз,—,Судья принимает решение о необходимости уточнения данных для принятия окончательного решения. Если Да: переход к шагу 7 Если Нет: переход к шагу 12
7,Помощник судьи,—,Запрос в ведомство,ТБП23.Направить запрос в ведомство,—,Переход к типовому процессу «Направить запрос в ведомство». В результате данного ТП Помощник судьи инициирует направление запроса в соответствующее ведомство для получения дополнительной информации о юридическом лице. Результатом данного процесса станет получение официального ответа от ведомства с информацией о статусе юридического лица.Запрос формируется системой автоматически по форме и направляется в ведомство посредством настроенной интеграции. Получение и обработка системой ответа — внутри процесса.
8,Помощник судьи,—,—,Параллельный шлюз.,—,Параллельный шлюз.
9,Система,Ответ от ведомства,—,Приобщить к материалам дела,—,Система приобщает полученный ответ от ведомства к материалам дела для дальнейшего рассмотрения.
10,Помощник судьи,—,—,Завершение процесса. Материалы приобщены к делу,—,Завершение процесса. Материалы приобщены к делу
11,Система,—,—,Уведомить судью,—,Система уведомляет судью о полученном ответе на запрос через систему оповещений. 
12,Судья,—,—,Эксклюзивный закрывающий шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 6-го, 11-го шага"
13,Судья,—,Решение о соответствии,Решить вопрос о  соответствии естественной монополии,—,Судья принимает окончательное решение о соответствии юридического лица признакам субъекта естественной монополии на основе всей имеющейся информации
14,Судья,—,—,ЮЛ является естественной монополией? ,—,Если Да: переход к шагу 16 Если Нет: переход к шагу 15
15,Судья,—,Решение о несоответствии,ЮЛ не соответствует признакам естественной монополии,—,"Судья принимает решение о том, что юридическое лицо не соответствует признакам субъекта естественной монополии"
16,Судья,—,Решение о соответствии,ЮЛ соответствует признакам естественной монополии,—,"Судья принимает решение о том, что юридическое лицо соответствует признакам субъекта естественной монополии"
