№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,—,—,Возникла необходимость рассчитать госпошлину,—,Судья определяет инициирует процесс расчета государственной пошлины
1,Система,Первичный документ и приложения к нему,Судебная инстанция,Определить судебную инстанцию,—,"Система на основе правил определение инстанции на основе типа дела и стадии процессаНК РФ предусматривает фиксированную сумму госпошлины в случаях обращения в вышестоящие инстанции.В частности: при подаче апелляционной жалобы, а также при подаче кассационной жалобы на судебный приказ:для физических лиц — 10 000 рублей;для организаций — 30 000 рублей;При подаче кассационной жалобы:для физических лиц — 20 000 рублей;для организаций — 50 000 рублей."
2,Система,Первичный документ и приложения к нему,Категория заявления,Определить категорию заявления,—,"НК РФ предусматривает зависимость размера госпошлины, а также ее характер (фиксированный/расчет по формуле) от категории заявления.Размеры госпошлины предусмотрены в ст. 333.21. НК РФ.OCR+LLM Автоматическая классификация заявления на основе данных из процессуального документа"
3,Система,Первичный документ и приложения к нему,Зафиксированная для дальнейшего расчета цена иска,Посмотреть цену иска в ПД,—,Автоматическое извлечение цены иска из процессуального документа с помощью OCR и анализа текста
4,Система,Первичный документ и приложения к нему,"",Запуск проверки правил,—,OCR\LLMПравила освобождения или частичного освобождения от уплаты ГП подтвержденные документами в приложении к ПДОпределение типа иска материальный /материальный и не материальный.Определение в соответствии с НК РФ
5,Система,Первичный документ и приложения к нему,Рассчитанная госпошлина,Рассчитать госпошлину,—,"OCR\LLMПри поступлении ПД можно получить сумму требований и рассчитать сумму госпошлины, данные фиксируются в системе, в системе находится калькулятор для ручной проверки"
6,Система,Выводы системы по шагам 1-5,Сформированный отчет ,Сформировать отчет и отправить,—,Система формирует событие с данными которые она сформировала в шагах с 1-5 и уведомляет пользователя в событии
7,Судья,Отчет системы,Вывод пользователя,Валидировать расчет ГП и отчет системы,—,Судья проверяет выводы системы и сохраняет данные.
8,Судья,"Расчет госпошлины, выполненный системой",—,Госпошлина рассчитана верно?Эксклюзивный шлюз,—,"Судья проверяет корректность выполненного расчета и валидирует его.Автоматическая валидация расчета по правилам НК РФЕсли «Да» - переход к шагу 9, если «Нет» - переход к шагу 10"
9,Судья,"Расчет госпошлины, выполненный системой",—,Госпошлина рассчитанаЗавершающий процесс,—,Судья принимает рассчитанную госпошлины от системы. Завершение процесса
10,Судья,Рассчитанная госпошлина и категория,Отчет об ошибках ,Сформировать отчет об ошибке,—,"Судья заполняет данные в системе и указывает где система ошиблась, отчет отправляется в техническую поддержку для дообучения модели и внесения корректировок указанных от судьи."
11,Система,Отчет об ошибках,Отправка в техническую поддержку,Отправить отчет в техническую поддержку,—,Система отправляет данные в техническую поддержку.
