№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Заявитель (участник третейского разбирательства),"",—,Возникла необходимость отменить решение третейского суда в деле о выдаче ИЛ на принудительное исполнение,—,Заявитель принимает решение о необходимости отменить решение третейского суда в деле о выдаче ИЛ на принудительное исполнение
1,Заявитель (участник третейского разбирательства),"",Заявление об отмене решения третейского суда (включая решение международного коммерческого арбитража),ТБП7.Подать документы в суд,"3 месяца со дня, когда стало известно о решении","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Заявитель (участник третейского разбирательства) формирует и подает в суд Заявление об отмене решения третейского суда (включая решение международного коммерческого арбитража). К заявлению и прилагаемым к нему документам применяются требования по форме и содержанию ст. 231 АПК РФ.Согласно ч.5 ст. 230 АПК РФ Лицо, которое не является стороной третейского разбирательства и в отношении прав и обязанностей которого вынесено решение третейского суда, а также прокурор в случаях, установленных настоящей статьей, вправе подать заявление об отмене такого решения в арбитражный суд субъекта Российской Федерации, на территории которого принято решение третейского суда, в срок, не превышающий трех месяцев со дня, когда указанное лицо узнало или должно было узнать об оспариваемом им решении третейского судаto be процесс Электронное заявление, предусматривающее автоматическую валидацию данных + заполнение необходимого в силу АПК. Заявитель указывает куда ему нужно выслать Исполнительный лист."
2,Заявитель (участник третейского разбирательства),"","",Заявление отправлено в суд,"",Заявление отправлено в суд
3,Канцелярия,Заявление об отмене решения третейского суда (включая решение международного коммерческого арбитража),—,Поступило заявление об отмене решения третейского суда (включая решение международного коммерческого арбитража),—,Канцелярия получает заявление об отмене решения третейского суда (включая решение международного коммерческого арбитража)
4,Канцелярия,Заявление об отмене решения третейского суда (включая решение международного коммерческого арбитража),Зарегистрированное заявление,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день",Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ
5,Судья,Зарегистрированное заявление (Заявление об отмене решения третейского суда (включая решение международного коммерческого арбитража)),-Определение о возвращении заявления-Определение об оставлении заявления без движения-Определение об отказе в принятии заявления-Определение о принятии заявления-Определение о назначении СЗ,ТБП31.Рассмотреть вопрос о принятии,5 дней с даты поступления заявления,"Судья рассматривает вопрос о принятии заявления к производству. Переход к типовому процессу ""Рассмотреть вопрос о принятии"". Согласно ч.1 ст. 232 Заявление об отмене решения третейского суда рассматривается судьей единолично по правилам рассмотрения дела арбитражным судом первой инстанции, предусмотренным настоящим Кодексом, с учетом особенностей, установленных настоящим параграфом.Принятие:По смыслу ст. 127 АПК РФ Арбитражный суд обязан принять к производству заявление, поданное с соблюдением требований, предъявляемых к его форме и содержанию. Данный вопрос решается судьей единолично в течение 5 дней с момента поступления заявления. О принятии заявления арбитражный суд выносит определение, которым возбуждается производство по делу. Копии определения направляется ЛУВД не позднее следующего дня после его принятия.По смыслу ч.7 ст. 231 Заявление об отмене решения третейского суда, поданное с нарушением требований, предусмотренных статьей 230 АПК РФ и настоящей статьей, оставляется без движения или возвращается лицу, его подавшему, по правилам, установленным статьями 128 и 129 АПК РФСистема учитывает начальную валидацию, проведенную на этапе отправления документа. Все формальные требования уже должны быть выполнены, если документ принят системой.Автоматические проверки соблюдения требований к заявлению, задача на судью/помощника судьи , валидация проверок , формирование проектов судебных актов по вопросу о принятии (Оставление без движения, возвращение, отказ в принятии, принятие), подбор времени и места проведения СЗ, электронное извещение ЛУВД"
6,Судья,—,Определение о принятии заявления к производству,Заявление принято к рассмотрению?Эксклюзивный шлюз,—,"Судья принимает заявление к производству. Последствия принятия заявления к производству определяется согласно положениям ст. 127 АПК РФ. Копии определения о принятии заявления к производству арбитражного суда направляются лицам, участвующим в деле, не позднее следующего дня после дня его вынесения.Да: переход к шагу 23Нет: переход к шагу 7"
7,Судья,—,—,Ожидать передачи первоначального иска в архив,—,Судья ожидает передачи первоначального иска в архив
8,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
9,Судья,—,—,"Дело не принято, материалы переданы в архив",—,"Судья принимает решение об отказе в принятии заявления. Согласно ч. 3 ст. 127.1 суд отказывает в принятии заявления, если имеется ставшее обязательным для сторон и принятое по спору между теми же сторонами, о том же предмете и по тем же основаниям решение третейского суда, за исключением случаев, если арбитражный суд отказал в выдаче исполнительного листа на принудительное исполнение решения третейского суда либо если арбитражный суд отменил указанное решение"
10,Иные ЛУВД (участники третейского разбирательства),"","",Получено уведомление о вынесении определения о принятии,"",Получено уведомление о вынесении определения о принятии
11,Иные ЛУВД (участники третейского разбирательства),"","",Ознакомиться с материалами дела в ЛК,"",Иные ЛУВД (участники третейского разбирательства) знакомится с материалами дела в ЛК
12,Иные ЛУВД (участники третейского разбирательства),"","",Необходимо подать отзыв на заявление?Эксклюзивный шлюз,"",Определяется необходимо ли подать отзыв на заявление?Да: переход к шагу 14Нет: переход к шагу 13
13,Иные ЛУВД (участники третейского разбирательства),"","",ЛУВД ознакомлен с определением о принятии,"",ЛУВД ознакомлен с определением о принятии
14,Иные ЛУВД (участники третейского разбирательства),"",Отзыв на исковое заявление,ТБП7.Подать документы в суд,"Срок для предоставления отзывов/возражений, указанный в определении суда","Переход к Типовому процессу «Подать документы в суд»Итогом этого ТП будет подготовленный и сформированный отзыв на заявление, который Иные ЛУВД (участники третейского разбирательства) подают в суд"
15,Иные ЛУВД (участники третейского разбирательства),"","","ЛУВД ознакомлен с определением о принятии, отзыв подан в суд","","ЛУВД ознакомлен с определением о принятии, отзыв подан в суд"
16,Система,"","",Ограничить подачу,"",Система ограничивает подачу
17,Система,"","",Ограничена подача в связи с истечением срока установленного судом,"",Ограничена подача в связи с истечением срока установленного судом
18,Канцелярия,"","",Поступили отзыв,"",Канцелярия фиксирует поступление отзыва
19,Канцелярия,Заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Зарегистрированное заявление,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ.В to be необходимо объединить Принять входящий документ и Передать дело/документ судье. Все необходимые фиксации делаются в электронных реестрах системой (через задачи т.к. реестр - это АПП), оповещения сторонних сервисов высылаются посредством интеграцииДобавляем документ в к делу, создаем необходимые задачи. Распределение на судью, задача на судью.Начальные проверки и валидация должны быть заложены в процесс ""Подать документы в суд"". Если система не имеет подтверждения о прохождении проверок комплектом документов, то вызов проверок осуществляется из этого процесса."
20,Канцелярия,Документ по делу,Зарегистрированный документ,Поступил документ по делу,"",Канцелярия принимает и регистрирует документ по делу
21,Канцелярия,"",Зарегистрированное заявление,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ.В to be необходимо объединить Принять входящий документ и Передать дело/документ судье. Все необходимые фиксации делаются в электронных реестрах системой (через задачи т.к. реестр - это АПП), оповещения сторонних сервисов высылаются посредством интеграцииДобавляем документ в к делу, создаем необходимые задачи. Распределение на судью, задача на судью.Начальные проверки и валидация должны быть заложены в процесс ""Подать документы в суд"". Если система не имеет подтверждения о прохождении проверок комплектом документов, то вызов проверок осуществляется из этого процесса."
22,Канцелярия,"","",Принят и обработан входящий документ,"",Принят и обработан входящий документ
23,Помощник судьи,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 24"
