№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Заявитель (участник третейского разбирательства),"","",Возникла необходимость  в отводе/назначении/прекращении полномочий третейского судьи,—,"В соответствии с ч.2 ст. 240.1 АПК РФ к компетенции арбитражных судов относятся следующие функции содействия в отношении третейских судов по спорам, возникающим из гражданских правоотношений при осуществлении предпринимательской и иной экономической деятельности:1) разрешение вопросов, связанных с отводом третейского судьи;2) разрешение вопросов, связанных с назначением третейского судьи;3) разрешение вопросов, связанных с прекращением полномочий третейского судьи"
1,Заявитель (участник третейского разбирательства),"","",Суд подключено к ЕПЦП?Эксклюзивный шлюз,"","Определяется, подключен ли суд к ЕПЦП?Да: переход к шагу 2Нет: переход к шагу 4"
2,Система,"","",Связать запрос с   новым делом,"",Система связывает запрос с новым делом
3,Заявитель (участник третейского разбирательства),"","",Запрос третейского суда инициирует процесс в арбитражном суде,"",Запрос третейского суда инициирует процесс в арбитражном суде
4,Заявитель (участник третейского разбирательства),"",Заявление о выполнении арбитражным судом функций содействия в отношении третейского суда,ТБП7.Подать документы в суд,"1 месяц со дня, когда стало известно о необходимости подать заявление","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Заявитель (участник третейского разбирательства) направляет в суд Заявление о выполнении арбитражным судом функций содействия в отношении третейского суда. Согласно ч. 5 ст. 240.1 данное заявление подается в арбитражный суд субъекта РФ, на территории которого проводится соответствующее третейское разбирательство, в срок, не превышающий одного месяца со дня, когда лицу, подающему заявление, стало известно или должно было стать известно об обстоятельствах, являющихся основанием для подачи заявления. Сумма госпошлины по данному заявлению равна сумме для оплаты искового заявления неимущественного характера.К заявлению применяются требования согласно ст. 240.2 АПК РФ"
5,Заявитель (участник третейского разбирательства),"","",Документы поданы,"",Документы поданы
6,Канцелярия,"","",Поступило заявление о выполнении арбитражным судом функций содействия в отношении третейского суда,"",Поступило заявление о выполнении арбитражным судом функций содействия в отношении третейского суда
7,Канцелярия,Заявление о выполнении арбитражным судом функций содействия в отношении третейского суда,Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день",Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ
8,Судья,Зарегистрированное  заявление,-Определение о возвращении заявления-Определение об оставлении заявления без движения-Определение об отказе в принятии заявления-Определение о принятии заявления-Определение о назначении СЗ,ТБП31.Рассмотреть вопрос о принятии,5 дней с даты поступления заявления,"Переход к типовому процессу ""Рассмотреть вопрос о принятии"". В результате данного ТП Судья рассматривает вопрос о принятии  заявления к производству. Согласно ч.1 ст.240.3 АПК РФ Заявление о выполнении арбитражным судом функций содействия в отношении третейского суда рассматривается по правилам рассмотрения дела арбитражным судом первой инстанции. Принятие заявления:По смыслу ст. 127 АПК РФ Арбитражный суд обязан принять к производству заявление, поданное с соблюдением требований, предъявляемых к его форме и содержанию. Данный вопрос решается судьей единолично в течение 5 дней с момента поступления заявления. О принятии заявления арбитражный суд выносит определение, которым возбуждается производство по делу. Копии определения направляется ЛУВД не позднее следующего дня после его принятия."
9,Судья,"","",Заявление принято к производству?Эксклюзивный шлюз,"",Заявление принято к производству?Да: переход к шагу 23Нет: переход к шагу 10
